symbol,beg_date,end_date
AAPL,2023-12-18,2024-04-10
ABNB,2023-12-18,2024-04-10
ADBE,2023-12-18,2024-04-10
ADI,2023-12-18,2024-04-10
ADP,2023-12-18,2024-04-10
ADSK,2023-12-18,2024-04-10
AEP,2023-12-18,2024-04-10
AMAT,2023-12-18,2024-04-10
AMD,2023-12-18,2024-04-10
AMGN,2023-12-18,2024-04-10
AMZN,2023-12-18,2024-04-10
ANSS,2023-12-18,2024-04-10
ASML,2023-12-18,2024-04-10
AVGO,2023-12-18,2024-04-10
AZN,2023-12-18,2024-04-10
BIIB,2023-12-18,2024-04-10
BKNG,2023-12-18,2024-04-10
BKR,2023-12-18,2024-04-10
CCEP,2023-12-18,2024-04-10
CDNS,2023-12-18,2024-04-10
CDW,2023-12-18,2024-04-10
CEG,2023-12-18,2024-04-10
CHTR,2023-12-18,2024-04-10
CMCSA,2023-12-18,2024-04-10
COST,2023-12-18,2024-04-10
CPRT,2023-12-18,2024-04-10
CRWD,2023-12-18,2024-04-10
CSCO,2023-12-18,2024-04-10
CSGP,2023-12-18,2024-04-10
CSX,2023-12-18,2024-04-10
CTAS,2023-12-18,2024-04-10
CTSH,2023-12-18,2024-04-10
DASH,2023-12-18,2024-04-10
DDOG,2023-12-18,2024-04-10
DLTR,2023-12-18,2024-04-10
DXCM,2023-12-18,2024-04-10
EA,2023-12-18,2024-04-10
EXC,2023-12-18,2024-04-10
FANG,2023-12-18,2024-04-10
FAST,2023-12-18,2024-04-10
FTNT,2023-12-18,2024-04-10
GEHC,2023-12-18,2024-04-10
GFS,2023-12-18,2024-04-10
GILD,2023-12-18,2024-04-10
GOOG,2023-12-18,2024-04-10
GOOGL,2023-12-18,2024-04-10
HON,2023-12-18,2024-04-10
IDXX,2023-12-18,2024-04-10
ILMN,2023-12-18,2024-04-10
INTC,2023-12-18,2024-04-10
INTU,2023-12-18,2024-04-10
ISRG,2023-12-18,2024-04-10
KDP,2023-12-18,2024-04-10
KHC,2023-12-18,2024-04-10
KLAC,2023-12-18,2024-04-10
LRCX,2023-12-18,2024-04-10
LULU,2023-12-18,2024-04-10
MAR,2023-12-18,2024-04-10
MCHP,2023-12-18,2024-04-10
MDB,2023-12-18,2024-04-10
MDLZ,2023-12-18,2024-04-10
MELI,2023-12-18,2024-04-10
META,2023-12-18,2024-04-10
MNST,2023-12-18,2024-04-10
MRNA,2023-12-18,2024-04-10
MRVL,2023-12-18,2024-04-10
MSFT,2023-12-18,2024-04-10
MU,2023-12-18,2024-04-10
NFLX,2023-12-18,2024-04-10
NVDA,2023-12-18,2024-04-10
NXPI,2023-12-18,2024-04-10
ODFL,2023-12-18,2024-04-10
ON,2023-12-18,2024-04-10
ORLY,2023-12-18,2024-04-10
PANW,2023-12-18,2024-04-10
PAYX,2023-12-18,2024-04-10
PCAR,2023-12-18,2024-04-10
PDD,2023-12-18,2024-04-10
PEP,2023-12-18,2024-04-10
PYPL,2023-12-18,2024-04-10
QCOM,2023-12-18,2024-04-10
REGN,2023-12-18,2024-04-10
ROP,2023-12-18,2024-04-10
ROST,2023-12-18,2024-04-10
SBUX,2023-12-18,2024-04-10
SIRI,2023-12-18,2024-04-10
SNPS,2023-12-18,2024-04-10
SPLK,2023-12-18,2024-04-10
TEAM,2023-12-18,2024-04-10
TMUS,2023-12-18,2024-04-10
TSLA,2023-12-18,2024-04-10
TTD,2023-12-18,2024-04-10
TTWO,2023-12-18,2024-04-10
TXN,2023-12-18,2024-04-10
VRSK,2023-12-18,2024-04-10
VRTX,2023-12-18,2024-04-10
WBA,2023-12-18,2024-04-10
WBD,2023-12-18,2024-04-10
WDAY,2023-12-18,2024-04-10
XEL,2023-12-18,2024-04-10
ZS,2023-12-18,2024-04-10
GFS,2023-07-17,2023-12-18
CSX,2023-07-17,2023-12-18
TTD,2023-07-17,2023-12-18
VRSK,2023-07-17,2023-12-18
CDNS,2023-07-17,2023-12-18
MAR,2023-07-17,2023-12-18
DXCM,2023-07-17,2023-12-18
AMD,2023-07-17,2023-12-18
ISRG,2023-07-17,2023-12-18
FAST,2023-07-17,2023-12-18
ZS,2023-07-17,2023-12-18
TEAM,2023-07-17,2023-12-18
REGN,2023-07-17,2023-12-18
EXC,2023-07-17,2023-12-18
AMGN,2023-07-17,2023-12-18
DDOG,2023-07-17,2023-12-18
CSGP,2023-07-17,2023-12-18
GEHC,2023-07-17,2023-12-18
SGEN,2023-07-17,2023-12-18
CRWD,2023-07-17,2023-12-18
ADP,2023-07-17,2023-12-18
CSCO,2023-07-17,2023-12-18
AZN,2023-07-17,2023-12-18
ON,2023-07-17,2023-12-18
ADI,2023-07-17,2023-12-18
ILMN,2023-07-17,2023-12-18
MRNA,2023-07-17,2023-12-18
ROST,2023-07-17,2023-12-18
BIIB,2023-07-17,2023-12-18
META,2023-07-17,2023-12-18
FANG,2023-07-17,2023-12-18
IDXX,2023-07-17,2023-12-18
MELI,2023-07-17,2023-12-18
INTC,2023-07-17,2023-12-18
MRVL,2023-07-17,2023-12-18
NFLX,2023-07-17,2023-12-18
JD,2023-07-17,2023-12-18
GOOGL,2023-07-17,2023-12-18
HON,2023-07-17,2023-12-18
VRTX,2023-07-17,2023-12-18
MDLZ,2023-07-17,2023-12-18
ZM,2023-07-17,2023-12-18
KLAC,2023-07-17,2023-12-18
WBD,2023-07-17,2023-12-18
MCHP,2023-07-17,2023-12-18
ABNB,2023-07-17,2023-12-18
PDD,2023-07-17,2023-12-18
WDAY,2023-07-17,2023-12-18
PEP,2023-07-17,2023-12-18
BKNG,2023-07-17,2023-12-18
MSFT,2023-07-17,2023-12-18
CTAS,2023-07-17,2023-12-18
LRCX,2023-07-17,2023-12-18
AAPL,2023-07-17,2023-12-18
AVGO,2023-07-17,2023-12-18
LCID,2023-07-17,2023-12-18
MNST,2023-07-17,2023-12-18
PAYX,2023-07-17,2023-12-18
TXN,2023-07-17,2023-12-18
FTNT,2023-07-17,2023-12-18
CHTR,2023-07-17,2023-12-18
EA,2023-07-17,2023-12-18
GILD,2023-07-17,2023-12-18
TSLA,2023-07-17,2023-12-18
NXPI,2023-07-17,2023-12-18
