A,Date
26.740848541259766,1999-11-18
24.53775405883789,1999-11-19
26.740848541259766,1999-11-22
24.30985450744629,1999-11-23
24.955596923828125,1999-11-24
25.031557083129883,1999-11-26
25.601320266723633,1999-11-29
25.639301300048828,1999-11-30
26.095117568969727,1999-12-01
26.816808700561523,1999-12-02
27.04471778869629,1999-12-03
27.804401397705078,1999-12-06
27.500524520874023,1999-12-07
27.46254539489746,1999-12-08
27.842376708984375,1999-12-09
27.1966552734375,1999-12-10
27.652463912963867,1999-12-13
26.13309669494629,1999-12-14
25.335430145263672,1999-12-15
28.716018676757812,1999-12-16
27.918352127075195,1999-12-17
28.488117218017578,1999-12-20
28.3361759185791,1999-12-21
28.90594482421875,1999-12-22
30.235376358032227,1999-12-23
32.096614837646484,1999-12-27
37.376399993896484,1999-12-28
43.757747650146484,1999-12-29
48.16390609741211,1999-12-30
46.98639678955078,1999-12-31
43.757747650146484,2000-01-03
40.415138244628906,2000-01-04
37.90818786621094,2000-01-05
36.464786529541016,2000-01-06
39.503509521484375,2000-01-07
41.89651870727539,2000-01-10
41.32674789428711,2000-01-11
40.49110794067383,2000-01-12
41.09885025024414,2000-01-13
41.55467224121094,2000-01-14
43.4538688659668,2000-01-18
42.54225540161133,2000-01-19
41.40272903442383,2000-01-20
41.782554626464844,2000-01-21
41.6306266784668,2000-01-24
41.1368408203125,2000-01-25
41.51668930053711,2000-01-26
41.592647552490234,2000-01-27
41.36473846435547,2000-01-28
40.225215911865234,2000-01-31
43.14999771118164,2000-02-01
46.49260711669922,2000-02-02
47.252288818359375,2000-02-03
46.34067153930664,2000-02-04
48.31584930419922,2000-02-07
48.011962890625,2000-02-08
46.036800384521484,2000-02-09
46.606563568115234,2000-02-10
45.808895111083984,2000-02-11
46.45461654663086,2000-02-14
49.75923538208008,2000-02-15
49.22746276855469,2000-02-16
58.95139694213867,2000-02-17
56.976234436035156,2000-02-18
55.608802795410156,2000-02-22
60.16689682006836,2000-02-23
64.87692260742188,2000-02-24
65.71258544921875,2000-02-25
61.38238525390625,2000-02-28
63.129676818847656,2000-02-29
66.32032775878906,2000-03-01
63.99382781982422,2000-03-02
65.63663482666016,2000-03-03
96.63169860839844,2000-03-06
86.29999542236328,2000-03-07
92.37745666503906,2000-03-08
92.98521423339844,2000-03-09
86.29999542236328,2000-03-10
79.76673126220703,2000-03-13
73.76526641845703,2000-03-14
69.43502807617188,2000-03-15
71.75208282470703,2000-03-16
73.61328887939453,2000-03-17
69.13116455078125,2000-03-20
69.8908462524414,2000-03-21
72.58769989013672,2000-03-22
72.7396469116211,2000-03-23
72.92957305908203,2000-03-24
69.43502807617188,2000-03-27
72.39779663085938,2000-03-28
68.06759643554688,2000-03-29
63.81338882446289,2000-03-30
