AGNC,Date
2.4065537452697754,2008-05-15
2.4861505031585693,2008-05-16
2.426452398300171,2008-05-19
2.4065537452697754,2008-05-20
2.3941166400909424,2008-05-21
2.363023281097412,2008-05-22
2.369243621826172,2008-05-23
2.375460147857666,2008-05-27
2.3941166400909424,2008-05-28
2.450082540512085,2008-05-29
2.450082540512085,2008-05-30
2.437645435333252,2008-06-02
2.371730327606201,2008-06-03
2.375460147857666,2008-06-04
2.404064416885376,2008-06-05
2.365511655807495,2008-06-06
2.363023281097412,2008-06-09
2.2635281085968018,2008-06-10
2.132939338684082,2008-06-11
2.142890453338623,2008-06-12
2.1217458248138428,2008-06-13
2.2137811183929443,2008-06-16
2.2224860191345215,2008-06-17
2.1192593574523926,2008-06-18
2.099360227584839,2008-06-19
2.068267345428467,2008-06-20
2.226217031478882,2008-06-23
2.2088050842285156,2008-06-24
2.2137811183929443,2008-06-25
2.140402317047119,2008-06-26
2.1279654502868652,2008-06-27
2.107698917388916,2008-06-30
2.0772993564605713,2008-07-01
2.1089651584625244,2008-07-02
2.087432622909546,2008-07-03
1.897435188293457,2008-07-07
1.9633018970489502,2008-07-08
1.8835020065307617,2008-07-09
1.7695051431655884,2008-07-10
1.8822362422943115,2008-07-11
1.992433786392212,2008-07-14
1.865768551826477,2008-07-15
1.9139020442962646,2008-07-16
1.9823015928268433,2008-07-17
1.9671012163162231,2008-07-18
1.9582349061965942,2008-07-21
1.9975014925003052,2008-07-22
2.0164995193481445,2008-07-23
1.9544346332550049,2008-07-24
1.9506345987319946,2008-07-25
1.9012348651885986,2008-07-28
1.9899013042449951,2008-07-29
1.9835678339004517,2008-07-30
1.9810348749160767,2008-07-31
2.0164995193481445,2008-08-01
1.988633155822754,2008-08-04
2.0000338554382324,2008-08-05
1.9810348749160767,2008-08-06
1.9443013668060303,2008-08-07
2.0886993408203125,2008-08-08
2.1203653812408447,2008-08-11
2.1127655506134033,2008-08-12
2.1089651584625244,2008-08-13
2.1266977787017822,2008-08-14
2.116565465927124,2008-08-15
2.116565465927124,2008-08-18
2.1152987480163574,2008-08-19
2.1659646034240723,2008-08-20
2.2115635871887207,2008-08-21
2.2938952445983887,2008-08-22
2.2368972301483154,2008-08-25
2.2191638946533203,2008-08-26
2.305295944213867,2008-08-27
2.3736956119537354,2008-08-28
2.400294542312622,2008-08-29
2.3610291481018066,2008-09-02
2.34582781791687,2008-09-03
2.323028802871704,2008-09-04
2.3584938049316406,2008-09-05
2.5332915782928467,2008-09-08
2.3939599990844727,2008-09-09
2.4243602752685547,2008-09-10
2.400294542312622,2008-09-11
2.4927589893341064,2008-09-12
2.3141613006591797,2008-09-15
2.368628740310669,2008-09-16
2.1241657733917236,2008-09-17
2.258429527282715,2008-09-18
2.3660953044891357,2008-09-19
2.298962354660034,2008-09-22
2.4686925411224365,2008-09-23
2.473759651184082,2008-09-24
2.433708906173706,2008-09-25
2.377639055252075,2008-09-26
2.1173131465911865,2008-09-29
2.312223196029663,2008-09-30
2.2481441497802734,2008-10-01
2.186734199523926,2008-10-02
2.176053285598755,2008-10-03
2.2347936630249023,2008-10-06
2.176053285598755,2008-10-07
2.1119754314422607,2008-10-08
2.007843494415283,2008-10-09
1.9637893438339233,2008-10-10
2.055903434753418,2008-10-13
2.0278689861297607,2008-10-14
1.9758036136627197,2008-10-15
2.186734199523926,2008-10-16
2.1880691051483154,2008-10-17
2.3042144775390625,2008-10-20
2.2561542987823486,2008-10-21
2.1693789958953857,2008-10-22
2.1293282508850098,2008-10-23
2.1159791946411133,2008-10-24
2.1093034744262695,2008-10-27
2.266834259033203,2008-10-28
2.292198896408081,2008-10-29
2.404339075088501,2008-10-30
2.4831042289733887,2008-10-31
2.469754934310913,2008-11-03
2.5338351726531982,2008-11-04
2.5351693630218506,2008-11-05
2.5031299591064453,2008-11-06
2.517814874649048,2008-11-07
2.378973960876465,2008-11-10
2.324239492416382,2008-11-11
2.294869899749756,2008-11-12
2.5271596908569336,2008-11-13
2.4363791942596436,2008-11-14
2.431039810180664,2008-11-17
2.5191495418548584,2008-11-18
2.388319730758667,2008-11-19
2.2548201084136963,2008-11-20
2.3415937423706055,2008-11-21
2.469754934310913,2008-11-24
2.5778896808624268,2008-11-25
2.6299543380737305,2008-11-26
2.6619951725006104,2008-11-28
2.461745262145996,2008-12-01
2.6606597900390625,2008-12-02
2.6646645069122314,2008-12-03
2.5885703563690186,2008-12-04
2.616605758666992,2008-12-05
2.64997935295105,2008-12-08
2.552523136138916,2008-12-09
2.553858995437622,2008-12-10
2.393659830093384,2008-12-11
2.447058916091919,2008-12-12
2.393659830093384,2008-12-15
2.5591983795166016,2008-12-16
