AKAM,Date
145.1875,1999-10-29
174.3125,1999-11-01
192.75,1999-11-02
190.875,1999-11-03
173.25,1999-11-04
174.25,1999-11-05
187.5625,1999-11-08
189.75,1999-11-09
190.0,1999-11-10
182.1875,1999-11-11
177.3125,1999-11-12
171.75,1999-11-15
184.0,1999-11-16
189.375,1999-11-17
187.375,1999-11-18
185.0,1999-11-19
184.875,1999-11-22
210.0,1999-11-23
201.0,1999-11-24
206.5,1999-11-26
227.0,1999-11-29
237.0,1999-11-30
217.625,1999-12-01
215.25,1999-12-02
207.0,1999-12-03
216.75,1999-12-06
226.0,1999-12-07
241.5,1999-12-08
250.0,1999-12-09
243.5,1999-12-10
228.5,1999-12-13
217.0,1999-12-14
230.375,1999-12-15
271.0,1999-12-16
281.75,1999-12-17
286.25,1999-12-20
301.875,1999-12-21
291.0,1999-12-22
281.4375,1999-12-23
285.875,1999-12-27
271.5,1999-12-28
303.5625,1999-12-29
327.0,1999-12-30
327.625,1999-12-31
321.25,2000-01-03
300.0,2000-01-04
283.5,2000-01-05
236.125,2000-01-06
248.375,2000-01-07
285.5,2000-01-10
278.4375,2000-01-11
254.0,2000-01-12
232.8125,2000-01-13
230.0,2000-01-14
211.5,2000-01-18
224.75,2000-01-19
234.0,2000-01-20
269.0,2000-01-21
262.0625,2000-01-24
279.3125,2000-01-25
277.5,2000-01-26
281.125,2000-01-27
270.0625,2000-01-28
249.125,2000-01-31
239.0625,2000-02-01
233.625,2000-02-02
245.375,2000-02-03
235.0,2000-02-04
228.625,2000-02-07
240.9375,2000-02-08
234.875,2000-02-09
229.0,2000-02-10
233.0625,2000-02-11
230.375,2000-02-14
222.5,2000-02-15
246.125,2000-02-16
252.0,2000-02-17
241.6875,2000-02-18
242.125,2000-02-22
252.0625,2000-02-23
274.8125,2000-02-24
267.0625,2000-02-25
256.75,2000-02-28
261.25,2000-02-29
278.625,2000-03-01
268.0,2000-03-02
268.375,2000-03-03
254.0,2000-03-06
262.4375,2000-03-07
265.0,2000-03-08
286.0,2000-03-09
296.0,2000-03-10
284.75,2000-03-13
269.75,2000-03-14
240.25,2000-03-15
229.125,2000-03-16
218.9375,2000-03-17
213.25,2000-03-20
197.5,2000-03-21
208.5,2000-03-22
201.875,2000-03-23
211.0,2000-03-24
208.6875,2000-03-27
199.875,2000-03-28
170.0,2000-03-29
160.0625,2000-03-30
160.8125,2000-03-31
119.0,2000-04-03
115.46875,2000-04-04
110.0,2000-04-05
135.125,2000-04-06
145.6875,2000-04-07
133.3125,2000-04-10
107.75,2000-04-11
92.75,2000-04-12
88.0,2000-04-13
64.875,2000-04-14
70.0,2000-04-17
91.5,2000-04-18
88.9375,2000-04-19
86.9375,2000-04-20
75.875,2000-04-24
73.0625,2000-04-25
73.5,2000-04-26
83.125,2000-04-27
98.875,2000-04-28
103.3125,2000-05-01
105.375,2000-05-02
91.875,2000-05-03
97.0,2000-05-04
97.0625,2000-05-05
86.625,2000-05-08
83.25,2000-05-09
77.375,2000-05-10
73.203125,2000-05-11
70.5,2000-05-12
74.75,2000-05-15
76.0625,2000-05-16
77.0,2000-05-17
75.5625,2000-05-18
71.9375,2000-05-19
69.375,2000-05-22
67.75,2000-05-23
66.4375,2000-05-24
62.4375,2000-05-25
59.9375,2000-05-26
75.0,2000-05-30
66.75,2000-05-31
73.875,2000-06-01
89.0,2000-06-02
95.0625,2000-06-05
87.5625,2000-06-06
85.5,2000-06-07
90.5625,2000-06-08
98.0,2000-06-09
88.625,2000-06-12
98.0,2000-06-13
93.9375,2000-06-14
91.25,2000-06-15
88.0,2000-06-16
92.75,2000-06-19
94.0,2000-06-20
115.375,2000-06-21
107.5625,2000-06-22
102.5,2000-06-23
119.25,2000-06-26
116.25,2000-06-27
112.5,2000-06-28
109.125,2000-06-29
118.734375,2000-06-30
126.46875,2000-07-03
115.1875,2000-07-05
110.6875,2000-07-06
113.75,2000-07-07
114.875,2000-07-10
107.0625,2000-07-11
113.5,2000-07-12
127.0625,2000-07-13
126.0,2000-07-14
124.6875,2000-07-17
122.0,2000-07-18
121.0,2000-07-19
125.4375,2000-07-20
117.0,2000-07-21
107.875,2000-07-24
85.0,2000-07-25
84.6875,2000-07-26
78.125,2000-07-27
77.9375,2000-07-28
78.859375,2000-07-31
71.25,2000-08-01
68.625,2000-08-02
75.0,2000-08-03
77.375,2000-08-04
76.6875,2000-08-07
74.0625,2000-08-08
71.375,2000-08-09
66.5,2000-08-10
63.4375,2000-08-11
71.375,2000-08-14
75.0625,2000-08-15
75.1875,2000-08-16
75.125,2000-08-17
78.9375,2000-08-18
76.0,2000-08-21
71.625,2000-08-22
69.3125,2000-08-23
65.1875,2000-08-24
70.0625,2000-08-25
67.0,2000-08-28
66.3125,2000-08-29
72.5,2000-08-30
75.5625,2000-08-31
72.1875,2000-09-01
67.875,2000-09-05
69.125,2000-09-06
70.0,2000-09-07
67.5,2000-09-08
62.6875,2000-09-11
61.6875,2000-09-12
63.3125,2000-09-13
63.9375,2000-09-14
61.125,2000-09-15
59.875,2000-09-18
61.9375,2000-09-19
60.625,2000-09-20
58.625,2000-09-21
56.25,2000-09-22
56.125,2000-09-25
57.375,2000-09-26
50.5,2000-09-27
48.875,2000-09-28
52.515625,2000-09-29
46.875,2000-10-02
44.0,2000-10-03
45.484375,2000-10-04
39.6875,2000-10-05
36.1875,2000-10-06
43.9375,2000-10-09
41.75,2000-10-10
45.5625,2000-10-11
42.875,2000-10-12
49.0,2000-10-13
52.875,2000-10-16
49.125,2000-10-17
40.375,2000-10-18
52.796875,2000-10-19
56.375,2000-10-20
55.75,2000-10-23
53.0,2000-10-24
50.375,2000-10-25
49.0,2000-10-26
48.6875,2000-10-27
47.25,2000-10-30
51.0,2000-10-31
50.3125,2000-11-01
52.0625,2000-11-02
53.9375,2000-11-03
56.5,2000-11-06
57.75,2000-11-07
52.0,2000-11-08
50.875,2000-11-09
49.125,2000-11-10
45.875,2000-11-13
48.8125,2000-11-14
47.0625,2000-11-15
42.0625,2000-11-16
41.25,2000-11-17
37.5625,2000-11-20
36.0625,2000-11-21
32.125,2000-11-22
