ALGN,Date
16.875,2001-01-30
13.5,2001-01-31
14.1875,2001-02-01
14.125,2001-02-02
14.125,2001-02-05
14.0,2001-02-06
13.0625,2001-02-07
13.0625,2001-02-08
12.0,2001-02-09
11.0625,2001-02-12
11.4375,2001-02-13
11.625,2001-02-14
12.8125,2001-02-15
13.0625,2001-02-16
12.75,2001-02-20
12.3125,2001-02-21
12.109375,2001-02-22
11.0625,2001-02-23
9.0,2001-02-26
7.5625,2001-02-27
7.5,2001-02-28
7.5625,2001-03-01
7.5,2001-03-02
6.6875,2001-03-05
7.5,2001-03-06
7.8125,2001-03-07
8.46875,2001-03-08
8.125,2001-03-09
8.5,2001-03-12
9.5,2001-03-13
10.25,2001-03-14
9.4375,2001-03-15
8.25,2001-03-16
8.875,2001-03-19
8.1875,2001-03-20
8.1875,2001-03-21
7.75,2001-03-22
7.8125,2001-03-23
7.5,2001-03-26
7.40625,2001-03-27
7.5625,2001-03-28
7.25,2001-03-29
7.25,2001-03-30
7.25,2001-04-02
6.6875,2001-04-03
6.5625,2001-04-04
6.5625,2001-04-05
6.625,2001-04-06
6.550000190734863,2001-04-09
7.150000095367432,2001-04-10
6.599999904632568,2001-04-11
6.0,2001-04-12
5.449999809265137,2001-04-16
5.800000190734863,2001-04-17
7.28000020980835,2001-04-18
7.150000095367432,2001-04-19
6.150000095367432,2001-04-20
6.650000095367432,2001-04-23
8.329999923706055,2001-04-24
8.0,2001-04-25
8.800000190734863,2001-04-26
8.75,2001-04-27
8.75,2001-04-30
8.5,2001-05-01
8.75,2001-05-02
8.699999809265137,2001-05-03
8.600000381469727,2001-05-04
8.800000190734863,2001-05-07
9.5,2001-05-08
9.149999618530273,2001-05-09
8.890000343322754,2001-05-10
8.800000190734863,2001-05-11
9.199999809265137,2001-05-14
9.800000190734863,2001-05-15
10.130000114440918,2001-05-16
10.960000038146973,2001-05-17
11.050000190734863,2001-05-18
11.949999809265137,2001-05-21
12.069999694824219,2001-05-22
12.010000228881836,2001-05-23
11.5600004196167,2001-05-24
