APE,Date
6.0,2022-08-22
7.019999980926514,2022-08-23
7.130000114440918,2022-08-24
6.829999923706055,2022-08-25
6.5,2022-08-26
6.059999942779541,2022-08-29
5.199999809265137,2022-08-30
4.900000095367432,2022-08-31
4.590000152587891,2022-09-01
4.96999979019165,2022-09-02
4.920000076293945,2022-09-06
5.079999923706055,2022-09-07
5.110000133514404,2022-09-08
5.53000020980835,2022-09-09
5.71999979019165,2022-09-12
5.309999942779541,2022-09-13
5.360000133514404,2022-09-14
5.400000095367432,2022-09-15
4.900000095367432,2022-09-16
4.670000076293945,2022-09-19
4.230000019073486,2022-09-20
3.9800000190734863,2022-09-21
3.5799999237060547,2022-09-22
3.5799999237060547,2022-09-23
3.369999885559082,2022-09-26
3.380000114440918,2022-09-27
3.369999885559082,2022-09-28
2.9000000953674316,2022-09-29
2.7100000381469727,2022-09-30
2.440000057220459,2022-10-03
2.740000009536743,2022-10-04
2.450000047683716,2022-10-05
2.240000009536743,2022-10-06
1.9900000095367432,2022-10-07
1.8600000143051147,2022-10-10
1.7599999904632568,2022-10-11
1.6399999856948853,2022-10-12
1.8200000524520874,2022-10-13
1.7000000476837158,2022-10-14
1.899999976158142,2022-10-17
2.0999999046325684,2022-10-18
2.059999942779541,2022-10-19
2.430000066757202,2022-10-20
2.6700000762939453,2022-10-21
2.450000047683716,2022-10-24
2.5999999046325684,2022-10-25
2.1600000858306885,2022-10-26
2.1500000953674316,2022-10-27
2.0999999046325684,2022-10-28
2.049999952316284,2022-10-31
1.8899999856948853,2022-11-01
1.7100000381469727,2022-11-02
1.6299999952316284,2022-11-03
1.5700000524520874,2022-11-04
1.5099999904632568,2022-11-07
1.600000023841858,2022-11-08
1.2999999523162842,2022-11-09
1.399999976158142,2022-11-10
1.6100000143051147,2022-11-11
1.4299999475479126,2022-11-14
1.4299999475479126,2022-11-15
1.3200000524520874,2022-11-16
1.3600000143051147,2022-11-17
1.3799999952316284,2022-11-18
1.2699999809265137,2022-11-21
1.2599999904632568,2022-11-22
1.2100000381469727,2022-11-23
1.2200000286102295,2022-11-25
1.1399999856948853,2022-11-28
1.0499999523162842,2022-11-29
0.972000002861023,2022-11-30
0.9819999933242798,2022-12-01
0.9959999918937683,2022-12-02
0.9509999752044678,2022-12-05
0.8899999856948853,2022-12-06
0.8109999895095825,2022-12-07
0.824999988079071,2022-12-08
0.7699999809265137,2022-12-09
0.8420000076293945,2022-12-12
0.8600000143051147,2022-12-13
0.8849999904632568,2022-12-14
0.8109999895095825,2022-12-15
0.7300000190734863,2022-12-16
0.6729999780654907,2022-12-19
