Date,BF.B
2003-01-02,7.1253
2003-01-03,7.0059
2003-01-06,7.0304
2003-01-07,6.9867
2003-01-08,6.9397
2003-01-09,6.9867
2003-01-10,6.9685
2003-01-13,7.0699
2003-01-14,7.056
2003-01-15,6.9611
2003-01-16,6.976
2003-01-17,6.944
2003-01-21,6.9184
2003-01-22,6.9397
2003-01-23,6.8757
2003-01-24,6.7168
2003-01-27,6.672
2003-01-28,6.6816
2003-01-29,6.6357
2003-01-30,6.4459
2003-01-31,6.6283
2003-02-03,7.4763
2003-02-04,7.4443
2003-02-05,7.456
2003-02-06,7.4752
2003-02-07,7.4677
2003-02-10,7.5371
2003-02-11,7.5339
2003-02-12,7.5243
2003-02-13,7.5371
2003-02-14,7.5531
2003-02-18,7.5616
2003-02-19,7.568
2003-02-20,7.5637
2003-02-21,7.5872
2003-02-24,7.6267
2003-02-25,7.6277
2003-02-26,7.5787
2003-02-27,7.5477
2003-02-28,7.4187
2003-03-03,7.3248
2003-03-04,7.3173
2003-03-05,7.4293
2003-03-06,7.4741
2003-03-07,7.5659
2003-03-10,7.5723
2003-03-11,7.6203
2003-03-12,7.6885
2003-03-13,7.7269
2003-03-14,7.8219
2003-03-17,7.9723
2003-03-18,7.9968
2003-03-19,8.0437
2003-03-20,7.9637
2003-03-21,8.0
2003-03-24,8.0021
2003-03-25,8.0853
2003-03-26,8.1696
2003-03-27,8.1173
2003-03-28,8.1717
2003-03-31,8.2027
2003-04-01,8.2997
2003-04-02,8.4181
2003-04-03,8.3296
2003-04-04,8.3904
2003-04-07,8.4224
2003-04-08,8.4341
2003-04-09,8.32
2003-04-10,8.3051
2003-04-11,8.3029
2003-04-14,8.3307
2003-04-15,8.32
2003-04-16,8.2539
2003-04-17,8.3979
2003-04-21,8.3467
2003-04-22,8.2955
2003-04-23,8.2325
2003-04-24,8.2101
2003-04-25,8.1109
2003-04-28,8.128
2003-04-29,8.2133
2003-04-30,8.1643
2003-05-01,8.2571
2003-05-02,8.24
2003-05-05,8.1237
2003-05-06,8.1547
2003-05-07,8.1493
2003-05-08,8.1333
2003-05-09,8.2336
2003-05-12,8.2667
2003-05-13,8.2347
2003-05-14,8.1547
2003-05-15,8.1973
2003-05-16,8.0907
