BMRN,Date
13.0,1999-07-26
14.125,1999-07-27
13.5,1999-07-28
13.125,1999-07-29
12.0,1999-07-30
11.625,1999-08-02
12.0,1999-08-03
13.0,1999-08-04
13.625,1999-08-05
14.0,1999-08-06
15.125,1999-08-09
14.4375,1999-08-10
14.8125,1999-08-11
14.125,1999-08-12
14.25,1999-08-13
14.0625,1999-08-16
14.0,1999-08-17
14.0,1999-08-18
15.125,1999-08-19
15.75,1999-08-20
15.5,1999-08-23
15.25,1999-08-24
16.0,1999-08-25
15.5,1999-08-26
15.8125,1999-08-27
15.875,1999-08-30
15.5,1999-08-31
15.75,1999-09-01
15.25,1999-09-02
15.625,1999-09-03
15.0,1999-09-07
15.125,1999-09-08
15.375,1999-09-09
15.375,1999-09-10
15.0,1999-09-13
15.5,1999-09-14
15.25,1999-09-15
15.5625,1999-09-16
16.0,1999-09-17
15.75,1999-09-20
16.4375,1999-09-21
17.0,1999-09-22
17.6875,1999-09-23
17.5,1999-09-24
18.75,1999-09-27
18.5,1999-09-28
17.8125,1999-09-29
17.375,1999-09-30
17.0,1999-10-01
15.75,1999-10-04
15.5,1999-10-05
16.5,1999-10-06
15.875,1999-10-07
16.5,1999-10-08
16.25,1999-10-11
16.25,1999-10-12
16.375,1999-10-13
16.5,1999-10-14
16.0625,1999-10-15
16.0625,1999-10-18
15.75,1999-10-19
15.625,1999-10-20
15.75,1999-10-21
15.0,1999-10-22
15.125,1999-10-25
15.0625,1999-10-26
15.25,1999-10-27
15.0,1999-10-28
15.375,1999-10-29
15.375,1999-11-01
15.5,1999-11-02
15.375,1999-11-03
15.1875,1999-11-04
15.375,1999-11-05
14.78125,1999-11-08
14.625,1999-11-09
14.625,1999-11-10
14.0625,1999-11-11
13.0625,1999-11-12
12.875,1999-11-15
13.0,1999-11-16
12.875,1999-11-17
12.1875,1999-11-18
11.875,1999-11-19
12.625,1999-11-22
14.0,1999-11-23
14.0,1999-11-24
14.0,1999-11-26
13.9375,1999-11-29
13.375,1999-11-30
13.0625,1999-12-01
14.0,1999-12-02
14.0,1999-12-03
13.5,1999-12-06
13.5,1999-12-07
13.5,1999-12-08
12.75,1999-12-09
12.625,1999-12-10
13.375,1999-12-13
13.5,1999-12-14
13.5,1999-12-15
13.5,1999-12-16
13.0,1999-12-17
13.0,1999-12-20
12.875,1999-12-21
12.625,1999-12-22
12.625,1999-12-23
12.625,1999-12-27
12.625,1999-12-28
11.625,1999-12-29
12.125,1999-12-30
11.75,1999-12-31
12.75,2000-01-03
13.5625,2000-01-04
12.875,2000-01-05
12.75,2000-01-06
13.375,2000-01-07
13.6875,2000-01-10
14.0625,2000-01-11
14.25,2000-01-12
15.25,2000-01-13
16.75,2000-01-14
16.4375,2000-01-18
15.5,2000-01-19
15.0625,2000-01-20
15.0,2000-01-21
14.75,2000-01-24
14.875,2000-01-25
14.875,2000-01-26
14.75,2000-01-27
15.5,2000-01-28
14.5625,2000-01-31
14.875,2000-02-01
14.375,2000-02-02
15.0,2000-02-03
14.875,2000-02-04
15.5,2000-02-07
17.0,2000-02-08
17.5,2000-02-09
17.0,2000-02-10
18.375,2000-02-11
19.0,2000-02-14
19.4375,2000-02-15
19.375,2000-02-16
19.125,2000-02-17
19.0,2000-02-18
20.0625,2000-02-22
21.0,2000-02-23
22.125,2000-02-24
24.125,2000-02-25
