C,Date
7.128747940063477,1977-01-03
7.151524543762207,1977-01-04
7.105971813201904,1977-01-05
7.060418605804443,1977-01-06
7.08319616317749,1977-01-07
7.151524543762207,1977-01-10
7.174294948577881,1977-01-11
7.174294948577881,1977-01-12
7.219846248626709,1977-01-13
7.242624759674072,1977-01-14
7.08319616317749,1977-01-17
7.105971813201904,1977-01-18
7.128747940063477,1977-01-19
7.08319616317749,1977-01-20
7.08319616317749,1977-01-21
7.105971813201904,1977-01-24
7.151524543762207,1977-01-25
7.08319616317749,1977-01-26
7.105971813201904,1977-01-27
7.105971813201904,1977-01-28
7.037644386291504,1977-01-31
7.08319616317749,1977-02-01
7.037644386291504,1977-02-02
7.037644386291504,1977-02-03
7.060418605804443,1977-02-04
7.08319616317749,1977-02-07
7.105971813201904,1977-02-08
7.060418605804443,1977-02-09
7.151524543762207,1977-02-10
7.128747940063477,1977-02-11
7.105971813201904,1977-02-14
7.105971813201904,1977-02-15
7.105971813201904,1977-02-16
7.08319616317749,1977-02-17
7.151524543762207,1977-02-18
7.151524543762207,1977-02-22
7.174294948577881,1977-02-23
7.174294948577881,1977-02-24
7.105971813201904,1977-02-25
7.08319616317749,1977-02-28
7.105971813201904,1977-03-01
7.174294948577881,1977-03-02
7.174294948577881,1977-03-03
7.219846248626709,1977-03-04
7.219846248626709,1977-03-07
7.174294948577881,1977-03-08
7.151524543762207,1977-03-09
7.128747940063477,1977-03-10
7.151524543762207,1977-03-11
7.197073459625244,1977-03-14
7.242624759674072,1977-03-15
7.288177967071533,1977-03-16
7.2653985023498535,1977-03-17
7.242624759674072,1977-03-18
7.2653985023498535,1977-03-21
7.219846248626709,1977-03-22
7.242624759674072,1977-03-23
7.242624759674072,1977-03-24
7.174294948577881,1977-03-25
7.151524543762207,1977-03-28
7.174294948577881,1977-03-29
7.151524543762207,1977-03-30
7.151524543762207,1977-03-31
7.197073459625244,1977-04-01
7.174294948577881,1977-04-04
7.174294948577881,1977-04-05
7.197073459625244,1977-04-06
7.2653985023498535,1977-04-07
7.242624759674072,1977-04-11
7.379281044006348,1977-04-12
7.424829006195068,1977-04-13
7.470383167266846,1977-04-14
7.424829006195068,1977-04-15
7.2653985023498535,1977-04-18
7.197073459625244,1977-04-19
7.288177967071533,1977-04-20
7.2653985023498535,1977-04-21
7.219846248626709,1977-04-22
7.128747940063477,1977-04-25
7.197073459625244,1977-04-26
7.219846248626709,1977-04-27
7.219846248626709,1977-04-28
7.242624759674072,1977-04-29
7.288177967071533,1977-05-02
7.288177967071533,1977-05-03
7.310952186584473,1977-05-04
7.288177967071533,1977-05-05
7.288177967071533,1977-05-06
