CB,Date
5.2153706550598145,1993-03-25
5.238145351409912,1993-03-26
5.1698222160339355,1993-03-29
5.1698222160339355,1993-03-30
5.283695697784424,1993-03-31
5.2153706550598145,1993-04-01
5.192597389221191,1993-04-02
5.124270915985107,1993-04-05
5.192597389221191,1993-04-06
5.306466579437256,1993-04-07
5.26092004776001,1993-04-08
5.2153706550598145,1993-04-12
5.238145351409912,1993-04-13
5.2153706550598145,1993-04-14
5.283695697784424,1993-04-15
5.306466579437256,1993-04-16
5.283695697784424,1993-04-19
5.147048473358154,1993-04-20
5.1698222160339355,1993-04-21
5.147048473358154,1993-04-22
5.1698222160339355,1993-04-23
5.01039981842041,1993-04-26
5.033172130584717,1993-04-27
5.01039981842041,1993-04-28
5.01039981842041,1993-04-29
5.2153706550598145,1993-04-30
5.283695697784424,1993-05-03
5.420341968536377,1993-05-04
5.784733295440674,1993-05-05
5.670863151550293,1993-05-06
5.6480889320373535,1993-05-07
5.6480889320373535,1993-05-10
5.670863151550293,1993-05-11
5.670863151550293,1993-05-12
5.48866605758667,1993-05-13
5.48866605758667,1993-05-14
5.443115234375,1993-05-17
5.443115234375,1993-05-18
5.556987762451172,1993-05-19
5.511440753936768,1993-05-20
5.48866605758667,1993-05-21
5.48866605758667,1993-05-24
5.39756965637207,1993-05-25
5.283695697784424,1993-05-26
5.26092004776001,1993-05-27
5.2153706550598145,1993-05-28
5.192597389221191,1993-06-01
5.147048473358154,1993-06-02
5.10149621963501,1993-06-03
5.0559468269348145,1993-06-04
4.919304370880127,1993-06-07
4.805428981781006,1993-06-08
4.8282036781311035,1993-06-09
4.805428981781006,1993-06-10
4.737104892730713,1993-06-11
4.759878635406494,1993-06-14
4.714332103729248,1993-06-15
4.691555976867676,1993-06-16
4.691555976867676,1993-06-17
4.737104892730713,1993-06-18
4.873751163482666,1993-06-21
4.987626075744629,1993-06-22
5.01039981842041,1993-06-23
5.074399948120117,1993-06-24
5.234405994415283,1993-06-25
5.257262706756592,1993-06-28
5.302978992462158,1993-06-29
5.440122127532959,1993-06-30
5.394406795501709,1993-07-01
5.394406795501709,1993-07-02
5.325835704803467,1993-07-06
5.2115478515625,1993-07-07
5.234405994415283,1993-07-08
5.302978992462158,1993-07-09
5.394406795501709,1993-07-12
5.417267799377441,1993-07-13
5.348692417144775,1993-07-14
5.394406795501709,1993-07-15
5.348692417144775,1993-07-16
5.348692417144775,1993-07-19
5.348692417144775,1993-07-20
5.257262706756592,1993-07-21
5.188689231872559,1993-07-22
5.165832042694092,1993-07-23
5.2115478515625,1993-07-26
5.14297342300415,1993-07-27
5.165832042694092,1993-07-28
5.188689231872559,1993-07-29
5.14297342300415,1993-07-30
5.120116710662842,1993-08-02
5.2115478515625,1993-08-03
5.2801194190979,1993-08-04
5.348692417144775,1993-08-05
5.577270984649658,1993-08-06
5.965847015380859,1993-08-09
5.897275924682617,1993-08-10
5.920135021209717,1993-08-11
5.920135021209717,1993-08-12
5.920135021209717,1993-08-13
5.942991733551025,1993-08-16
5.965847015380859,1993-08-17
6.125851631164551,1993-08-18
6.468721389770508,1993-08-19
6.583005428314209,1993-08-20
6.400144577026367,1993-08-23
6.217283248901367,1993-08-24
6.2858567237854,1993-08-25
6.2858567237854,1993-08-26
6.240146160125732,1993-08-27
6.331573009490967,1993-08-30
6.354428291320801,1993-08-31
6.377285003662109,1993-09-01
6.396615982055664,1993-09-02
6.3736066818237305,1993-09-03
6.3736066818237305,1993-09-07
6.3275885581970215,1993-09-08
6.281572341918945,1993-09-09
6.235549449920654,1993-09-10
6.212539196014404,1993-09-13
6.166520118713379,1993-09-14
6.212539196014404,1993-09-15
6.1895270347595215,1993-09-16
6.166520118713379,1993-09-17
6.166520118713379,1993-09-20
6.028468608856201,1993-09-21
6.051474094390869,1993-09-22
6.120502471923828,1993-09-23
