COMS,Date
1516800.0,2008-08-15
1516800.0,2008-08-18
1516800.0,2008-08-19
1516800.0,2008-08-20
1516800.0,2008-08-21
1516800.0,2008-08-22
1516800.0,2008-08-25
1516800.0,2008-08-26
1516800.0,2008-08-27
1516800.0,2008-08-28
1516800.0,2008-08-29
1516800.0,2008-09-02
1516800.0,2008-09-03
1516800.0,2008-09-04
1516800.0,2008-09-05
1516800.0,2008-09-08
1516800.0,2008-09-09
1516800.0,2008-09-10
1668480.0,2008-09-11
1668480.0,2008-09-12
1668480.0,2008-09-15
1668480.0,2008-09-16
1668480.0,2008-09-17
1668480.0,2008-09-18
1668480.0,2008-09-19
1668480.0,2008-09-22
1668480.0,2008-09-23
1668480.0,2008-09-24
1668480.0,2008-09-25
1668480.0,2008-09-26
1668480.0,2008-09-29
1668480.0,2008-09-30
1668480.0,2008-10-01
1668480.0,2008-10-02
1668480.0,2008-10-03
1662412.75,2008-10-06
1662412.75,2008-10-07
1662412.75,2008-10-08
1662412.75,2008-10-09
1662412.75,2008-10-10
1662412.75,2008-10-13
1662412.75,2008-10-14
1662412.75,2008-10-15
1662412.75,2008-10-16
1662412.75,2008-10-17
1662412.75,2008-10-20
1662412.75,2008-10-21
1662412.75,2008-10-22
1662412.75,2008-10-23
1662412.75,2008-10-24
1207372.75,2008-10-27
1237708.75,2008-10-28
1213440.0,2008-10-29
1304448.0,2008-10-30
1304448.0,2008-10-31
1304448.0,2008-11-03
1304448.0,2008-11-04
1298380.75,2008-11-05
1304448.0,2008-11-06
1213440.0,2008-11-07
1304448.0,2008-11-10
1304448.0,2008-11-11
1255910.375,2008-11-12
1255910.375,2008-11-13
1225574.375,2008-11-14
1225574.375,2008-11-17
1225574.375,2008-11-18
1225574.375,2008-11-19
1225574.375,2008-11-20
1225574.375,2008-11-21
1225574.375,2008-11-24
1225574.375,2008-11-25
1225574.375,2008-11-26
1225574.375,2008-11-28
1225574.375,2008-12-01
1219507.25,2008-12-02
1219507.25,2008-12-03
1219507.25,2008-12-04
1219507.25,2008-12-05
1219507.25,2008-12-08
1219507.25,2008-12-09
1219507.25,2008-12-10
1219507.25,2008-12-11
1219507.25,2008-12-12
1219507.25,2008-12-15
1219507.25,2008-12-16
1219507.25,2008-12-17
1219507.25,2008-12-18
1219507.25,2008-12-19
1219507.25,2008-12-22
1219507.25,2008-12-23
1219507.25,2008-12-24
