COST,Date
7.4194488525390625,1986-07-09
7.377292156219482,1986-07-10
7.124358654022217,1986-07-11
6.913572788238525,1986-07-14
6.702796936035156,1986-07-15
6.829263687133789,1986-07-16
6.871419429779053,1986-07-17
6.913572788238525,1986-07-18
6.913572788238525,1986-07-21
6.871419429779053,1986-07-22
6.787106990814209,1986-07-23
6.702796936035156,1986-07-24
6.787106990814209,1986-07-25
6.829263687133789,1986-07-28
6.871419429779053,1986-07-29
6.829263687133789,1986-07-30
6.787106990814209,1986-07-31
6.576328754425049,1986-08-01
6.576328754425049,1986-08-04
6.4498610496521,1986-08-05
6.154769420623779,1986-08-06
5.648898601531982,1986-08-07
5.986142158508301,1986-08-08
6.154769420623779,1986-08-11
6.323391437530518,1986-08-12
6.534172534942627,1986-08-13
6.407708168029785,1986-08-14
6.323391437530518,1986-08-15
6.534172534942627,1986-08-18
6.4498610496521,1986-08-19
6.407708168029785,1986-08-20
6.365549087524414,1986-08-21
6.323391437530518,1986-08-22
6.23907995223999,1986-08-25
6.323391437530518,1986-08-26
6.281238079071045,1986-08-27
6.196927070617676,1986-08-28
6.154769420623779,1986-08-29
5.901834011077881,1986-09-02
6.028300762176514,1986-09-03
6.281238079071045,1986-09-04
6.07045841217041,1986-09-05
5.901834011077881,1986-09-08
5.817521572113037,1986-09-09
5.73321008682251,1986-09-10
5.353806018829346,1986-09-11
5.1430277824401855,1986-09-12
5.1430277824401855,1986-09-15
5.016558647155762,1986-09-16
4.974402904510498,1986-09-17
5.901834011077881,1986-09-18
5.775367736816406,1986-09-19
5.73321008682251,1986-09-22
5.564586639404297,1986-09-23
5.73321008682251,1986-09-24
5.606741428375244,1986-09-25
5.606741428375244,1986-09-26
5.564586639404297,1986-09-29
5.775367736816406,1986-09-30
5.775367736816406,1986-10-01
5.775367736816406,1986-10-02
5.648898601531982,1986-10-03
5.6910552978515625,1986-10-06
5.6910552978515625,1986-10-07
5.817521572113037,1986-10-08
5.6910552978515625,1986-10-09
5.606741428375244,1986-10-10
5.438119411468506,1986-10-13
5.73321008682251,1986-10-14
5.901834011077881,1986-10-15
5.859678268432617,1986-10-16
5.73321008682251,1986-10-17
5.606741428375244,1986-10-20
5.522430419921875,1986-10-21
5.564586639404297,1986-10-22
5.585663795471191,1986-10-23
5.606741428375244,1986-10-24
5.606741428375244,1986-10-27
5.73321008682251,1986-10-28
5.986142158508301,1986-10-29
6.112613201141357,1986-10-30
6.07045841217041,1986-10-31
6.07045841217041,1986-11-03
6.028300762176514,1986-11-04
5.986142158508301,1986-11-05
5.94398832321167,1986-11-06
5.92291259765625,1986-11-07
5.901834011077881,1986-11-10
6.028300762176514,1986-11-11
6.049381256103516,1986-11-12
5.648898601531982,1986-11-13
5.648898601531982,1986-11-14
5.648898601531982,1986-11-17
5.564586639404297,1986-11-18
5.606741428375244,1986-11-19
5.73321008682251,1986-11-20
6.028300762176514,1986-11-21
6.154769420623779,1986-11-24
6.07045841217041,1986-11-25
6.112613201141357,1986-11-26
6.07045841217041,1986-11-28
5.986142158508301,1986-12-01
6.028300762176514,1986-12-02
6.112613201141357,1986-12-03
6.028300762176514,1986-12-04
5.775367736816406,1986-12-05
5.73321008682251,1986-12-08
5.6910552978515625,1986-12-09
5.648898601531982,1986-12-10
5.438119411468506,1986-12-11
5.438119411468506,1986-12-12
5.817521572113037,1986-12-15
5.859678268432617,1986-12-16
5.73321008682251,1986-12-17
