CPWR,Date
29.987220764160156,2006-12-04
29.987220764160156,2006-12-05
29.987220764160156,2006-12-06
29.987220764160156,2006-12-07
29.987220764160156,2006-12-08
29.987220764160156,2006-12-11
29.987220764160156,2006-12-12
116.48881530761719,2006-12-13
116.48881530761719,2006-12-14
116.48881530761719,2006-12-15
116.48881530761719,2006-12-18
116.48881530761719,2006-12-19
116.48881530761719,2006-12-20
128.02236938476562,2006-12-21
126.86901092529297,2006-12-22
144.16932678222656,2006-12-26
230.67092895507812,2006-12-27
230.67092895507812,2006-12-28
155.702880859375,2006-12-29
155.702880859375,2007-01-03
230.67092895507812,2007-01-04
144.16932678222656,2007-01-05
173.00320434570312,2007-01-08
116.48881530761719,2007-01-09
115.33546447753906,2007-01-10
116.48881530761719,2007-01-11
116.48881530761719,2007-01-12
116.48881530761719,2007-01-16
80.73482513427734,2007-01-17
80.73482513427734,2007-01-18
103.80191802978516,2007-01-19
92.26837158203125,2007-01-22
92.26837158203125,2007-01-23
92.26837158203125,2007-01-24
92.26837158203125,2007-01-25
92.26837158203125,2007-01-26
92.26837158203125,2007-01-29
103.80191802978516,2007-01-30
103.80191802978516,2007-01-31
103.80191802978516,2007-02-01
116.48881530761719,2007-02-02
116.48881530761719,2007-02-05
116.48881530761719,2007-02-06
116.48881530761719,2007-02-07
116.48881530761719,2007-02-08
116.48881530761719,2007-02-09
111.87539672851562,2007-02-12
111.87539672851562,2007-02-13
98.03514862060547,2007-02-14
116.48881530761719,2007-02-15
101.49520874023438,2007-02-16
101.49520874023438,2007-02-20
98.03514862060547,2007-02-21
98.03514862060547,2007-02-22
98.03514862060547,2007-02-23
98.03514862060547,2007-02-26
98.03514862060547,2007-02-27
98.03514862060547,2007-02-28
98.03514862060547,2007-03-01
86.50159454345703,2007-03-02
86.50159454345703,2007-03-05
86.50159454345703,2007-03-06
86.50159454345703,2007-03-07
86.50159454345703,2007-03-08
86.50159454345703,2007-03-09
98.03514862060547,2007-03-12
98.03514862060547,2007-03-13
98.03514862060547,2007-03-14
98.03514862060547,2007-03-15
98.03514862060547,2007-03-16
98.03514862060547,2007-03-19
86.50159454345703,2007-03-20
86.50159454345703,2007-03-21
86.50159454345703,2007-03-22
86.50159454345703,2007-03-23
86.50159454345703,2007-03-26
74.96805572509766,2007-03-27
64.58786010742188,2007-03-28
64.58786010742188,2007-03-29
63.434505462646484,2007-03-30
58.82108688354492,2007-04-02
51.90095901489258,2007-04-03
51.90095901489258,2007-04-04
51.90095901489258,2007-04-05
51.90095901489258,2007-04-09
51.90095901489258,2007-04-10
35.75399398803711,2007-04-11
35.75399398803711,2007-04-12
35.75399398803711,2007-04-13
35.75399398803711,2007-04-16
35.75399398803711,2007-04-17
35.75399398803711,2007-04-18
35.75399398803711,2007-04-19
23.067092895507812,2007-04-20
25.373802185058594,2007-04-23
25.373802185058594,2007-04-24
25.373802185058594,2007-04-25
23.067092895507812,2007-04-26
18.45367431640625,2007-04-27
14.993610382080078,2007-04-30
14.993610382080078,2007-05-01
14.993610382080078,2007-05-02
16.14696502685547,2007-05-03
16.14696502685547,2007-05-04
16.14696502685547,2007-05-07
16.14696502685547,2007-05-08
16.14696502685547,2007-05-09
16.14696502685547,2007-05-10
16.14696502685547,2007-05-11
16.14696502685547,2007-05-14
16.14696502685547,2007-05-15
16.14696502685547,2007-05-16
11.533546447753906,2007-05-17
10.3801908493042,2007-05-18
10.3801908493042,2007-05-21
10.3801908493042,2007-05-22
10.3801908493042,2007-05-23
10.3801908493042,2007-05-24
10.3801908493042,2007-05-25
10.3801908493042,2007-05-29
10.3801908493042,2007-05-30
10.3801908493042,2007-05-31
11.533546447753906,2007-06-01
11.533546447753906,2007-06-04
11.533546447753906,2007-06-05
8.073481559753418,2007-06-06
8.073481559753418,2007-06-07
8.073481559753418,2007-06-08
8.073481559753418,2007-06-11
8.073481559753418,2007-06-12
8.073481559753418,2007-06-13
8.073481559753418,2007-06-14
8.073481559753418,2007-06-15
