CRUS,Date
6.1875,1989-06-09
6.0,1989-06-12
5.8125,1989-06-13
5.6875,1989-06-14
5.75,1989-06-15
5.6875,1989-06-16
5.625,1989-06-19
5.375,1989-06-20
5.3125,1989-06-21
5.625,1989-06-22
5.8125,1989-06-23
5.5625,1989-06-26
5.625,1989-06-27
5.4375,1989-06-28
5.3125,1989-06-29
5.3125,1989-06-30
5.3125,1989-07-03
5.5,1989-07-05
5.4375,1989-07-06
5.5,1989-07-07
5.75,1989-07-10
5.8125,1989-07-11
5.9375,1989-07-12
6.125,1989-07-13
6.1875,1989-07-14
6.125,1989-07-17
6.25,1989-07-18
6.5625,1989-07-19
6.375,1989-07-20
6.5625,1989-07-21
6.625,1989-07-24
6.875,1989-07-25
6.875,1989-07-26
6.625,1989-07-27
6.5625,1989-07-28
6.4375,1989-07-31
6.4375,1989-08-01
6.4375,1989-08-02
6.4375,1989-08-03
6.5625,1989-08-04
7.3125,1989-08-07
7.25,1989-08-08
7.25,1989-08-09
7.25,1989-08-10
7.25,1989-08-11
7.25,1989-08-14
7.125,1989-08-15
7.125,1989-08-16
7.0,1989-08-17
7.0,1989-08-18
6.8125,1989-08-21
6.9375,1989-08-22
7.3125,1989-08-23
7.4375,1989-08-24
7.25,1989-08-25
7.1875,1989-08-28
7.375,1989-08-29
7.75,1989-08-30
7.625,1989-08-31
7.6875,1989-09-01
7.625,1989-09-05
7.5625,1989-09-06
7.5625,1989-09-07
7.5,1989-09-08
7.5625,1989-09-11
7.4375,1989-09-12
7.5625,1989-09-13
7.375,1989-09-14
7.125,1989-09-15
6.875,1989-09-18
6.875,1989-09-19
6.875,1989-09-20
6.8125,1989-09-21
6.875,1989-09-22
6.625,1989-09-25
6.75,1989-09-26
6.4375,1989-09-27
6.75,1989-09-28
6.75,1989-09-29
7.0,1989-10-02
7.0,1989-10-03
6.875,1989-10-04
6.5,1989-10-05
6.5625,1989-10-06
6.5625,1989-10-09
7.0625,1989-10-10
6.9375,1989-10-11
6.6875,1989-10-12
6.5,1989-10-13
6.0625,1989-10-16
6.375,1989-10-17
6.375,1989-10-18
7.0,1989-10-19
6.5625,1989-10-20
