Date,CTXS
2003-01-02,10.3503
2003-01-03,10.7962
2003-01-06,11.1465
2003-01-07,11.2182
2003-01-08,10.6847
2003-01-09,11.1624
2003-01-10,11.2818
2003-01-13,11.465
2003-01-14,11.7516
2003-01-15,11.5287
2003-01-16,11.2341
2003-01-17,10.215
2003-01-21,10.3264
2003-01-22,10.215
2003-01-23,10.8678
2003-01-24,10.5653
2003-01-27,10.1592
2003-01-28,10.7086
2003-01-29,10.9713
2003-01-30,11.035
2003-01-31,10.9873
2003-02-03,11.2341
2003-02-04,10.828
2003-02-05,10.4618
2003-02-06,9.4666
2003-02-07,9.4188
2003-02-10,9.2277
2003-02-11,9.2914
2003-02-12,9.2675
2003-02-13,9.2516
2003-02-14,9.4427
2003-02-18,9.9602
2003-02-19,10.0
2003-02-20,10.0159
2003-02-21,9.9522
2003-02-24,9.7293
2003-02-25,9.5303
2003-02-26,9.2675
2003-02-27,9.4108
2003-02-28,9.5541
2003-03-03,9.5541
2003-03-04,9.4188
2003-03-05,9.3232
2003-03-06,9.4188
2003-03-07,9.2755
2003-03-10,8.742
2003-03-11,8.8296
2003-03-12,8.9968
2003-03-13,9.6975
2003-03-14,9.8169
2003-03-17,10.4061
2003-03-18,10.5255
2003-03-19,10.6051
2003-03-20,10.9475
2003-03-21,11.2102
2003-03-24,10.5573
2003-03-25,11.1545
2003-03-26,10.8041
2003-03-27,10.7643
2003-03-28,10.7962
2003-03-31,10.4777
2003-04-01,10.5892
2003-04-02,11.6083
2003-04-03,11.6242
2003-04-04,11.1704
2003-04-07,11.2659
2003-04-08,11.3854
2003-04-09,10.8041
2003-04-10,10.9952
2003-04-11,11.0032
2003-04-14,11.4331
2003-04-15,11.5207
2003-04-16,11.6162
2003-04-17,12.4522
2003-04-21,12.2293
2003-04-22,12.3248
2003-04-23,12.285
2003-04-24,14.4586
2003-04-25,14.2038
2003-04-28,14.8885
2003-04-29,14.9682
2003-04-30,15.1274
2003-05-01,15.0398
2003-05-02,15.7643
2003-05-05,15.828
2003-05-06,16.1465
2003-05-07,15.8041
2003-05-08,15.3503
2003-05-09,14.9204
2003-05-12,15.1831
2003-05-13,15.5812
2003-05-14,15.6051
2003-05-15,16.0828
2003-05-16,16.3296
2003-05-19,15.4061
2003-05-20,15.6051
2003-05-21,15.7404
2003-05-22,16.242
2003-05-23,16.3933
2003-05-27,16.8153
2003-05-28,17.1815
2003-05-29,17.7309
2003-05-30,17.3487
2003-06-02,17.3248
2003-06-03,17.6035
2003-06-04,18.0573
2003-06-05,18.0892
2003-06-06,18.0733
2003-06-09,17.2054
2003-06-10,18.0653
2003-06-11,18.1051
2003-06-12,18.4395
2003-06-13,17.8264
2003-06-16,18.5191
2003-06-17,17.9459
2003-06-18,17.8742
2003-06-19,17.078
2003-06-20,16.8153
2003-06-23,15.9634
2003-06-24,15.836
2003-06-25,15.9156
2003-06-26,16.0669
2003-06-27,16.4809
2003-06-30,16.2102
2003-07-01,17.2452
2003-07-02,18.0016
2003-07-03,17.5876
2003-07-07,18.3201
2003-07-08,19.5064
2003-07-09,19.0127
2003-07-10,18.5908
2003-07-11,19.0685
2003-07-14,18.7978
2003-07-15,19.1083
2003-07-16,18.3201
2003-07-17,17.4602
2003-07-18,17.6433
2003-07-21,17.1258
2003-07-22,17.8344
2003-07-23,18.5111
2003-07-24,14.5541
2003-07-25,15.3583
2003-07-28,15.4299
2003-07-29,15.3185
2003-07-30,14.6656
2003-07-31,14.4825
2003-08-01,14.371
2003-08-04,14.2197
2003-08-05,13.8774
2003-08-06,13.8933
2003-08-07,13.8137
2003-08-08,13.4793
2003-08-11,13.7022
2003-08-12,14.1879
2003-08-13,14.2516
2003-08-14,14.4029
2003-08-15,14.2357
2003-08-18,15.0318
2003-08-19,14.8885
2003-08-20,15.4299
2003-08-21,14.9283
2003-08-22,14.9443
2003-08-25,14.7771
2003-08-26,14.9124
2003-08-27,15.2946
2003-08-28,15.8599
2003-08-29,16.4889
2003-09-02,16.6242
2003-09-03,17.1975
2003-09-04,16.9666
2003-09-05,16.7834
2003-09-08,17.3806
2003-09-09,16.465
2003-09-10,15.621
2003-09-11,16.1545
2003-09-12,16.4889
2003-09-15,16.4172
2003-09-16,17.5637
2003-09-17,17.7707
2003-09-18,18.5032
2003-09-19,18.6545
2003-09-22,17.8503
2003-09-23,18.8217
2003-09-24,18.2086
2003-09-25,17.4602
2003-09-26,16.9268
2003-09-29,18.0255
2003-09-30,17.6194
2003-10-01,18.3678
2003-10-02,18.4475
2003-10-03,19.0924
2003-10-06,19.2755
2003-10-07,19.2994
2003-10-08,19.3471
2003-10-09,19.1401
2003-10-10,19.5303
2003-10-13,21.0589
2003-10-14,21.3854
2003-10-15,21.449
2003-10-16,21.242
2003-10-17,20.5096
2003-10-20,20.5494
2003-10-21,20.8599
2003-10-22,20.414
2003-10-23,19.4745
2003-10-24,19.2675
2003-10-27,19.586
2003-10-28,20.207
2003-10-29,20.4857
2003-10-30,20.1513
2003-10-31,20.0398
2003-11-03,20.7803
2003-11-04,20.8758
2003-11-05,20.8758
2003-11-06,21.0032
2003-11-07,20.7643
2003-11-10,20.3503
2003-11-11,20.1911
2003-11-12,20.9156
2003-11-13,20.8838
2003-11-14,20.0637
2003-11-17,19.7134
2003-11-18,19.1322
2003-11-19,18.8455
2003-11-20,18.1449
