Date,DISCA
2005-07-08,7.8061
2005-07-11,7.8316
2005-07-12,8.2398
2005-07-13,8.1122
2005-07-14,8.1122
2005-07-15,8.0102
2005-07-18,7.602
2005-07-19,7.6224
2005-07-20,7.5765
2005-07-21,7.699
2005-07-22,7.648
2005-07-25,7.1684
2005-07-26,7.1429
2005-07-27,7.1429
2005-07-28,7.2704
2005-07-29,7.2806
2005-08-01,7.1633
2005-08-02,7.1327
2005-08-03,7.2602
2005-08-04,7.2245
2005-08-05,7.1939
2005-08-08,7.1684
2005-08-09,7.1276
2005-08-10,7.199
2005-08-11,7.4439
2005-08-12,7.4949
2005-08-15,7.7245
2005-08-16,7.7551
2005-08-17,7.7041
2005-08-18,7.6633
2005-08-19,7.7602
2005-08-22,7.9082
2005-08-23,8.0
2005-08-24,8.0765
2005-08-25,8.0357
2005-08-26,7.949
2005-08-29,7.8469
2005-08-30,7.8163
2005-08-31,7.7245
2005-09-01,7.7347
2005-09-02,7.7296
2005-09-06,7.7602
2005-09-07,7.7653
2005-09-08,7.7041
2005-09-09,7.6531
2005-09-12,7.6378
2005-09-13,7.5714
2005-09-14,7.6122
2005-09-15,7.6531
2005-09-16,7.6531
2005-09-19,7.6786
2005-09-20,7.6735
2005-09-21,7.5459
2005-09-22,7.5
2005-09-23,7.4643
2005-09-26,7.4388
2005-09-27,7.4337
2005-09-28,7.352
2005-09-29,7.2704
2005-09-30,7.3622
2005-10-03,7.4133
2005-10-04,7.1531
2005-10-05,7.0918
2005-10-06,7.0459
2005-10-07,7.1327
2005-10-10,7.1276
2005-10-11,7.1684
2005-10-12,7.1531
2005-10-13,7.2704
2005-10-14,7.3929
2005-10-17,7.2602
2005-10-18,7.2296
2005-10-19,7.148
2005-10-20,7.0816
2005-10-21,7.1837
2005-10-24,7.2653
2005-10-25,7.1633
2005-10-26,7.1327
2005-10-27,7.0102
2005-10-28,7.2398
2005-10-31,7.1888
2005-11-01,7.2551
2005-11-02,7.3367
2005-11-03,7.2449
2005-11-04,7.199
2005-11-07,7.2194
2005-11-08,7.3214
2005-11-09,7.3163
2005-11-10,7.5459
2005-11-11,7.7857
2005-11-14,7.8112
2005-11-15,7.8112
2005-11-16,7.6531
2005-11-17,7.5969
2005-11-18,7.7755
2005-11-21,7.9592
2005-11-22,8.0357
2005-11-23,8.0663
2005-11-25,8.0816
2005-11-28,8.0357
2005-11-29,8.0357
2005-11-30,7.9643
2005-12-01,7.9796
2005-12-02,7.9592
2005-12-05,7.9031
2005-12-06,7.7092
2005-12-07,7.801
2005-12-08,7.9031
2005-12-09,7.898
2005-12-12,8.0612
2005-12-13,8.1531
2005-12-14,8.1633
2005-12-15,7.9337
2005-12-16,8.1888
2005-12-19,7.9745
2005-12-20,7.9031
2005-12-21,7.8265
2005-12-22,7.7959
2005-12-23,7.8673
2005-12-27,7.8112
2005-12-28,7.7602
2005-12-29,7.7806
2005-12-30,7.7296
2006-01-03,7.7041
