Date,DISCK
2008-09-18,8.1633
2008-09-19,8.5204
2008-09-22,8.6071
2008-09-23,8.4796
2008-09-24,8.0867
2008-09-25,8.199
2008-09-26,7.9082
2008-09-29,7.4592
2008-09-30,7.2245
2008-10-01,7.301
2008-10-02,6.8367
2008-10-03,6.6276
2008-10-06,6.3622
2008-10-07,6.0204
2008-10-08,5.7194
2008-10-09,5.551
2008-10-10,5.3265
2008-10-13,6.2449
2008-10-14,6.6837
2008-10-15,6.2602
2008-10-16,6.0663
2008-10-17,6.3265
2008-10-20,6.5
2008-10-21,6.4082
2008-10-22,6.0204
2008-10-23,5.8061
2008-10-24,4.9949
2008-10-27,5.102
2008-10-28,5.3827
2008-10-29,5.9286
2008-10-30,6.4235
2008-10-31,6.7959
2008-11-03,6.6582
2008-11-04,6.9286
2008-11-05,6.7653
2008-11-06,5.7908
2008-11-07,6.8929
2008-11-10,6.8112
2008-11-11,6.7041
2008-11-12,6.051
2008-11-13,6.6276
2008-11-14,6.8673
2008-11-17,6.4184
2008-11-18,6.051
2008-11-19,5.9949
2008-11-20,6.102
2008-11-21,6.2908
2008-11-24,6.7194
2008-11-25,6.4898
2008-11-26,6.8061
2008-11-28,7.7194
2008-12-01,6.7194
2008-12-02,6.6837
2008-12-03,6.8878
2008-12-04,6.3214
2008-12-05,6.7806
2008-12-08,7.2551
2008-12-09,6.6939
2008-12-10,6.5969
2008-12-11,6.1276
2008-12-12,6.3827
2008-12-15,6.2143
2008-12-16,6.3469
2008-12-17,6.3827
2008-12-18,6.8265
2008-12-19,7.0612
2008-12-22,6.7449
2008-12-23,6.7143
2008-12-24,6.6786
2008-12-26,6.699
2008-12-29,6.7041
2008-12-30,6.7806
2008-12-31,6.8316
2009-01-02,7.0306
2009-01-05,7.1837
2009-01-06,7.3724
2009-01-07,7.0408
2009-01-08,7.2653
2009-01-09,7.352
2009-01-12,7.3367
2009-01-13,7.5459
2009-01-14,7.4439
2009-01-15,7.3827
2009-01-16,7.4082
2009-01-20,6.8469
2009-01-21,7.3265
2009-01-22,7.3469
2009-01-23,7.3418
2009-01-26,7.2398
2009-01-27,7.4286
2009-01-28,7.449
2009-01-29,7.2143
2009-01-30,7.3367
2009-02-02,7.3571
2009-02-03,7.2347
2009-02-04,6.9388
2009-02-05,6.8214
2009-02-06,7.0204
2009-02-09,7.0204
2009-02-10,6.8316
2009-02-11,6.9184
2009-02-12,7.0459
2009-02-13,7.0306
2009-02-17,6.7347
2009-02-18,6.6276
2009-02-19,6.4439
2009-02-20,6.2551
2009-02-23,6.1735
2009-02-24,6.4694
2009-02-25,7.2092
2009-02-26,7.1633
2009-02-27,7.4898
2009-03-02,7.4031
2009-03-03,7.5561
2009-03-04,7.398
2009-03-05,7.2755
2009-03-06,7.1327
2009-03-09,6.7857
2009-03-10,7.148
2009-03-11,7.2704
2009-03-12,7.7551
2009-03-13,7.8418
2009-03-16,7.7806
2009-03-17,7.7806
2009-03-18,7.7857
2009-03-19,7.5663
2009-03-20,7.398
2009-03-23,7.7449
2009-03-24,7.5714
2009-03-25,7.5357
2009-03-26,7.6786
2009-03-27,7.5459
2009-03-30,7.4592
2009-03-31,7.4745
2009-04-01,7.9235
2009-04-02,8.3418
2009-04-03,8.4847
2009-04-06,8.4031
2009-04-07,7.8367
2009-04-08,7.9898
2009-04-09,8.301
2009-04-13,8.2398
2009-04-14,8.0153
2009-04-15,8.0714
2009-04-16,8.5255
2009-04-17,8.5663
2009-04-20,8.4235
2009-04-21,8.5918
2009-04-22,8.7857
2009-04-23,8.4847
2009-04-24,8.5816
2009-04-27,8.7041
2009-04-28,8.6837
2009-04-29,9.25
2009-04-30,8.9388
2009-05-01,8.8214
2009-05-04,9.5918
2009-05-05,10.148
2009-05-06,10.0714
2009-05-07,9.6735
2009-05-08,9.6582
2009-05-11,9.6939
2009-05-12,9.2755
2009-05-13,9.1378
2009-05-14,9.2194
2009-05-15,9.2296
2009-05-18,9.5765
2009-05-19,9.8316
2009-05-20,10.4133
2009-05-21,10.2092
2009-05-22,10.301
2009-05-26,10.3316
2009-05-27,10.2398
2009-05-28,10.4235
2009-05-29,10.6327
2009-06-01,10.6122
2009-06-02,10.6531
2009-06-03,10.5969
2009-06-04,10.4745
2009-06-05,10.7143
2009-06-08,10.898
2009-06-09,11.0051
2009-06-10,10.7398
2009-06-11,10.5408
2009-06-12,10.2908
2009-06-15,10.1939
2009-06-16,9.8367
2009-06-17,9.8163
2009-06-18,9.8367
2009-06-19,9.6276
2009-06-22,9.398
2009-06-23,9.3214
2009-06-24,9.5765
2009-06-25,9.7959
2009-06-26,10.8265
2009-06-29,10.3724
2009-06-30,10.4745
2009-07-01,10.8214
2009-07-02,10.4133
2009-07-06,10.2602
2009-07-07,10.148
2009-07-08,10.1276
2009-07-09,10.4133
2009-07-10,10.4388
2009-07-13,10.4133
2009-07-14,10.7041
2009-07-15,11.0204
2009-07-16,11.051
2009-07-17,10.8622
2009-07-20,11.2143
2009-07-21,11.1684
2009-07-22,11.1633
2009-07-23,11.25
2009-07-24,11.3112
2009-07-27,11.2602
2009-07-28,11.4439
2009-07-29,11.2653
2009-07-30,11.4031
2009-07-31,11.4286
2009-08-03,11.7908
2009-08-04,11.7041
2009-08-05,11.7143
2009-08-06,11.7092
2009-08-07,11.9796
2009-08-10,11.9082
2009-08-11,11.699
2009-08-12,11.8265
2009-08-13,11.699
2009-08-14,11.648
2009-08-17,11.4133
2009-08-18,11.5663
2009-08-19,11.6786
2009-08-20,11.7959
2009-08-21,12.0
2009-08-24,12.0663
