ES,Date
2.6023645401000977,1973-02-21
2.644336700439453,1973-02-22
2.602358341217041,1973-02-23
2.5810279846191406,1973-02-26
2.559696912765503,1973-02-27
2.559696912765503,1973-02-28
2.5383665561676025,1973-03-01
2.517033338546753,1973-03-02
2.517033338546753,1973-03-05
2.5810279846191406,1973-03-06
2.559696912765503,1973-03-07
2.559696912765503,1973-03-08
2.5383665561676025,1973-03-09
2.517033338546753,1973-03-12
2.5383665561676025,1973-03-13
2.559696912765503,1973-03-14
2.559696912765503,1973-03-15
2.559696912765503,1973-03-16
2.517033338546753,1973-03-19
2.4957046508789062,1973-03-20
2.4957046508789062,1973-03-21
2.4957046508789062,1973-03-22
2.474372148513794,1973-03-23
2.517033338546753,1973-03-26
2.517033338546753,1973-03-27
2.4957046508789062,1973-03-28
2.4957046508789062,1973-03-29
2.4957046508789062,1973-03-30
2.4957046508789062,1973-04-02
2.4957046508789062,1973-04-03
2.5383665561676025,1973-04-04
2.4957046508789062,1973-04-05
2.4957046508789062,1973-04-06
2.517033338546753,1973-04-09
2.517033338546753,1973-04-10
2.5810279846191406,1973-04-11
2.559696912765503,1973-04-12
2.559696912765503,1973-04-13
2.517033338546753,1973-04-16
2.5383665561676025,1973-04-17
2.517033338546753,1973-04-18
2.5383665561676025,1973-04-19
2.5383665561676025,1973-04-23
2.559696912765503,1973-04-24
2.4957046508789062,1973-04-25
2.517033338546753,1973-04-26
2.517033338546753,1973-04-27
2.517033338546753,1973-04-30
2.4957046508789062,1973-05-01
2.4957046508789062,1973-05-02
2.517033338546753,1973-05-03
2.5383665561676025,1973-05-04
2.517033338546753,1973-05-07
2.4957046508789062,1973-05-08
2.4957046508789062,1973-05-09
2.517033338546753,1973-05-10
2.474372148513794,1973-05-11
2.474372148513794,1973-05-14
2.4957046508789062,1973-05-15
2.4957046508789062,1973-05-16
2.4317121505737305,1973-05-17
2.4103808403015137,1973-05-18
2.4317121505737305,1973-05-21
2.4317121505737305,1973-05-22
2.4317121505737305,1973-05-23
2.474372148513794,1973-05-24
2.4317121505737305,1973-05-25
2.4317121505737305,1973-05-29
2.4317121505737305,1973-05-30
2.4317121505737305,1973-05-31
2.4317121505737305,1973-06-01
2.4317121505737305,1973-06-04
2.4317121505737305,1973-06-05
2.4317121505737305,1973-06-06
2.4103808403015137,1973-06-07
2.4317121505737305,1973-06-08
2.4317121505737305,1973-06-11
2.4317121505737305,1973-06-12
2.474372148513794,1973-06-13
2.474372148513794,1973-06-14
2.4317121505737305,1973-06-15
2.4103808403015137,1973-06-18
2.4317121505737305,1973-06-19
2.4103808403015137,1973-06-20
2.4317121505737305,1973-06-21
2.4103808403015137,1973-06-22
2.4103808403015137,1973-06-25
2.453042507171631,1973-06-26
2.453042507171631,1973-06-27
2.453042507171631,1973-06-28
2.453042507171631,1973-06-29
2.4103808403015137,1973-07-02
2.4317121505737305,1973-07-03
2.4103808403015137,1973-07-05
2.4317121505737305,1973-07-06
2.453042507171631,1973-07-09
2.4103808403015137,1973-07-10
2.474372148513794,1973-07-11
2.4317121505737305,1973-07-12
2.4103808403015137,1973-07-13
2.474372148513794,1973-07-16
2.4103808403015137,1973-07-17
2.4317121505737305,1973-07-18
2.4103808403015137,1973-07-19
2.4103808403015137,1973-07-20
2.4103808403015137,1973-07-23
2.3890507221221924,1973-07-24
2.3250572681427,1973-07-25
2.3250572681427,1973-07-26
2.346388339996338,1973-07-27
2.3037264347076416,1973-07-30
2.3250572681427,1973-07-31
2.282397508621216,1973-08-01
2.282397508621216,1973-08-02
2.2397336959838867,1973-08-03
2.282397508621216,1973-08-06
2.218404531478882,1973-08-07
2.218404531478882,1973-08-08
2.218404531478882,1973-08-09
2.218404531478882,1973-08-10
2.218404531478882,1973-08-13
2.2397336959838867,1973-08-14
2.218404531478882,1973-08-15
2.218404531478882,1973-08-16
2.2397336959838867,1973-08-17
2.2397336959838867,1973-08-20
2.261066436767578,1973-08-21
2.2397336959838867,1973-08-22
2.2397336959838867,1973-08-23
2.261066436767578,1973-08-24
2.218404531478882,1973-08-27
2.261066436767578,1973-08-28
2.218404531478882,1973-08-29
2.218404531478882,1973-08-30
2.218404531478882,1973-08-31
2.218404531478882,1973-09-04
2.2397336959838867,1973-09-05
2.261066436767578,1973-09-06
2.282397508621216,1973-09-07
2.2397336959838867,1973-09-10
2.261066436767578,1973-09-11
2.218404531478882,1973-09-12
2.2397336959838867,1973-09-13
2.218404531478882,1973-09-14
2.261066436767578,1973-09-17
2.218404531478882,1973-09-18
2.2397336959838867,1973-09-19
2.261066436767578,1973-09-20
2.261066436767578,1973-09-21
2.261066436767578,1973-09-24
2.261066436767578,1973-09-25
2.346388339996338,1973-09-26
2.282397508621216,1973-09-27
2.3250572681427,1973-09-28
2.346388339996338,1973-10-01
2.346388339996338,1973-10-02
2.3250572681427,1973-10-03
2.346388339996338,1973-10-04
2.3037264347076416,1973-10-05
2.3037264347076416,1973-10-08
2.261066436767578,1973-10-09
2.282397508621216,1973-10-10
2.3037264347076416,1973-10-11
2.282397508621216,1973-10-12
2.261066436767578,1973-10-15
2.261066436767578,1973-10-16
2.261066436767578,1973-10-17
2.261066436767578,1973-10-18
2.2397336959838867,1973-10-19
2.261066436767578,1973-10-22
2.218404531478882,1973-10-23
2.218404531478882,1973-10-24
2.261066436767578,1973-10-25
2.2397336959838867,1973-10-26
2.2397336959838867,1973-10-29
2.2397336959838867,1973-10-30
2.2397336959838867,1973-10-31
2.2397336959838867,1973-11-01
2.218404531478882,1973-11-02
2.1757428646087646,1973-11-05
2.197072744369507,1973-11-06
2.197072744369507,1973-11-07
2.1757428646087646,1973-11-08
2.154411792755127,1973-11-09
2.1117496490478516,1973-11-12
2.13308048248291,1973-11-13
2.069087266921997,1973-11-14
2.1117496490478516,1973-11-15
2.1117496490478516,1973-11-16
2.0477566719055176,1973-11-19
2.090418577194214,1973-11-20
2.090418577194214,1973-11-21
2.13308048248291,1973-11-23
2.0050954818725586,1973-11-26
1.9197734594345093,1973-11-27
1.9197734594345093,1973-11-28
1.9411041736602783,1973-11-29
1.9197734594345093,1973-11-30
1.8771111965179443,1973-12-03
1.8771111965179443,1973-12-04
1.7704565525054932,1973-12-05
1.8557802438735962,1973-12-06
1.9411041736602783,1973-12-07
1.898441195487976,1973-12-10
1.8344478607177734,1973-12-11
1.813118577003479,1973-12-12
1.813118577003479,1973-12-13
1.7917873859405518,1973-12-14
1.7917873859405518,1973-12-17
1.7917873859405518,1973-12-18
1.7917873859405518,1973-12-19
1.7917873859405518,1973-12-20
1.7917873859405518,1973-12-21
1.813118577003479,1973-12-24
1.8557802438735962,1973-12-26
1.898441195487976,1973-12-27
1.898441195487976,1973-12-28
1.9411041736602783,1973-12-31
2.0050954818725586,1974-01-02
2.02642560005188,1974-01-03
2.02642560005188,1974-01-04
2.02642560005188,1974-01-07
1.9411041736602783,1974-01-08
1.9411041736602783,1974-01-09
1.9624336957931519,1974-01-10
1.9837650060653687,1974-01-11
1.9837650060653687,1974-01-14
1.9411041736602783,1974-01-15
1.9837650060653687,1974-01-16
2.0050954818725586,1974-01-17
1.9624336957931519,1974-01-18
2.02642560005188,1974-01-21
2.090418577194214,1974-01-22
2.0477566719055176,1974-01-23
2.069087266921997,1974-01-24
2.069087266921997,1974-01-25
2.0477566719055176,1974-01-28
2.0477566719055176,1974-01-29
2.0050954818725586,1974-01-30
2.0050954818725586,1974-01-31
2.0050954818725586,1974-02-01
2.0050954818725586,1974-02-04
2.02642560005188,1974-02-05
2.0477566719055176,1974-02-06
2.069087266921997,1974-02-07
2.069087266921997,1974-02-08
2.069087266921997,1974-02-11
2.0477566719055176,1974-02-12
2.0477566719055176,1974-02-13
2.1117496490478516,1974-02-14
2.090418577194214,1974-02-15
2.1117496490478516,1974-02-19
2.13308048248291,1974-02-20
2.13308048248291,1974-02-21
2.13308048248291,1974-02-22
2.090418577194214,1974-02-25
2.0477566719055176,1974-02-26
2.069087266921997,1974-02-27
2.069087266921997,1974-02-28
2.069087266921997,1974-03-01
2.069087266921997,1974-03-04
2.0477566719055176,1974-03-05
2.0477566719055176,1974-03-06
2.0477566719055176,1974-03-07
2.02642560005188,1974-03-08
2.0477566719055176,1974-03-11
2.0050954818725586,1974-03-12
2.0477566719055176,1974-03-13
2.02642560005188,1974-03-14
2.0050954818725586,1974-03-15
2.0050954818725586,1974-03-18
2.0050954818725586,1974-03-19
1.9624336957931519,1974-03-20
1.9837650060653687,1974-03-21
2.0050954818725586,1974-03-22
1.9837650060653687,1974-03-25
1.9837650060653687,1974-03-26
2.0050954818725586,1974-03-27
1.9624336957931519,1974-03-28
1.9837650060653687,1974-03-29
1.9837650060653687,1974-04-01
1.898441195487976,1974-04-02
1.9411041736602783,1974-04-03
1.9411041736602783,1974-04-04
1.9197734594345093,1974-04-05
1.8771111965179443,1974-04-08
1.898441195487976,1974-04-09
1.9197734594345093,1974-04-10
1.8771111965179443,1974-04-11
1.8771111965179443,1974-04-15
1.9411041736602783,1974-04-16
1.898441195487976,1974-04-17
1.898441195487976,1974-04-18
1.8771111965179443,1974-04-19
1.8771111965179443,1974-04-22
1.7491251230239868,1974-04-23
1.6211405992507935,1974-04-24
1.6211405992507935,1974-04-25
1.5784789323806763,1974-04-26
1.5571473836898804,1974-04-29
1.493155837059021,1974-04-30
1.5571473836898804,1974-05-01
1.5144869089126587,1974-05-02
1.5144869089126587,1974-05-03
1.4504947662353516,1974-05-06
1.4718255996704102,1974-05-07
1.4718255996704102,1974-05-08
1.493155837059021,1974-05-09
1.4504947662353516,1974-05-10
1.4078335762023926,1974-05-13
1.2798484563827515,1974-05-14
1.3225101232528687,1974-05-15
1.3225101232528687,1974-05-16
1.3225101232528687,1974-05-17
1.3225101232528687,1974-05-20
1.3225101232528687,1974-05-21
1.2798484563827515,1974-05-22
1.429163932800293,1974-05-23
1.2798484563827515,1974-05-24
1.2585166692733765,1974-05-28
1.2158560752868652,1974-05-29
1.1945253610610962,1974-05-30
1.2585166692733765,1974-05-31
1.2798484563827515,1974-06-03
1.3011791706085205,1974-06-04
1.3011791706085205,1974-06-05
1.3011791706085205,1974-06-06
1.343841314315796,1974-06-07
1.3651716709136963,1974-06-10
1.343841314315796,1974-06-11
1.3011791706085205,1974-06-12
1.3011791706085205,1974-06-13
1.3011791706085205,1974-06-14
1.2585166692733765,1974-06-17
1.237186074256897,1974-06-18
1.237186074256897,1974-06-19
1.1945253610610962,1974-06-20
1.2158560752868652,1974-06-21
1.237186074256897,1974-06-24
1.2158560752868652,1974-06-25
1.173194169998169,1974-06-26
1.173194169998169,1974-06-27
1.109202265739441,1974-06-28
1.1945253610610962,1974-07-01
1.173194169998169,1974-07-02
1.1945253610610962,1974-07-03
1.173194169998169,1974-07-05
1.1518632173538208,1974-07-08
1.1518632173538208,1974-07-09
1.173194169998169,1974-07-10
1.1518632173538208,1974-07-11
1.2585166692733765,1974-07-12
1.1945253610610962,1974-07-15
1.237186074256897,1974-07-16
1.237186074256897,1974-07-17
1.237186074256897,1974-07-18
1.2158560752868652,1974-07-19
1.173194169998169,1974-07-22
1.237186074256897,1974-07-23
1.2585166692733765,1974-07-24
1.2158560752868652,1974-07-25
1.1945253610610962,1974-07-26
1.2158560752868652,1974-07-29
1.173194169998169,1974-07-30
1.1945253610610962,1974-07-31
1.1945253610610962,1974-08-01
1.1945253610610962,1974-08-02
1.2158560752868652,1974-08-05
1.2158560752868652,1974-08-06
1.237186074256897,1974-08-07
1.2585166692733765,1974-08-08
1.2798484563827515,1974-08-09
1.2798484563827515,1974-08-12
1.3011791706085205,1974-08-13
1.2585166692733765,1974-08-14
1.237186074256897,1974-08-15
1.1945253610610962,1974-08-16
1.1945253610610962,1974-08-19
1.2585166692733765,1974-08-20
1.237186074256897,1974-08-21
1.237186074256897,1974-08-22
1.2585166692733765,1974-08-23
1.173194169998169,1974-08-26
1.130533218383789,1974-08-27
1.1518632173538208,1974-08-28
1.130533218383789,1974-08-29
1.109202265739441,1974-08-30
1.109202265739441,1974-09-03
1.0878714323043823,1974-09-04
1.109202265739441,1974-09-05
1.109202265739441,1974-09-06
1.0878714323043823,1974-09-09
1.045209288597107,1974-09-10
