EW,Date
1.375,2000-03-27
1.3385419845581055,2000-03-28
1.3333330154418945,2000-03-29
1.28125,2000-03-30
1.1302080154418945,2000-03-31
1.1458330154418945,2000-04-03
1.1666669845581055,2000-04-04
1.1614580154418945,2000-04-05
1.1927080154418945,2000-04-06
1.203125,2000-04-07
1.2135419845581055,2000-04-10
1.1927080154418945,2000-04-11
1.1927080154418945,2000-04-12
1.2044270038604736,2000-04-13
1.203125,2000-04-14
1.1875,2000-04-17
1.171875,2000-04-18
1.1979169845581055,2000-04-19
1.21875,2000-04-20
1.1875,2000-04-24
1.2552080154418945,2000-04-25
1.2760419845581055,2000-04-26
1.234375,2000-04-27
1.25,2000-04-28
1.2291669845581055,2000-05-01
1.2135419845581055,2000-05-02
1.1875,2000-05-03
1.2291669845581055,2000-05-04
1.2604169845581055,2000-05-05
1.2708330154418945,2000-05-08
1.25,2000-05-09
1.265625,2000-05-10
1.2447919845581055,2000-05-11
1.3072919845581055,2000-05-12
1.3645830154418945,2000-05-15
1.375,2000-05-16
1.3333330154418945,2000-05-17
1.296875,2000-05-18
1.2760419845581055,2000-05-19
1.296875,2000-05-22
1.3020830154418945,2000-05-23
1.3697919845581055,2000-05-24
1.4427080154418945,2000-05-25
1.5,2000-05-26
1.6458330154418945,2000-05-30
1.6927080154418945,2000-05-31
1.65625,2000-06-01
1.5989580154418945,2000-06-02
1.5104169845581055,2000-06-05
1.4270830154418945,2000-06-06
1.5416669845581055,2000-06-07
1.5416669845581055,2000-06-08
1.5416669845581055,2000-06-09
1.5520830154418945,2000-06-12
1.53125,2000-06-13
1.5364580154418945,2000-06-14
1.5260419845581055,2000-06-15
1.5,2000-06-16
1.5104169845581055,2000-06-19
1.484375,2000-06-20
1.5833330154418945,2000-06-21
1.6197919845581055,2000-06-22
1.65625,2000-06-23
1.65625,2000-06-26
1.59375,2000-06-27
1.703125,2000-06-28
1.6875,2000-06-29
1.542968988418579,2000-06-30
1.7135419845581055,2000-07-03
1.640625,2000-07-05
1.6875,2000-07-06
1.7083330154418945,2000-07-07
1.7708330154418945,2000-07-10
1.8333330154418945,2000-07-11
1.84375,2000-07-12
1.9375,2000-07-13
1.9114580154418945,2000-07-14
1.9010419845581055,2000-07-17
1.9895830154418945,2000-07-18
2.015625,2000-07-19
2.0052080154418945,2000-07-20
2.0729169845581055,2000-07-21
2.0625,2000-07-24
2.0416669845581055,2000-07-25
1.9947919845581055,2000-07-26
1.9583330154418945,2000-07-27
1.921875,2000-07-28
1.8177080154418945,2000-07-31
1.8854169845581055,2000-08-01
1.9010419845581055,2000-08-02
1.9270830154418945,2000-08-03
1.9166669845581055,2000-08-04
1.8854169845581055,2000-08-07
1.875,2000-08-08
1.84375,2000-08-09
1.8072919845581055,2000-08-10
1.8697919845581055,2000-08-11
1.8802080154418945,2000-08-14
1.9010419845581055,2000-08-15
1.90625,2000-08-16
1.8958330154418945,2000-08-17
1.875,2000-08-18
1.9322919845581055,2000-08-21
1.90625,2000-08-22
1.90625,2000-08-23
1.8958330154418945,2000-08-24
1.890625,2000-08-25
1.9114580154418945,2000-08-28
1.9947919845581055,2000-08-29
2.03125,2000-08-30
2.1875,2000-08-31
1.8854169845581055,2000-09-01
1.8854169845581055,2000-09-05
1.8697919845581055,2000-09-06
1.8854169845581055,2000-09-07
1.8541669845581055,2000-09-08
1.859375,2000-09-11
1.8541669845581055,2000-09-12
1.75,2000-09-13
1.78125,2000-09-14
1.7395830154418945,2000-09-15
1.6458330154418945,2000-09-18
1.65625,2000-09-19
1.6822919845581055,2000-09-20
1.65625,2000-09-21
1.6875,2000-09-22
1.703125,2000-09-25
1.71875,2000-09-26
1.7083330154418945,2000-09-27
1.75,2000-09-28
1.8177080154418945,2000-09-29
1.6822919845581055,2000-10-02
1.6770830154418945,2000-10-03
1.6614580154418945,2000-10-04
1.7135419845581055,2000-10-05
1.7604169845581055,2000-10-06
1.7239580154418945,2000-10-09
1.71875,2000-10-10
1.734375,2000-10-11
1.7552080154418945,2000-10-12
1.8645830154418945,2000-10-13
1.8385419845581055,2000-10-16
1.8958330154418945,2000-10-17
1.9114580154418945,2000-10-18
1.953125,2000-10-19
1.9375,2000-10-20
1.9739580154418945,2000-10-23
2.015625,2000-10-24
1.9895830154418945,2000-10-25
1.9427080154418945,2000-10-26
1.9166669845581055,2000-10-27
1.9114580154418945,2000-10-30
1.1197919845581055,2000-10-31
1.0833330154418945,2000-11-01
1.1822919845581055,2000-11-02
1.265625,2000-11-03
1.25,2000-11-06
1.2708330154418945,2000-11-07
1.2864580154418945,2000-11-08
1.265625,2000-11-09
1.2239580154418945,2000-11-10
1.1927080154418945,2000-11-13
1.1614580154418945,2000-11-14
1.1822919845581055,2000-11-15
1.1875,2000-11-16
1.1822919845581055,2000-11-17
1.1458330154418945,2000-11-20
1.2447919845581055,2000-11-21
1.3020830154418945,2000-11-22
1.3333330154418945,2000-11-24
1.328125,2000-11-27
1.3385419845581055,2000-11-28
1.34375,2000-11-29
1.3385419845581055,2000-11-30
