FFIV,Date
7.4375,1999-06-04
7.75,1999-06-07
9.84375,1999-06-08
9.6875,1999-06-09
8.59375,1999-06-10
8.0,1999-06-11
7.625,1999-06-14
7.75,1999-06-15
8.34375,1999-06-16
10.03125,1999-06-17
9.3125,1999-06-18
9.75,1999-06-21
9.875,1999-06-22
9.3125,1999-06-23
9.0,1999-06-24
11.3125,1999-06-25
13.9375,1999-06-28
15.75,1999-06-29
20.5,1999-06-30
19.25,1999-07-01
18.5,1999-07-02
20.78125,1999-07-06
19.75,1999-07-07
21.96875,1999-07-08
25.375,1999-07-09
27.46875,1999-07-12
25.34375,1999-07-13
26.71875,1999-07-14
35.625,1999-07-15
34.5625,1999-07-16
34.5,1999-07-19
31.40625,1999-07-20
29.34375,1999-07-21
30.40625,1999-07-22
29.4375,1999-07-23
25.75,1999-07-26
27.0,1999-07-27
28.8125,1999-07-28
25.375,1999-07-29
25.0,1999-07-30
22.25,1999-08-02
20.5625,1999-08-03
17.25,1999-08-04
17.3125,1999-08-05
16.0625,1999-08-06
14.9375,1999-08-09
18.75,1999-08-10
21.4375,1999-08-11
22.75,1999-08-12
27.21875,1999-08-13
29.5,1999-08-16
28.3125,1999-08-17
26.65625,1999-08-18
25.8125,1999-08-19
27.4375,1999-08-20
30.4375,1999-08-23
33.3125,1999-08-24
31.71875,1999-08-25
30.34375,1999-08-26
28.625,1999-08-27
31.0,1999-08-30
33.90625,1999-08-31
32.25,1999-09-01
32.75,1999-09-02
34.75,1999-09-03
37.65625,1999-09-07
34.75,1999-09-08
35.5,1999-09-09
37.3125,1999-09-10
36.625,1999-09-13
34.96875,1999-09-14
32.390625,1999-09-15
35.0625,1999-09-16
34.375,1999-09-17
32.90625,1999-09-20
34.328125,1999-09-21
34.75,1999-09-22
32.875,1999-09-23
33.125,1999-09-24
34.46875,1999-09-27
33.5,1999-09-28
33.75,1999-09-29
34.0,1999-09-30
34.03125,1999-10-01
33.6875,1999-10-04
36.75,1999-10-05
40.125,1999-10-06
36.9375,1999-10-07
39.03125,1999-10-08
46.0,1999-10-11
45.46875,1999-10-12
40.5,1999-10-13
39.90625,1999-10-14
37.5,1999-10-15
36.96875,1999-10-18
37.375,1999-10-19
42.75,1999-10-20
44.625,1999-10-21
45.375,1999-10-22
46.0,1999-10-25
49.5625,1999-10-26
68.5,1999-10-27
67.0,1999-10-28
69.375,1999-10-29
76.3125,1999-11-01
74.875,1999-11-02
74.25,1999-11-03
72.34375,1999-11-04
69.25,1999-11-05
65.0,1999-11-08
69.625,1999-11-09
71.375,1999-11-10
68.5,1999-11-11
67.5625,1999-11-12
66.75,1999-11-15
75.03125,1999-11-16
77.1875,1999-11-17
77.9375,1999-11-18
72.25,1999-11-19
70.6875,1999-11-22
63.5,1999-11-23
63.5,1999-11-24
62.9375,1999-11-26
