GL,Date
1.383479118347168,1980-10-01
1.3653937578201294,1980-10-02
1.3563523292541504,1980-10-03
1.33826744556427,1980-10-06
1.311140537261963,1980-10-07
1.3292250633239746,1980-10-08
1.3292250633239746,1980-10-09
1.3292250633239746,1980-10-10
1.33826744556427,1980-10-13
1.3292250633239746,1980-10-14
1.3201826810836792,1980-10-15
1.3201826810836792,1980-10-16
1.3201826810836792,1980-10-17
1.3020974397659302,1980-10-20
1.2930538654327393,1980-10-21
1.2930538654327393,1980-10-22
1.2749707698822021,1980-10-23
1.2749707698822021,1980-10-24
1.2659270763397217,1980-10-27
1.2659270763397217,1980-10-28
1.2568857669830322,1980-10-29
1.2568857669830322,1980-10-30
1.2568857669830322,1980-10-31
1.2478442192077637,1980-11-03
1.2478442192077637,1980-11-05
1.2388023138046265,1980-11-06
1.2297593355178833,1980-11-07
1.2297593355178833,1980-11-10
1.2840136289596558,1980-11-11
1.3020974397659302,1980-11-12
1.311140537261963,1980-11-13
1.3201826810836792,1980-11-14
1.311140537261963,1980-11-17
1.2930538654327393,1980-11-18
1.2840136289596558,1980-11-19
1.2930538654327393,1980-11-20
1.2840136289596558,1980-11-21
1.2930538654327393,1980-11-24
1.311140537261963,1980-11-25
1.347309947013855,1980-11-26
1.3744370937347412,1980-11-28
1.383479118347168,1980-12-01
1.4558178186416626,1980-12-02
1.4739023447036743,1980-12-03
1.4739023447036743,1980-12-04
1.383479118347168,1980-12-05
1.3563523292541504,1980-12-08
1.3744370937347412,1980-12-09
1.3744370937347412,1980-12-10
1.3744370937347412,1980-12-11
1.3744370937347412,1980-12-12
1.3744370937347412,1980-12-15
1.3744370937347412,1980-12-16
1.3563523292541504,1980-12-17
1.3563523292541504,1980-12-18
1.3563523292541504,1980-12-19
1.3925215005874634,1980-12-22
1.383479118347168,1980-12-23
1.3744370937347412,1980-12-24
1.383479118347168,1980-12-26
1.383479118347168,1980-12-29
1.4106056690216064,1980-12-30
1.4829442501068115,1980-12-31
1.6095377206802368,1981-01-02
1.6457067728042603,1981-01-05
1.6366653442382812,1981-01-06
1.5824109315872192,1981-01-07
1.5643266439437866,1981-01-08
1.5462409257888794,1981-01-09
1.5552839040756226,1981-01-12
1.5010294914245605,1981-01-13
1.5191128253936768,1981-01-14
1.5191128253936768,1981-01-15
1.5552839040756226,1981-01-16
1.5552839040756226,1981-01-19
1.5371986627578735,1981-01-20
1.5552839040756226,1981-01-21
1.5552839040756226,1981-01-22
1.5552839040756226,1981-01-23
1.5010294914245605,1981-01-26
1.5010294914245605,1981-01-27
1.4829442501068115,1981-01-28
1.5100715160369873,1981-01-29
1.4648597240447998,1981-01-30
1.446775197982788,1981-02-02
1.4739023447036743,1981-02-03
1.5010294914245605,1981-02-04
1.491988182067871,1981-02-05
1.5100715160369873,1981-02-06
1.5100715160369873,1981-02-09
1.491988182067871,1981-02-10
1.4648597240447998,1981-02-11
1.4829442501068115,1981-02-12
1.5191128253936768,1981-02-13
1.5010294914245605,1981-02-17
1.4648597240447998,1981-02-18
1.4739023447036743,1981-02-19
1.491988182067871,1981-02-20
1.4739023447036743,1981-02-23
1.4739023447036743,1981-02-24
1.5010294914245605,1981-02-25
1.5100715160369873,1981-02-26
1.5010294914245605,1981-02-27
1.491988182067871,1981-03-02
1.5914521217346191,1981-03-03
1.7180465459823608,1981-03-04
1.6728334426879883,1981-03-05
1.6366653442382812,1981-03-06
1.6457067728042603,1981-03-09
1.6095377206802368,1981-03-10
1.6547497510910034,1981-03-11
1.690917730331421,1981-03-12
1.6728334426879883,1981-03-13
1.7542147636413574,1981-03-16
1.7542147636413574,1981-03-17
1.7361302375793457,1981-03-18
1.7361302375793457,1981-03-19
1.7903846502304077,1981-03-20
1.8175113201141357,1981-03-23
1.808469295501709,1981-03-24
1.826554536819458,1981-03-25
1.8175113201141357,1981-03-26
1.781342625617981,1981-03-27
1.7903846502304077,1981-03-30
1.781342625617981,1981-03-31
1.799426794052124,1981-04-01
1.799426794052124,1981-04-02
1.7723007202148438,1981-04-03
1.7451717853546143,1981-04-06
1.6999613046646118,1981-04-07
1.7361302375793457,1981-04-08
1.6728334426879883,1981-04-09
1.6728334426879883,1981-04-10
1.6637911796569824,1981-04-13
1.7361302375793457,1981-04-14
1.6818749904632568,1981-04-15
1.690917730331421,1981-04-16
1.690917730331421,1981-04-20
1.7361302375793457,1981-04-21
1.7451717853546143,1981-04-22
1.7361302375793457,1981-04-23
1.7270880937576294,1981-04-24
1.7270880937576294,1981-04-27
1.6637911796569824,1981-04-28
1.6457067728042603,1981-04-29
1.6457067728042603,1981-04-30
1.6457067728042603,1981-05-01
1.618579626083374,1981-05-04
1.6547497510910034,1981-05-05
1.6818749904632568,1981-05-06
1.6999613046646118,1981-05-07
1.7451717853546143,1981-05-08
1.7180465459823608,1981-05-11
1.7451717853546143,1981-05-12
1.7542147636413574,1981-05-13
1.7361302375793457,1981-05-14
1.7361302375793457,1981-05-15
1.7451717853546143,1981-05-18
1.7361302375793457,1981-05-19
1.808469295501709,1981-05-20
1.7632571458816528,1981-05-21
1.7723007202148438,1981-05-22
1.826554536819458,1981-05-26
1.8446388244628906,1981-05-27
1.826554536819458,1981-05-28
1.826554536819458,1981-05-29
1.8808082342147827,1981-06-01
1.8808082342147827,1981-06-02
1.8808082342147827,1981-06-03
1.8808082342147827,1981-06-04
1.8898499011993408,1981-06-05
1.8808082342147827,1981-06-08
1.8808082342147827,1981-06-09
1.8898499011993408,1981-06-10
1.9079340696334839,1981-06-11
1.9079340696334839,1981-06-12
1.9441040754318237,1981-06-15
1.9079340696334839,1981-06-16
1.9531477689743042,1981-06-17
1.9169774055480957,1981-06-18
1.9531477689743042,1981-06-19
1.9350614547729492,1981-06-22
1.9802734851837158,1981-06-23
2.007401943206787,1981-06-24
1.9983606338500977,1981-06-25
2.016443967819214,1981-06-26
1.9441040754318237,1981-06-29
1.9350614547729492,1981-06-30
1.9079340696334839,1981-07-01
1.8988922834396362,1981-07-02
1.8808082342147827,1981-07-06
1.8988922834396362,1981-07-07
1.8988922834396362,1981-07-08
1.8627227544784546,1981-07-09
1.8627227544784546,1981-07-10
1.8808082342147827,1981-07-13
1.8808082342147827,1981-07-14
1.8808082342147827,1981-07-15
1.8627227544784546,1981-07-16
1.8627227544784546,1981-07-17
1.8808082342147827,1981-07-20
1.8536806106567383,1981-07-21
1.8627227544784546,1981-07-22
1.8355965614318848,1981-07-23
1.826554536819458,1981-07-24
1.826554536819458,1981-07-27
1.8355965614318848,1981-07-28
1.8355965614318848,1981-07-29
1.8808082342147827,1981-07-30
1.8627227544784546,1981-07-31
1.8627227544784546,1981-08-03
1.8446388244628906,1981-08-04
1.826554536819458,1981-08-05
1.781342625617981,1981-08-06
1.7542147636413574,1981-08-07
1.7542147636413574,1981-08-10
1.7723007202148438,1981-08-11
1.7903846502304077,1981-08-12
1.7903846502304077,1981-08-13
1.808469295501709,1981-08-14
1.808469295501709,1981-08-17
1.808469295501709,1981-08-18
1.799426794052124,1981-08-19
1.799426794052124,1981-08-20
1.799426794052124,1981-08-21
1.7903846502304077,1981-08-24
1.7723007202148438,1981-08-25
1.781342625617981,1981-08-26
1.781342625617981,1981-08-27
1.799426794052124,1981-08-28
1.7903846502304077,1981-08-31
1.808469295501709,1981-09-01
1.826554536819458,1981-09-02
1.8355965614318848,1981-09-03
1.8175113201141357,1981-09-04
1.799426794052124,1981-09-08
1.808469295501709,1981-09-09
1.799426794052124,1981-09-10
1.808469295501709,1981-09-11
1.8355965614318848,1981-09-14
1.8446388244628906,1981-09-15
1.8536806106567383,1981-09-16
1.8627227544784546,1981-09-17
1.8898499011993408,1981-09-18
1.8808082342147827,1981-09-21
1.8898499011993408,1981-09-22
1.8898499011993408,1981-09-23
1.8898499011993408,1981-09-24
1.8808082342147827,1981-09-25
1.8808082342147827,1981-09-28
1.8898499011993408,1981-09-29
1.8898499011993408,1981-09-30
1.8898499011993408,1981-10-01
1.9169774055480957,1981-10-02
1.9169774055480957,1981-10-05
1.9260191917419434,1981-10-06
1.9350614547729492,1981-10-07
1.9260191917419434,1981-10-08
1.9441040754318237,1981-10-09
1.9350614547729492,1981-10-12
1.9350614547729492,1981-10-13
1.9350614547729492,1981-10-14
1.9531477689743042,1981-10-15
1.9531477689743042,1981-10-16
1.9621891975402832,1981-10-19
1.9531477689743042,1981-10-20
1.9531477689743042,1981-10-21
1.9531477689743042,1981-10-22
1.9712316989898682,1981-10-23
1.9802734851837158,1981-10-26
1.9893159866333008,1981-10-27
1.9893159866333008,1981-10-28
1.9712316989898682,1981-10-29
1.9621891975402832,1981-10-30
1.9893159866333008,1981-11-02
1.9893159866333008,1981-11-03
1.9802734851837158,1981-11-04
1.9712316989898682,1981-11-05
