Date,GMCR
2016-03-02,91.67
2016-03-01,91.95
2016-02-29,91.94
2016-02-27,91.94
2016-02-26,91.95
2016-02-25,91.8
2016-02-24,91.89
2016-02-23,91.64
2016-02-22,91.61
2016-02-19,91.52
2016-02-18,90.58
2016-02-17,90.4
2016-02-16,90.46
2016-02-12,90.05
2016-02-11,89.86
2016-02-10,89.98
2016-02-09,89.49
2016-02-08,89.12
2016-02-05,89.52
2016-02-04,89.53
2016-02-03,89.68
2016-02-02,89.71
2016-02-01,89.54
2016-01-29,89.25
2016-01-28,89.09
2016-01-27,89.3
2016-01-26,89.48
2016-01-25,88.91
2016-01-22,89.15
2016-01-21,89.43
2016-01-20,89.77
2016-01-19,89.83
2016-01-15,90.02
2016-01-14,90.11
2016-01-13,90.11
2016-01-12,90.42
2016-01-11,90.21
2016-01-08,90.29
2016-01-07,90.15
2016-01-06,90.28
2016-01-05,89.9
2016-01-04,90.08
2015-12-31,89.98
2015-12-30,90.11
2015-12-29,90.21
2015-12-28,89.9
2015-12-24,89.88
2015-12-23,89.73
2015-12-22,89.48
2015-12-21,88.75
2015-12-18,88.25
2015-12-17,88.87
2015-12-16,89.22
2015-12-15,89.11
2015-12-14,89.27
2015-12-11,88.96
2015-12-10,89.45
2015-12-09,89.5
2015-12-08,89.65
2015-12-07,88.89
2015-12-04,51.7
2015-12-03,54.3
2015-12-02,52.46
2015-12-01,52.98
2015-11-30,52.4
2015-11-27,50.84
2015-11-25,52.76
2015-11-24,48.85
2015-11-23,45.72
2015-11-20,47.44
2015-11-19,47.88
2015-11-18,40.5
2015-11-17,40.13
2015-11-16,44.49
2015-11-13,43.51
2015-11-12,45.41
2015-11-11,46.24
2015-11-10,50.04
2015-11-09,52.38
2015-11-06,52.68
2015-11-05,52.58
2015-11-04,50.87
2015-11-03,54.84
2015-11-02,51.61
2015-10-30,50.75
2015-10-29,51.72
2015-10-28,52.91
2015-10-27,51.58
2015-10-26,53.24
2015-10-23,55.01
2015-10-22,54.06
2015-10-21,54.61
2015-10-20,52.94
2015-10-19,53.1
2015-10-16,50.8
2015-10-15,52.77
2015-10-14,54.17
2015-10-13,54.97
2015-10-12,55.03
2015-10-09,57.55
2015-10-08,57.86
