GOLD,Date
0.4093957841396332,1985-02-13
0.4093957841396332,1985-02-14
0.4093957841396332,1985-02-15
0.4093957841396332,1985-02-19
0.4093957841396332,1985-02-20
0.4093957841396332,1985-02-21
0.35822129249572754,1985-02-22
0.35822129249572754,1985-02-25
0.35822129249572754,1985-02-26
0.35822129249572754,1985-02-27
0.35822129249572754,1985-02-28
0.35822129249572754,1985-03-01
0.4093957841396332,1985-03-04
0.35822129249572754,1985-03-05
0.35822129249572754,1985-03-06
0.35822129249572754,1985-03-07
0.35822129249572754,1985-03-08
0.35822129249572754,1985-03-11
0.35822129249572754,1985-03-12
0.35822129249572754,1985-03-13
0.35822129249572754,1985-03-14
0.35822129249572754,1985-03-15
0.4093957841396332,1985-03-18
0.46057024598121643,1985-03-19
0.4093957841396332,1985-03-20
0.4093957841396332,1985-03-21
0.46057024598121643,1985-03-22
0.4093957841396332,1985-03-25
0.4093957841396332,1985-03-26
0.4093957841396332,1985-03-27
0.4093957841396332,1985-03-28
0.4093957841396332,1985-03-29
0.4093957841396332,1985-04-01
0.4093957841396332,1985-04-02
0.4093957841396332,1985-04-03
0.4093957841396332,1985-04-04
0.4093957841396332,1985-04-08
0.35822129249572754,1985-04-09
0.35822129249572754,1985-04-10
0.35822129249572754,1985-04-11
0.35822129249572754,1985-04-12
0.35822129249572754,1985-04-15
0.4093957841396332,1985-04-16
0.4093957841396332,1985-04-17
0.4093957841396332,1985-04-18
0.46057024598121643,1985-04-19
0.4093957841396332,1985-04-22
0.4093957841396332,1985-04-23
0.4093957841396332,1985-04-24
0.4093957841396332,1985-04-25
0.35822129249572754,1985-04-26
0.4093957841396332,1985-04-29
0.4093957841396332,1985-04-30
0.4093957841396332,1985-05-01
0.4093957841396332,1985-05-02
0.4093957841396332,1985-05-03
0.35822129249572754,1985-05-06
0.4093957841396332,1985-05-07
0.35822129249572754,1985-05-08
0.4093957841396332,1985-05-09
0.4093957841396332,1985-05-10
0.4093957841396332,1985-05-13
0.4093957841396332,1985-05-14
0.4093957841396332,1985-05-15
0.4093957841396332,1985-05-16
0.4093957841396332,1985-05-17
0.4093957841396332,1985-05-20
0.4093957841396332,1985-05-21
0.4093957841396332,1985-05-22
0.4093957841396332,1985-05-23
0.4093957841396332,1985-05-24
0.4093957841396332,1985-05-28
0.4093957841396332,1985-05-29
0.4093957841396332,1985-05-30
0.4093957841396332,1985-05-31
0.4093957841396332,1985-06-03
0.4093957841396332,1985-06-04
0.4093957841396332,1985-06-05
0.4093957841396332,1985-06-06
0.4093957841396332,1985-06-07
0.4093957841396332,1985-06-10
0.4093957841396332,1985-06-11
0.4093957841396332,1985-06-12
0.4093957841396332,1985-06-13
0.4093957841396332,1985-06-14
0.4093957841396332,1985-06-17
0.4093957841396332,1985-06-18
0.4093957841396332,1985-06-19
0.4093957841396332,1985-06-20
0.35822129249572754,1985-06-21
0.35822129249572754,1985-06-24
0.35822129249572754,1985-06-25
0.4093957841396332,1985-06-26
0.4093957841396332,1985-06-27
0.4093957841396332,1985-06-28
0.35822129249572754,1985-07-01
0.4093957841396332,1985-07-02
0.4093957841396332,1985-07-03
0.4093957841396332,1985-07-05
0.4093957841396332,1985-07-08
0.4093957841396332,1985-07-09
0.46057024598121643,1985-07-10
0.4093957841396332,1985-07-11
0.46057024598121643,1985-07-12
0.46057024598121643,1985-07-15
0.46057024598121643,1985-07-16
0.46057024598121643,1985-07-17
0.46057024598121643,1985-07-18
0.5117448568344116,1985-07-19
0.5117448568344116,1985-07-22
0.46057024598121643,1985-07-23
0.46057024598121643,1985-07-24
0.46057024598121643,1985-07-25
0.46057024598121643,1985-07-26
0.46057024598121643,1985-07-29
0.46057024598121643,1985-07-30
0.5117448568344116,1985-07-31
0.5629193186759949,1985-08-01
0.5117448568344116,1985-08-02
0.5117448568344116,1985-08-05
0.5117448568344116,1985-08-06
0.5117448568344116,1985-08-07
0.5117448568344116,1985-08-08
0.5117448568344116,1985-08-09
0.5117448568344116,1985-08-12
0.5117448568344116,1985-08-13
0.5117448568344116,1985-08-14
0.5629193186759949,1985-08-15
0.6140938401222229,1985-08-16
0.6140938401222229,1985-08-19
0.5629193186759949,1985-08-20
0.5629193186759949,1985-08-21
0.5629193186759949,1985-08-22
0.5629193186759949,1985-08-23
0.5629193186759949,1985-08-26
0.5629193186759949,1985-08-27
0.5629193186759949,1985-08-28
0.5629193186759949,1985-08-29
0.5629193186759949,1985-08-30
0.5629193186759949,1985-09-03
0.5629193186759949,1985-09-04
0.5117448568344116,1985-09-05
0.5117448568344116,1985-09-06
0.5117448568344116,1985-09-09
0.5117448568344116,1985-09-10
