ILMN,Date
19.5859375,2000-07-28
17.5,2000-07-31
17.75,2000-08-01
19.0625,2000-08-02
22.125,2000-08-03
20.46875,2000-08-04
21.125,2000-08-07
20.4921875,2000-08-08
21.40625,2000-08-09
22.5,2000-08-10
20.9375,2000-08-11
20.0,2000-08-14
20.0,2000-08-15
21.3125,2000-08-16
20.9375,2000-08-17
22.0,2000-08-18
22.59375,2000-08-21
21.0625,2000-08-22
20.5625,2000-08-23
20.0078125,2000-08-24
20.875,2000-08-25
20.8125,2000-08-28
21.25,2000-08-29
20.0,2000-08-30
22.375,2000-08-31
23.3125,2000-09-01
22.875,2000-09-05
21.0,2000-09-06
22.5,2000-09-07
21.46875,2000-09-08
20.5625,2000-09-11
20.375,2000-09-12
18.25,2000-09-13
18.5,2000-09-14
18.875,2000-09-15
17.0,2000-09-18
16.65625,2000-09-19
17.0,2000-09-20
17.6875,2000-09-21
19.625,2000-09-22
19.9375,2000-09-25
19.90625,2000-09-26
20.8125,2000-09-27
21.875,2000-09-28
22.6875,2000-09-29
22.875,2000-10-02
20.0,2000-10-03
18.0625,2000-10-04
17.8125,2000-10-05
15.03125,2000-10-06
15.375,2000-10-09
16.25,2000-10-10
16.0,2000-10-11
16.125,2000-10-12
17.5625,2000-10-13
17.75,2000-10-16
18.09375,2000-10-17
17.375,2000-10-18
17.3125,2000-10-19
16.5,2000-10-20
17.0,2000-10-23
17.0625,2000-10-24
18.0,2000-10-25
19.375,2000-10-26
18.25,2000-10-27
16.25,2000-10-30
16.25,2000-10-31
16.78125,2000-11-01
17.8125,2000-11-02
18.25,2000-11-03
20.3125,2000-11-06
20.5,2000-11-07
20.3125,2000-11-08
19.4375,2000-11-09
19.0,2000-11-10
18.5,2000-11-13
16.96875,2000-11-14
15.875,2000-11-15
12.6875,2000-11-16
11.4375,2000-11-17
10.6875,2000-11-20
10.65625,2000-11-21
8.0,2000-11-22
9.75,2000-11-24
9.59375,2000-11-27
8.875,2000-11-28
9.03125,2000-11-29
9.15625,2000-11-30
9.625,2000-12-01
