INKT,Date
12.0,2021-10-15
11.699999809265137,2021-10-18
12.100000381469727,2021-10-19
12.220000267028809,2021-10-20
12.59000015258789,2021-10-21
12.039999961853027,2021-10-22
11.989999771118164,2021-10-25
12.4399995803833,2021-10-26
13.5600004196167,2021-10-27
14.510000228881836,2021-10-28
17.889999389648438,2021-10-29
18.940000534057617,2021-11-01
19.90999984741211,2021-11-02
18.93000030517578,2021-11-03
18.989999771118164,2021-11-04
17.3799991607666,2021-11-05
18.959999084472656,2021-11-08
19.799999237060547,2021-11-09
19.0,2021-11-10
20.030000686645508,2021-11-11
16.399999618530273,2021-11-12
17.43000030517578,2021-11-15
16.18000030517578,2021-11-16
16.989999771118164,2021-11-17
16.0,2021-11-18
15.979999542236328,2021-11-19
16.8700008392334,2021-11-22
16.920000076293945,2021-11-23
18.760000228881836,2021-11-24
20.010000228881836,2021-11-26
13.279999732971191,2021-11-29
11.600000381469727,2021-11-30
11.680000305175781,2021-12-01
10.649999618530273,2021-12-02
10.479999542236328,2021-12-03
6.849999904632568,2021-12-06
7.570000171661377,2021-12-07
7.050000190734863,2021-12-08
6.71999979019165,2021-12-09
6.119999885559082,2021-12-10
5.340000152587891,2021-12-13
5.130000114440918,2021-12-14
5.400000095367432,2021-12-15
4.389999866485596,2021-12-16
4.269999980926514,2021-12-17
4.440000057220459,2021-12-20
4.449999809265137,2021-12-21
4.119999885559082,2021-12-22
4.679999828338623,2021-12-23
4.300000190734863,2021-12-27
4.210000038146973,2021-12-28
4.28000020980835,2021-12-29
4.170000076293945,2021-12-30
4.460000038146973,2021-12-31
4.75,2022-01-03
4.320000171661377,2022-01-04
4.139999866485596,2022-01-05
4.019999980926514,2022-01-06
3.990000009536743,2022-01-07
3.5899999141693115,2022-01-10
3.640000104904175,2022-01-11
3.9200000762939453,2022-01-12
3.359999895095825,2022-01-13
3.1700000762939453,2022-01-14
3.190000057220459,2022-01-18
3.2699999809265137,2022-01-19
3.1700000762939453,2022-01-20
3.119999885559082,2022-01-21
2.819999933242798,2022-01-24
3.059999942779541,2022-01-25
3.0899999141693115,2022-01-26
2.880000114440918,2022-01-27
2.890000104904175,2022-01-28
3.2899999618530273,2022-01-31
3.609999895095825,2022-02-01
3.5999999046325684,2022-02-02
3.200000047683716,2022-02-03
3.2100000381469727,2022-02-04
3.200000047683716,2022-02-07
2.9700000286102295,2022-02-08
2.950000047683716,2022-02-09
2.940000057220459,2022-02-10
2.7899999618530273,2022-02-11
2.759999990463257,2022-02-14
2.8399999141693115,2022-02-15
2.819999933242798,2022-02-16
2.619999885559082,2022-02-17
2.490000009536743,2022-02-18
2.4800000190734863,2022-02-22
2.440000057220459,2022-02-23
2.869999885559082,2022-02-24
2.5899999141693115,2022-02-25
2.9700000286102295,2022-02-28
3.109999895095825,2022-03-01
2.8499999046325684,2022-03-02
2.9200000762939453,2022-03-03
2.9100000858306885,2022-03-04
2.569999933242798,2022-03-07
2.619999885559082,2022-03-08
2.890000104904175,2022-03-09
2.6500000953674316,2022-03-10
2.2899999618530273,2022-03-11
2.240000009536743,2022-03-14
2.2699999809265137,2022-03-15
2.5899999141693115,2022-03-16
3.0999999046325684,2022-03-17
3.140000104904175,2022-03-18
2.9100000858306885,2022-03-21
2.859999895095825,2022-03-22
2.9700000286102295,2022-03-23
2.8499999046325684,2022-03-24
2.450000047683716,2022-03-25
2.2200000286102295,2022-03-28
2.359999895095825,2022-03-29
2.200000047683716,2022-03-30
2.25,2022-03-31
2.3499999046325684,2022-04-01
2.2300000190734863,2022-04-04
2.180000066757202,2022-04-05
2.4200000762939453,2022-04-06
2.940000057220459,2022-04-07
2.75,2022-04-08
2.4700000286102295,2022-04-11
3.180000066757202,2022-04-12
3.25,2022-04-13
2.930000066757202,2022-04-14
2.4700000286102295,2022-04-18
2.3499999046325684,2022-04-19
2.3299999237060547,2022-04-20
2.299999952316284,2022-04-21
2.2899999618530273,2022-04-22
2.450000047683716,2022-04-25
2.2300000190734863,2022-04-26
2.569999933242798,2022-04-27
2.240000009536743,2022-04-28
2.240000009536743,2022-04-29
2.2899999618530273,2022-05-02
2.2300000190734863,2022-05-03
2.240000009536743,2022-05-04
2.069999933242798,2022-05-05
1.9500000476837158,2022-05-06
1.7599999904632568,2022-05-09
1.5199999809265137,2022-05-10
1.2899999618530273,2022-05-11
1.350000023841858,2022-05-12
1.2899999618530273,2022-05-13
1.25,2022-05-16
1.2899999618530273,2022-05-17
1.2599999904632568,2022-05-18
1.2999999523162842,2022-05-19
1.309999942779541,2022-05-20
1.3200000524520874,2022-05-23
1.2899999618530273,2022-05-24
1.309999942779541,2022-05-25
1.3600000143051147,2022-05-26
1.6699999570846558,2022-05-27
1.5499999523162842,2022-05-31
1.5,2022-06-01
1.5399999618530273,2022-06-02
1.649999976158142,2022-06-03
1.4900000095367432,2022-06-06
1.840000033378601,2022-06-07
1.649999976158142,2022-06-08
1.5299999713897705,2022-06-09
1.6299999952316284,2022-06-10
1.7300000190734863,2022-06-13
2.0199999809265137,2022-06-14
1.8700000047683716,2022-06-15
1.659999966621399,2022-06-16
1.6100000143051147,2022-06-17
1.5399999618530273,2022-06-21
1.5399999618530273,2022-06-22
1.7799999713897705,2022-06-23
1.5099999904632568,2022-06-24
1.5099999904632568,2022-06-27
1.3300000429153442,2022-06-28
1.4199999570846558,2022-06-29
1.409999966621399,2022-06-30
1.399999976158142,2022-07-01
1.399999976158142,2022-07-05
1.409999966621399,2022-07-06
1.3700000047683716,2022-07-07
1.3200000524520874,2022-07-08
1.2300000190734863,2022-07-11
1.2599999904632568,2022-07-12
1.190000057220459,2022-07-13
1.190000057220459,2022-07-14
1.2699999809265137,2022-07-15
1.340000033378601,2022-07-18
1.440000057220459,2022-07-19
1.559999942779541,2022-07-20
1.440000057220459,2022-07-21
1.3799999952316284,2022-07-22
1.340000033378601,2022-07-25
1.3200000524520874,2022-07-26
1.399999976158142,2022-07-27
1.340000033378601,2022-07-28
1.309999942779541,2022-07-29
1.25,2022-08-01
1.2400000095367432,2022-08-02
1.3300000429153442,2022-08-03
1.4049999713897705,2022-08-04
1.350000023841858,2022-08-05
1.3600000143051147,2022-08-08
1.3200000524520874,2022-08-09
1.5399999618530273,2022-08-10
1.6799999475479126,2022-08-11
1.7100000381469727,2022-08-12
3.4000000953674316,2022-08-15
3.25,2022-08-16
3.0199999809265137,2022-08-17
2.759999990463257,2022-08-18
2.5999999046325684,2022-08-19
2.7200000286102295,2022-08-22
2.7899999618530273,2022-08-23
2.740000009536743,2022-08-24
2.4800000190734863,2022-08-25
2.3499999046325684,2022-08-26
2.3399999141693115,2022-08-29
2.299999952316284,2022-08-30
2.630000114440918,2022-08-31
2.4600000381469727,2022-09-01
2.5799999237060547,2022-09-02
2.5999999046325684,2022-09-06
2.5799999237060547,2022-09-07
2.9200000762939453,2022-09-08
2.7899999618530273,2022-09-09
2.680000066757202,2022-09-12
2.4800000190734863,2022-09-13
2.5999999046325684,2022-09-14
2.619999885559082,2022-09-15
2.4000000953674316,2022-09-16
2.299999952316284,2022-09-19
2.109999895095825,2022-09-20
2.0299999713897705,2022-09-21
2.0199999809265137,2022-09-22
1.9700000286102295,2022-09-23
2.1600000858306885,2022-09-26
2.0,2022-09-27
2.119999885559082,2022-09-28
2.059999942779541,2022-09-29
2.109999895095825,2022-09-30
2.240000009536743,2022-10-03
2.069999933242798,2022-10-04
2.2100000381469727,2022-10-05
