J,Date
0.549649178981781,1980-03-17
0.5447419881820679,1980-03-18
0.5447419881820679,1980-03-19
0.5349265336990356,1980-03-20
0.5300189852714539,1980-03-21
0.5103892683982849,1980-03-24
0.49075809121131897,1980-03-25
0.4711281359195709,1980-03-26
0.4171444773674011,1980-03-27
0.4514981508255005,1980-03-28
0.4711281359195709,1980-03-31
0.4613126218318939,1980-04-01
0.4613126218318939,1980-04-02
0.456405371427536,1980-04-03
0.4465898275375366,1980-04-07
0.4416826069355011,1980-04-08
0.4367753565311432,1980-04-09
0.4465898275375366,1980-04-10
0.456405371427536,1980-04-11
0.456405371427536,1980-04-14
0.456405371427536,1980-04-15
0.49075809121131897,1980-04-16
0.4809435307979584,1980-04-17
0.4711281359195709,1980-04-18
0.47603538632392883,1980-04-21
0.5005736351013184,1980-04-22
0.5300189852714539,1980-04-23
0.5054810643196106,1980-04-24
0.5005736351013184,1980-04-25
0.49566635489463806,1980-04-28
0.49566635489463806,1980-04-29
0.5202035903930664,1980-04-30
0.525111734867096,1980-05-01
0.5152965784072876,1980-05-02
0.5152965784072876,1980-05-05
0.5152965784072876,1980-05-06
0.5202035903930664,1980-05-07
0.5054810643196106,1980-05-08
0.5054810643196106,1980-05-09
0.5054810643196106,1980-05-12
0.5202035903930664,1980-05-13
0.5152965784072876,1980-05-14
0.5152965784072876,1980-05-15
0.5202035903930664,1980-05-16
0.525111734867096,1980-05-19
0.5103892683982849,1980-05-20
0.5054810643196106,1980-05-21
0.49075809121131897,1980-05-22
0.5054810643196106,1980-05-23
0.49075809121131897,1980-05-27
0.4809435307979584,1980-05-28
0.49075809121131897,1980-05-29
0.5103892683982849,1980-05-30
0.5103892683982849,1980-06-02
0.5103892683982849,1980-06-03
0.5447419881820679,1980-06-04
0.5398346185684204,1980-06-05
0.5300189852714539,1980-06-06
0.5300189852714539,1980-06-09
0.5300189852714539,1980-06-10
0.5202035903930664,1980-06-11
0.5103892683982849,1980-06-12
0.5152965784072876,1980-06-13
0.5103892683982849,1980-06-16
0.525111734867096,1980-06-17
0.5692800879478455,1980-06-18
0.5349265336990356,1980-06-19
0.525111734867096,1980-06-20
0.5447419881820679,1980-06-23
0.5300189852714539,1980-06-24
0.5398346185684204,1980-06-25
0.5692800879478455,1980-06-26
0.5594646334648132,1980-06-27
0.5643719434738159,1980-06-30
0.5643719434738159,1980-07-01
0.5594646334648132,1980-07-02
0.5545573830604553,1980-07-03
0.5594646334648132,1980-07-07
0.5643719434738159,1980-07-08
0.5692800879478455,1980-07-09
0.5987256765365601,1980-07-10
0.6232630610466003,1980-07-11
0.6428937911987305,1980-07-14
0.6183556318283081,1980-07-15
0.6281713247299194,1980-07-16
0.6428937911987305,1980-07-17
0.6527085304260254,1980-07-18
0.63798588514328,1980-07-21
0.6232630610466003,1980-07-22
0.5790947675704956,1980-07-23
0.6674311757087708,1980-07-24
0.7214149832725525,1980-07-25
0.7115995287895203,1980-07-28
0.7410449981689453,1980-07-29
0.7655832171440125,1980-07-30
0.7410449981689453,1980-07-31
0.7459532618522644,1980-08-01
0.7557676434516907,1980-08-04
0.8195669054985046,1980-08-05
0.8637351989746094,1980-08-06
0.8293816447257996,1980-08-07
0.8097515106201172,1980-08-08
0.8441043496131897,1980-08-11
0.799936056137085,1980-08-12
0.8539196252822876,1980-08-13
0.922626256942749,1980-08-14
0.9618861675262451,1980-08-15
0.9324406981468201,1980-08-18
0.9373489618301392,1980-08-19
0.9520716667175293,1980-08-20
1.0158694982528687,1980-08-21
1.050222635269165,1980-08-22
1.055131196975708,1980-08-25
1.1385592222213745,1980-08-26
1.0845767259597778,1980-08-27
1.0256856679916382,1980-08-28
1.055131196975708,1980-08-29
1.0600379705429077,1980-09-02
1.0355002880096436,1980-09-03
1.0305931568145752,1980-09-04
1.0355002880096436,1980-09-05
1.0600379705429077,1980-09-08
1.0600379705429077,1980-09-09
1.0943912267684937,1980-09-10
1.0796682834625244,1980-09-11
1.074761152267456,1980-09-12
1.0992993116378784,1980-09-15
1.0894839763641357,1980-09-16
1.0796682834625244,1980-09-17
1.0453157424926758,1980-09-18
1.0404081344604492,1980-09-19
1.050222635269165,1980-09-22
1.0894839763641357,1980-09-23
1.1042064428329468,1980-09-24
1.0894839763641357,1980-09-25
1.010962963104248,1980-09-26
0.9717018604278564,1980-09-29
0.9815171360969543,1980-09-30
1.0305931568145752,1980-10-01
1.0158694982528687,1980-10-02
1.0305931568145752,1980-10-03
1.0894839763641357,1980-10-06
1.0698539018630981,1980-10-07
1.0796682834625244,1980-10-08
1.0796682834625244,1980-10-09
1.0894839763641357,1980-10-10
1.0845767259597778,1980-10-13
1.0453157424926758,1980-10-14
1.0845767259597778,1980-10-15
1.0453157424926758,1980-10-16
1.0600379705429077,1980-10-17
1.0698539018630981,1980-10-20
1.168005108833313,1980-10-21
1.3250477313995361,1980-10-22
1.354493498802185,1980-10-23
1.334863305091858,1980-10-24
1.285786747932434,1980-10-27
1.271064281463623,1980-10-28
1.290695071220398,1980-10-29
1.2661570310592651,1980-10-30
1.2661570310592651,1980-10-31
1.2170814275741577,1980-11-03
1.2318041324615479,1980-11-05
1.246527075767517,1980-11-06
1.1974503993988037,1980-11-07
1.1778204441070557,1980-11-10
1.2268959283828735,1980-11-11
1.2268959283828735,1980-11-12
1.334863305091858,1980-11-13
1.3201404809951782,1980-11-14
1.3446778059005737,1980-11-17
1.3103253841400146,1980-11-18
1.2367112636566162,1980-11-19
1.256341814994812,1980-11-20
1.256341814994812,1980-11-21
1.2072662115097046,1980-11-24
1.271064281463623,1980-11-25
1.3250477313995361,1980-11-26
1.2416187524795532,1980-11-28
1.256341814994812,1980-12-01
1.256341814994812,1980-12-02
1.2612495422363281,1980-12-03
1.2612495422363281,1980-12-04
1.221988558769226,1980-12-05
1.1778204441070557,1980-12-08
1.1827274560928345,1980-12-09
1.1925430297851562,1980-12-10
1.1778204441070557,1980-12-11
1.1778204441070557,1980-12-12
1.1876360177993774,1980-12-15
1.2170814275741577,1980-12-16
1.1974503993988037,1980-12-17
1.2416187524795532,1980-12-18
1.256341814994812,1980-12-19
1.256341814994812,1980-12-22
1.2318041324615479,1980-12-23
1.271064281463623,1980-12-24
1.2808796167373657,1980-12-26
1.2661570310592651,1980-12-29
1.3054178953170776,1980-12-30
1.290695071220398,1980-12-31
1.2612495422363281,1981-01-02
1.2416187524795532,1981-01-05
1.221988558769226,1981-01-06
1.158190369606018,1981-01-07
1.1729129552841187,1981-01-08
1.158190369606018,1981-01-09
1.1630972623825073,1981-01-12
1.168005108833313,1981-01-13
1.1778204441070557,1981-01-14
1.1729129552841187,1981-01-15
1.158190369606018,1981-01-16
1.1532820463180542,1981-01-19
1.1091138124465942,1981-01-20
1.1042064428329468,1981-01-21
1.0992993116378784,1981-01-22
1.1042064428329468,1981-01-23
1.1091138124465942,1981-01-26
1.1091138124465942,1981-01-27
1.0894839763641357,1981-01-28
1.0943912267684937,1981-01-29
1.050222635269165,1981-01-30
0.9569788575172424,1981-02-02
0.97660893201828,1981-02-03
0.9815171360969543,1981-02-04
1.0207775831222534,1981-02-05
