Date,LEXEA
2019-07-26,50.42
2019-07-25,49.74
2019-07-24,49.58
2019-07-23,49.35
2019-07-22,48.92
2019-07-19,48.66
2019-07-18,49.15
2019-07-17,48.64
2019-07-16,49.02
2019-07-15,48.42
2019-07-12,48.38
2019-07-11,48.13
2019-07-10,47.89
2019-07-09,47.95
2019-07-08,47.62
2019-07-05,48.56
2019-07-03,48.48
2019-07-02,48.16
2019-07-01,47.91
2019-06-28,47.79
2019-06-27,46.77
2019-06-26,45.86
2019-06-25,46.57
2019-06-24,46.71
2019-06-21,46.74
2019-06-20,46.46
2019-06-19,46.52
2019-06-18,45.78
2019-06-17,45.55
2019-06-14,45.49
2019-06-13,45.06
2019-06-12,44.54
2019-06-11,44.13
2019-06-10,43.66
2019-06-07,43.96
2019-06-06,43.23
2019-06-05,43.3
2019-06-04,43.16
2019-06-03,41.73
2019-05-31,41.23
2019-05-30,41.63
2019-05-29,41.6
2019-05-28,41.58
2019-05-24,41.55
2019-05-23,41.77
2019-05-22,41.86
2019-05-21,41.99
2019-05-20,41.63
2019-05-17,41.53
2019-05-16,42.2
2019-05-15,42.58
2019-05-14,42.73
2019-05-13,41.68
2019-05-10,42.47
2019-05-09,42.66
2019-05-08,43.58
2019-05-07,44.03
2019-05-06,44.48
2019-05-03,45.44
2019-05-02,45.87
2019-05-01,46.05
2019-04-30,46.42
2019-04-29,46.45
2019-04-26,45.8
2019-04-25,44.74
2019-04-24,44.56
2019-04-23,45.06
2019-04-22,44.48
2019-04-18,44.56
2019-04-17,44.68
2019-04-16,45.01
2019-04-15,45.09
2019-04-12,45.12
2019-04-11,44.61
2019-04-10,44.56
2019-04-09,44.22
2019-04-08,44.02
2019-04-05,43.87
2019-04-04,44.0
2019-04-03,43.79
2019-04-02,43.42
2019-04-01,43.29
2019-03-29,42.8
2019-03-28,42.83
2019-03-27,43.03
2019-03-26,43.82
2019-03-25,43.47
2019-03-22,43.29
2019-03-21,44.32
2019-03-20,43.73
2019-03-19,43.54
2019-03-18,43.21
2019-03-15,43.34
2019-03-14,43.42
2019-03-13,43.54
2019-03-12,43.44
2019-03-11,43.79
2019-03-08,43.6
2019-03-07,44.26
2019-03-06,45.08
2019-03-05,45.34
2019-03-04,44.94
2019-03-01,45.13
2019-02-28,44.3
2019-02-27,46.02
2019-02-26,45.77
2019-02-25,45.35
2019-02-22,45.75
2019-02-21,46.01
2019-02-20,46.4
2019-02-19,46.23
2019-02-15,45.7
2019-02-14,45.45
2019-02-13,45.86
2019-02-12,45.75
2019-02-11,45.68
2019-02-08,46.82
2019-02-07,45.83
2019-02-06,45.62
2019-02-05,45.0
2019-02-04,43.71
2019-02-01,42.3
2019-01-31,40.99
2019-01-30,41.12
2019-01-29,40.36
2019-01-28,40.43
2019-01-25,40.52
2019-01-24,40.53
2019-01-23,40.28
2019-01-22,39.89
2019-01-18,41.23
2019-01-17,40.43
2019-01-16,40.05
2019-01-15,40.27
2019-01-14,39.61
2019-01-11,39.13
2019-01-10,39.25
2019-01-09,39.59
2019-01-08,40.16
2019-01-07,39.33
2019-01-04,39.0
2019-01-03,37.28
2019-01-02,38.73
2018-12-31,39.11
2018-12-28,39.06
2018-12-27,39.29
2018-12-26,39.28
2018-12-24,37.46
2018-12-21,37.9
2018-12-20,39.59
2018-12-19,40.05
2018-12-18,41.32
2018-12-17,40.65
2018-12-14,41.34
2018-12-13,41.76
2018-12-12,42.82
2018-12-11,41.62
2018-12-10,41.62
2018-12-07,41.19
2018-12-06,42.03
2018-12-04,41.29
2018-12-03,42.01
2018-11-30,41.91
2018-11-29,41.38
2018-11-28,41.54
2018-11-27,40.46
2018-11-26,40.2
2018-11-23,38.9
2018-11-21,38.97
2018-11-20,38.56
2018-11-19,39.09
2018-11-16,40.3
2018-11-15,41.38
2018-11-14,41.37
2018-11-13,41.54
2018-11-12,41.5
2018-11-09,42.18
2018-11-08,42.8
2018-11-07,43.27
2018-11-06,42.18
2018-11-05,42.78
2018-11-02,43.14
2018-11-01,43.73
2018-10-31,43.42
2018-10-30,43.3
2018-10-29,42.14
2018-10-26,42.36
2018-10-25,41.28
2018-10-24,40.01
2018-10-23,41.14
2018-10-22,41.77
2018-10-19,41.73
2018-10-18,41.63
2018-10-17,42.65
2018-10-16,42.92
2018-10-15,41.63
2018-10-12,41.66
2018-10-11,40.88
2018-10-10,41.5
2018-10-09,43.08
2018-10-08,43.59
2018-10-05,44.1
2018-10-04,45.37
2018-10-03,46.21
2018-10-02,46.42
2018-10-01,46.92
2018-09-28,47.04
2018-09-27,47.38
2018-09-26,46.93
2018-09-25,46.68
2018-09-24,47.12
2018-09-21,47.67
2018-09-20,47.97
2018-09-19,47.63
2018-09-18,46.81
2018-09-17,46.18
2018-09-14,46.36
2018-09-13,46.46
2018-09-12,46.88
2018-09-11,46.16
2018-09-10,45.61
2018-09-07,45.48
2018-09-06,44.27
2018-09-05,44.09
2018-09-04,45.09
2018-08-31,46.15
2018-08-30,46.57
2018-08-29,47.1
2018-08-28,46.79
2018-08-27,46.95
2018-08-24,46.35
2018-08-23,46.0
2018-08-22,46.0
2018-08-21,46.75
2018-08-20,46.49
2018-08-17,46.17
2018-08-16,46.3
2018-08-15,46.44
2018-08-14,47.2
2018-08-13,46.64
2018-08-10,47.11
2018-08-09,47.4
2018-08-08,47.03
2018-08-07,47.57
2018-08-06,47.67
2018-08-03,47.46
2018-08-02,47.47
2018-08-01,47.93
2018-07-31,48.17
2018-07-30,48.59
2018-07-27,49.53
2018-07-26,45.92
2018-07-25,46.74
2018-07-24,46.55
2018-07-23,46.77
2018-07-20,46.91
2018-07-19,47.41
2018-07-18,47.22
2018-07-17,47.8
2018-07-16,47.01
2018-07-13,47.1
2018-07-12,47.23
2018-07-11,46.26
2018-07-10,47.0
2018-07-09,47.13
2018-07-06,46.83
2018-07-05,45.67
2018-07-03,44.88
2018-07-02,44.42
2018-06-29,43.94
2018-06-28,43.8
2018-06-27,43.92
2018-06-26,44.59
2018-06-25,45.19
2018-06-22,45.92
2018-06-21,45.4
2018-06-20,46.2
2018-06-19,45.85
2018-06-18,46.43
2018-06-15,45.75
2018-06-14,45.57
2018-06-13,44.83
2018-06-12,45.48
2018-06-11,45.58
2018-06-08,44.66
2018-06-07,44.38
2018-06-06,44.73
2018-06-05,44.18
2018-06-04,43.24
2018-06-01,43.18
2018-05-31,43.41
2018-05-30,42.56
2018-05-29,42.32
2018-05-25,42.4
2018-05-24,41.85
2018-05-23,40.92
2018-05-22,41.19
2018-05-21,41.03
2018-05-18,40.77
2018-05-17,40.87
2018-05-16,40.85
2018-05-15,40.43
2018-05-14,40.54
2018-05-11,40.42
2018-05-10,40.71
2018-05-09,40.03
2018-05-08,39.05
2018-05-07,39.53
2018-05-04,38.85
2018-05-03,39.25
2018-05-02,40.39
2018-05-01,40.22
2018-04-30,40.8
2018-04-27,40.96
2018-04-26,38.31
2018-04-25,39.13
2018-04-24,39.65
2018-04-23,39.88
2018-04-20,39.82
2018-04-19,40.36
2018-04-18,40.09
2018-04-17,39.68
2018-04-16,39.17
2018-04-13,38.64
2018-04-12,38.99
2018-04-11,38.97
2018-04-10,39.56
2018-04-09,39.11
2018-04-06,38.97
2018-04-05,39.99
2018-04-04,39.59
2018-04-03,38.62
2018-04-02,38.42
2018-03-29,39.28
2018-03-28,38.02
2018-03-27,37.78
2018-03-26,38.35
2018-03-23,37.87
2018-03-22,38.28
2018-03-21,39.46
2018-03-20,39.66
2018-03-19,40.11
2018-03-16,40.85
2018-03-15,40.67
2018-03-14,41.3
2018-03-13,40.17
2018-03-12,41.91
2018-03-09,41.38
2018-03-08,40.86
2018-03-07,41.39
2018-03-06,40.56
2018-03-05,39.99
2018-03-02,38.76
2018-03-01,38.52
2018-02-28,39.26
2018-02-27,38.58
2018-02-26,39.49
2018-02-23,39.58
2018-02-22,38.8
2018-02-21,38.43
2018-02-20,38.59
2018-02-16,38.49
2018-02-15,38.16
2018-02-14,37.03
2018-02-13,37.32
2018-02-12,36.96
2018-02-09,37.79
2018-02-08,44.91
2018-02-07,47.24
2018-02-06,46.45
2018-02-05,45.79
2018-02-02,45.93
2018-02-01,47.16
2018-01-31,46.89
2018-01-30,47.3
2018-01-29,48.01
2018-01-26,48.6
2018-01-25,48.28
2018-01-24,48.09
2018-01-23,47.46
2018-01-22,47.11
2018-01-19,46.39
2018-01-18,47.01
2018-01-17,48.33
2018-01-16,48.29
2018-01-12,48.87
2018-01-11,47.86
2018-01-10,46.72
2018-01-09,46.85
2018-01-08,47.32
2018-01-05,46.77
2018-01-04,46.3
2018-01-03,46.42
2018-01-02,44.85
2017-12-29,44.33
2017-12-28,44.83
2017-12-27,44.47
2017-12-26,44.21
2017-12-22,45.02
2017-12-21,44.72
2017-12-20,44.79
2017-12-19,45.29
2017-12-18,45.24
2017-12-15,44.97
2017-12-14,44.65
2017-12-13,44.33
2017-12-12,44.17
2017-12-11,43.51
2017-12-08,43.75
2017-12-07,44.13
2017-12-06,43.98
2017-12-05,44.9
2017-12-04,45.29
2017-12-01,45.07
2017-11-30,45.08
2017-11-29,45.05
2017-11-28,45.83
2017-11-27,46.08
2017-11-24,46.62
2017-11-22,46.89
2017-11-21,46.17
2017-11-20,45.74
2017-11-17,46.09
2017-11-16,45.67
2017-11-15,44.95
