LIFE,Date
209.3000030517578,2015-05-07
269.7799987792969,2015-05-08
290.5,2015-05-11
301.9800109863281,2015-05-12
274.260009765625,2015-05-13
288.1199951171875,2015-05-14
281.82000732421875,2015-05-15
278.6000061035156,2015-05-18
281.3999938964844,2015-05-19
320.32000732421875,2015-05-20
336.0,2015-05-21
345.94000244140625,2015-05-22
354.760009765625,2015-05-26
345.6600036621094,2015-05-27
335.7200012207031,2015-05-28
320.4599914550781,2015-05-29
328.7200012207031,2015-06-01
353.3599853515625,2015-06-02
390.32000732421875,2015-06-03
382.6199951171875,2015-06-04
362.17999267578125,2015-06-05
349.0199890136719,2015-06-08
309.9599914550781,2015-06-09
315.55999755859375,2015-06-10
303.239990234375,2015-06-11
311.2200012207031,2015-06-12
317.1000061035156,2015-06-15
307.29998779296875,2015-06-16
313.8800048828125,2015-06-17
309.260009765625,2015-06-18
305.4800109863281,2015-06-19
319.8999938964844,2015-06-22
307.1600036621094,2015-06-23
307.0199890136719,2015-06-24
274.3999938964844,2015-06-25
275.239990234375,2015-06-26
263.8999938964844,2015-06-29
259.2799987792969,2015-06-30
238.0,2015-07-01
230.86000061035156,2015-07-02
227.36000061035156,2015-07-06
226.24000549316406,2015-07-07
209.44000244140625,2015-07-08
214.6199951171875,2015-07-09
257.0400085449219,2015-07-10
272.29998779296875,2015-07-13
251.44000244140625,2015-07-14
244.86000061035156,2015-07-15
250.17999267578125,2015-07-16
237.72000122070312,2015-07-17
223.86000061035156,2015-07-20
221.1999969482422,2015-07-21
233.8000030517578,2015-07-22
233.3800048828125,2015-07-23
247.94000244140625,2015-07-24
245.27999877929688,2015-07-27
264.739990234375,2015-07-28
246.9600067138672,2015-07-29
253.9600067138672,2015-07-30
262.5,2015-07-31
272.8599853515625,2015-08-03
278.32000732421875,2015-08-04
291.8999938964844,2015-08-05
262.5,2015-08-06
259.2799987792969,2015-08-07
253.82000732421875,2015-08-10
238.83999633789062,2015-08-11
238.4199981689453,2015-08-12
206.63999938964844,2015-08-13
200.6199951171875,2015-08-14
225.39999389648438,2015-08-17
211.5399932861328,2015-08-18
204.67999267578125,2015-08-19
202.86000061035156,2015-08-20
196.55999755859375,2015-08-21
192.0800018310547,2015-08-24
192.22000122070312,2015-08-25
200.1999969482422,2015-08-26
217.6999969482422,2015-08-27
207.05999755859375,2015-08-28
202.72000122070312,2015-08-31
197.1199951171875,2015-09-01
203.13999938964844,2015-09-02
206.36000061035156,2015-09-03
201.74000549316406,2015-09-04
219.94000244140625,2015-09-08
216.02000427246094,2015-09-09
258.0199890136719,2015-09-10
237.44000244140625,2015-09-11
262.2200012207031,2015-09-14
268.6600036621094,2015-09-15
262.9200134277344,2015-09-16
259.0,2015-09-17
250.17999267578125,2015-09-18
231.6999969482422,2015-09-21
217.6999969482422,2015-09-22
214.6199951171875,2015-09-23
212.66000366210938,2015-09-24
185.77999877929688,2015-09-25
150.9199981689453,2015-09-28
138.17999267578125,2015-09-29
143.63999938964844,2015-09-30
143.36000061035156,2015-10-01
155.25999450683594,2015-10-02
158.33999633789062,2015-10-05
149.10000610351562,2015-10-06
157.5,2015-10-07
161.6999969482422,2015-10-08
162.25999450683594,2015-10-09
155.5399932861328,2015-10-12
155.25999450683594,2015-10-13
155.82000732421875,2015-10-14
161.4199981689453,2015-10-15
159.8800048828125,2015-10-16
153.72000122070312,2015-10-19
138.60000610351562,2015-10-20
134.39999389648438,2015-10-21
136.63999938964844,2015-10-22
151.47999572753906,2015-10-23
160.44000244140625,2015-10-26
160.72000122070312,2015-10-27
174.86000061035156,2015-10-28
172.33999633789062,2015-10-29
174.44000244140625,2015-10-30
179.1999969482422,2015-11-02
171.22000122070312,2015-11-03
170.10000610351562,2015-11-04
171.36000061035156,2015-11-05
169.82000732421875,2015-11-06
166.74000549316406,2015-11-09
160.72000122070312,2015-11-10
137.47999572753906,2015-11-11
138.0399932861328,2015-11-12
143.22000122070312,2015-11-13
139.3000030517578,2015-11-16
138.8800048828125,2015-11-17
135.66000366210938,2015-11-18
121.94000244140625,2015-11-19
122.22000122070312,2015-11-20
118.58000183105469,2015-11-23
117.73999786376953,2015-11-24
119.0,2015-11-25
122.36000061035156,2015-11-27
119.13999938964844,2015-11-30
118.30000305175781,2015-12-01
121.80000305175781,2015-12-02
123.33999633789062,2015-12-03
122.5,2015-12-04
111.44000244140625,2015-12-07
113.12000274658203,2015-12-08
107.5199966430664,2015-12-09
107.66000366210938,2015-12-10
106.54000091552734,2015-12-11
116.62000274658203,2015-12-14
121.94000244140625,2015-12-15
119.83999633789062,2015-12-16
142.3800048828125,2015-12-17
140.97999572753906,2015-12-18
150.9199981689453,2015-12-21
141.67999267578125,2015-12-22
142.24000549316406,2015-12-23
143.9199981689453,2015-12-24
142.3800048828125,2015-12-28
137.1999969482422,2015-12-29
140.4199981689453,2015-12-30
137.6199951171875,2015-12-31
127.81999969482422,2016-01-04
131.0399932861328,2016-01-05
121.66000366210938,2016-01-06
108.08000183105469,2016-01-07
104.0199966430664,2016-01-08
104.16000366210938,2016-01-11
100.0999984741211,2016-01-12
91.55999755859375,2016-01-13
88.62000274658203,2016-01-14
83.16000366210938,2016-01-15
84.13999938964844,2016-01-19
84.0,2016-01-20
77.83999633789062,2016-01-21
80.22000122070312,2016-01-22
87.63999938964844,2016-01-25
86.80000305175781,2016-01-26
85.95999908447266,2016-01-27
79.5199966430664,2016-01-28
73.91999816894531,2016-01-29
76.72000122070312,2016-02-01
66.5,2016-02-02
62.58000183105469,2016-02-03
64.68000030517578,2016-02-04
60.060001373291016,2016-02-05
56.97999954223633,2016-02-08
54.880001068115234,2016-02-09
53.34000015258789,2016-02-10
53.20000076293945,2016-02-11
57.540000915527344,2016-02-12
60.619998931884766,2016-02-16
63.279998779296875,2016-02-17
60.900001525878906,2016-02-18
60.7599983215332,2016-02-19
61.31999969482422,2016-02-22
58.099998474121094,2016-02-23
64.26000213623047,2016-02-24
60.34000015258789,2016-02-25
64.12000274658203,2016-02-26
62.58000183105469,2016-02-29
69.16000366210938,2016-03-01
73.5,2016-03-02
71.95999908447266,2016-03-03
78.81999969482422,2016-03-04
87.5,2016-03-07
76.58000183105469,2016-03-08
74.19999694824219,2016-03-09
71.12000274658203,2016-03-10
71.4000015258789,2016-03-11
78.26000213623047,2016-03-14
77.0,2016-03-15
75.18000030517578,2016-03-16
75.31999969482422,2016-03-17
74.19999694824219,2016-03-18
79.94000244140625,2016-03-21
76.44000244140625,2016-03-22
70.0,2016-03-23
70.13999938964844,2016-03-24
69.30000305175781,2016-03-28
70.69999694824219,2016-03-29
68.04000091552734,2016-03-30
55.15999984741211,2016-03-31
53.34000015258789,2016-04-01
50.400001525878906,2016-04-04
48.58000183105469,2016-04-05
44.65999984741211,2016-04-06
44.79999923706055,2016-04-07
44.79999923706055,2016-04-08
50.68000030517578,2016-04-11
54.18000030517578,2016-04-12
55.86000061035156,2016-04-13
59.08000183105469,2016-04-14
58.65999984741211,2016-04-15
55.86000061035156,2016-04-18
53.47999954223633,2016-04-19
54.7400016784668,2016-04-20
56.13999938964844,2016-04-21
58.52000045776367,2016-04-22
55.439998626708984,2016-04-25
54.18000030517578,2016-04-26
53.47999954223633,2016-04-27
52.63999938964844,2016-04-28
49.84000015258789,2016-04-29
51.380001068115234,2016-05-02
48.720001220703125,2016-05-03
46.7599983215332,2016-05-04
45.08000183105469,2016-05-05
43.400001525878906,2016-05-06
45.220001220703125,2016-05-09
43.959999084472656,2016-05-10
42.13999938964844,2016-05-11
40.040000915527344,2016-05-12
40.7400016784668,2016-05-13
42.84000015258789,2016-05-16
44.099998474121094,2016-05-17
43.400001525878906,2016-05-18
42.13999938964844,2016-05-19
44.099998474121094,2016-05-20
45.08000183105469,2016-05-23
46.619998931884766,2016-05-24
46.20000076293945,2016-05-25
44.939998626708984,2016-05-26
45.220001220703125,2016-05-27
46.34000015258789,2016-05-31
48.720001220703125,2016-06-01
49.84000015258789,2016-06-02
48.58000183105469,2016-06-03
48.86000061035156,2016-06-06
45.91999816894531,2016-06-07
45.08000183105469,2016-06-08
43.81999969482422,2016-06-09
42.97999954223633,2016-06-10
43.400001525878906,2016-06-13
42.13999938964844,2016-06-14
42.13999938964844,2016-06-15
40.880001068115234,2016-06-16
39.20000076293945,2016-06-17
38.36000061035156,2016-06-20
38.91999816894531,2016-06-21
39.20000076293945,2016-06-22
41.15999984741211,2016-06-23
40.040000915527344,2016-06-24
35.84000015258789,2016-06-27
35.41999816894531,2016-06-28
37.79999923706055,2016-06-29
38.91999816894531,2016-06-30
41.15999984741211,2016-07-01
39.34000015258789,2016-07-05
39.34000015258789,2016-07-06
38.36000061035156,2016-07-07
39.900001525878906,2016-07-08
38.220001220703125,2016-07-11
38.36000061035156,2016-07-12
37.52000045776367,2016-07-13
37.380001068115234,2016-07-14
37.79999923706055,2016-07-15
38.08000183105469,2016-07-18
36.68000030517578,2016-07-19
42.84000015258789,2016-07-20
41.439998626708984,2016-07-21
40.599998474121094,2016-07-22
40.31999969482422,2016-07-25
40.31999969482422,2016-07-26
43.400001525878906,2016-07-27
41.58000183105469,2016-07-28
47.7400016784668,2016-07-29
44.380001068115234,2016-08-01
43.2599983215332,2016-08-02
46.060001373291016,2016-08-03
44.79999923706055,2016-08-04
46.34000015258789,2016-08-05
46.20000076293945,2016-08-08
44.52000045776367,2016-08-09
41.58000183105469,2016-08-10
45.08000183105469,2016-08-11
47.880001068115234,2016-08-12
51.2400016784668,2016-08-15
