MCIC,Date
4304409.0,1997-09-17
6026174.0,1997-09-18
8608818.0,1997-09-19
8608818.0,1997-09-22
6887053.0,1997-09-23
10761023.0,1997-09-24
8608818.0,1997-09-25
10761023.0,1997-09-26
10761023.0,1997-09-29
8608818.0,1997-09-30
11191462.0,1997-10-01
11191462.0,1997-10-02
12913220.0,1997-10-03
14531682.0,1997-10-06
11845727.0,1997-10-07
12379477.0,1997-10-08
14531682.0,1997-10-09
14462811.0,1997-10-10
14531682.0,1997-10-13
13997932.0,1997-10-14
10761023.0,1997-10-15
12913220.0,1997-10-16
13774106.0,1997-10-17
12913220.0,1997-10-20
12913220.0,1997-10-21
10761023.0,1997-10-22
12052341.0,1997-10-23
11191462.0,1997-10-24
11191462.0,1997-10-27
12052341.0,1997-10-28
11845727.0,1997-10-29
11845727.0,1997-10-30
10761023.0,1997-10-31
9693523.0,1997-11-03
10761023.0,1997-11-04
10761023.0,1997-11-05
12913220.0,1997-11-06
11191462.0,1997-11-07
12913220.0,1997-11-10
12913220.0,1997-11-11
11845727.0,1997-11-12
11845727.0,1997-11-13
11191462.0,1997-11-14
12913220.0,1997-11-17
12224515.0,1997-11-18
9693523.0,1997-11-19
9469697.0,1997-11-20
8608818.0,1997-11-21
7541326.0,1997-11-24
4304409.0,1997-11-25
7541326.0,1997-11-26
4304409.0,1997-11-28
5647386.5,1997-12-01
5647386.5,1997-12-02
5647386.5,1997-12-03
4132234.75,1997-12-04
4304409.0,1997-12-05
3529613.75,1997-12-08
4304409.0,1997-12-09
3529613.75,1997-12-10
4304409.0,1997-12-11
4304409.0,1997-12-12
4304409.0,1997-12-15
3770659.0,1997-12-16
3615704.5,1997-12-17
2582644.0,1997-12-18
2427689.5,1997-12-19
3236916.75,1997-12-22
3443522.75,1997-12-23
2410469.75,1997-12-24
2410469.75,1997-12-26
2238295.5,1997-12-29
3013083.25,1997-12-30
2754818.25,1997-12-31
3099174.25,1998-01-02
2582644.0,1998-01-05
2238295.5,1998-01-06
2582644.0,1998-01-07
2582644.0,1998-01-08
2685947.0,1998-01-09
2685947.0,1998-01-12
2685947.0,1998-01-13
2754818.25,1998-01-14
3099174.25,1998-01-15
3099174.25,1998-01-16
3013083.25,1998-01-20
2410469.75,1998-01-21
2410469.75,1998-01-22
3099174.25,1998-01-23
2927000.0,1998-01-26
2668734.75,1998-01-27
2668734.75,1998-01-28
2927000.0,1998-01-29
2927000.0,1998-01-30
2238295.5,1998-02-02
2840909.0,1998-02-03
2238295.5,1998-02-04
2238295.5,1998-02-05
2238295.5,1998-02-06
2324378.75,1998-02-09
2238295.5,1998-02-10
2582644.0,1998-02-11
2152204.5,1998-02-12
2152204.5,1998-02-13
2066113.625,1998-02-17
1721765.125,1998-02-18
2152204.5,1998-02-19
2152204.5,1998-02-20
2238295.5,1998-02-23
2238295.5,1998-02-24
2238295.5,1998-02-25
1893939.375,1998-02-26
1893939.375,1998-02-27
1893939.375,1998-03-02
2410469.75,1998-03-03
2582644.0,1998-03-04
2927000.0,1998-03-05
2582644.0,1998-03-06
2927000.0,1998-03-09
3271348.5,1998-03-10
3099174.25,1998-03-11
3099174.25,1998-03-12
3099174.25,1998-03-13
2840909.0,1998-03-16
3099174.25,1998-03-17
3099174.25,1998-03-18
2927000.0,1998-03-19
2754818.25,1998-03-20
2066113.625,1998-03-23
2582644.0,1998-03-24
2238295.5,1998-03-25
2066113.625,1998-03-26
1893939.375,1998-03-27
1893939.375,1998-03-30
1893939.375,1998-03-31
2238295.5,1998-04-01
2066113.625,1998-04-02
2066113.625,1998-04-03
2410469.75,1998-04-06
2410469.75,1998-04-07
2582644.0,1998-04-08
2927000.0,1998-04-09
2927000.0,1998-04-13
2927000.0,1998-04-14
3271348.5,1998-04-15
2582644.0,1998-04-16
2668734.75,1998-04-17
2754818.25,1998-04-20
2582644.0,1998-04-21
2582644.0,1998-04-22
2238295.5,1998-04-23
2410469.75,1998-04-24
17219.697265625,1998-04-27
2410469.75,1998-04-28
2410469.75,1998-04-29
17219.697265625,1998-04-30
