MU,Date
1.3604307174682617,1984-06-01
1.3604307174682617,1984-06-04
1.3483914136886597,1984-06-05
1.4206266403198242,1984-06-06
1.5771363973617554,1984-06-07
1.6734498739242554,1984-06-08
1.5650972127914429,1984-06-11
1.5530579090118408,1984-06-12
1.6252933740615845,1984-06-13
1.5771363973617554,1984-06-14
1.6252933740615845,1984-06-15
1.6734498739242554,1984-06-18
1.7938419580459595,1984-06-19
1.9864699840545654,1984-06-20
1.9623913764953613,1984-06-21
2.1790966987609863,1984-06-22
2.1550183296203613,1984-06-25
2.215214252471924,1984-06-26
2.1550183296203613,1984-06-27
2.2633719444274902,1984-06-28
2.4439585208892822,1984-06-29
2.383763313293457,1984-07-02
2.4319207668304443,1984-07-03
2.5523123741149902,1984-07-05
2.528233766555786,1984-07-06
2.480076789855957,1984-07-09
2.4198811054229736,1984-07-10
2.311528205871582,1984-07-11
2.2513320446014404,1984-07-12
2.2754104137420654,1984-07-13
2.1790966987609863,1984-07-16
2.2513320446014404,1984-07-17
2.2392935752868652,1984-07-18
2.0105483531951904,1984-07-19
1.8299596309661865,1984-07-20
1.8901556730270386,1984-07-23
1.8540380001068115,1984-07-24
1.9864699840545654,1984-07-25
2.070744276046753,1984-07-26
2.046665668487549,1984-07-27
2.0346262454986572,1984-07-30
2.0105483531951904,1984-07-31
2.2633719444274902,1984-08-01
2.383763313293457,1984-08-02
2.2513320446014404,1984-08-03
2.2031753063201904,1984-08-06
2.287450075149536,1984-08-07
2.2633719444274902,1984-08-08
2.4680378437042236,1984-08-09
2.576390266418457,1984-08-10
2.5523123741149902,1984-08-13
2.480076789855957,1984-08-14
2.480076789855957,1984-08-15
2.6727042198181152,1984-08-16
2.600468873977661,1984-08-17
2.6727042198181152,1984-08-20
2.9134888648986816,1984-08-21
3.0098018646240234,1984-08-22
3.1783511638641357,1984-08-23
3.2746646404266357,1984-08-24
3.1422338485717773,1984-08-27
3.1663122177124023,1984-08-28
3.0940768718719482,1984-08-29
2.973684549331665,1984-08-30
3.0098018646240234,1984-08-31
3.2626256942749023,1984-09-04
3.3589398860931396,1984-09-05
3.5636065006256104,1984-09-06
3.611762762069702,1984-09-07
3.5274884700775146,1984-09-10
3.611762762069702,1984-09-11
3.5997238159179688,1984-09-12
3.6238021850585938,1984-09-13
3.8525471687316895,1984-09-14
3.888665199279785,1984-09-17
3.8525471687316895,1984-09-18
3.6238021850585938,1984-09-19
3.647881269454956,1984-09-20
3.683997869491577,1984-09-21
3.515448808670044,1984-09-24
3.4311752319335938,1984-09-25
2.684743642807007,1984-09-26
2.588430166244507,1984-09-27
2.5643508434295654,1984-09-28
2.6486260890960693,1984-10-01
2.3958027362823486,1984-10-02
2.4439585208892822,1984-10-03
2.5161941051483154,1984-10-04
2.6486260890960693,1984-10-05
2.6727042198181152,1984-10-08
2.5523123741149902,1984-10-09
2.5523123741149902,1984-10-10
2.4559988975524902,1984-10-11
2.504154920578003,1984-10-12
2.576390266418457,1984-10-15
2.600468873977661,1984-10-16
2.600468873977661,1984-10-17
2.756978750228882,1984-10-18
2.8171749114990234,1984-10-19
2.877370834350586,1984-10-22
2.9014501571655273,1984-10-23
2.8894102573394775,1984-10-24
2.732901096343994,1984-10-25
2.600468873977661,1984-10-26
2.600468873977661,1984-10-29
2.576390266418457,1984-10-30
2.588430166244507,1984-10-31
2.4921162128448486,1984-11-01
2.4439585208892822,1984-11-02
2.480076789855957,1984-11-05
2.588430166244507,1984-11-06
2.5523123741149902,1984-11-07
2.5643508434295654,1984-11-08
2.576390266418457,1984-11-09
2.576390266418457,1984-11-12
2.407841444015503,1984-11-13
2.4680378437042236,1984-11-14
2.504154920578003,1984-11-15
2.4198811054229736,1984-11-16
2.3717246055603027,1984-11-19
2.3958027362823486,1984-11-20
2.4559988975524902,1984-11-21
2.528233766555786,1984-11-23
2.5402729511260986,1984-11-26
2.6486260890960693,1984-11-27
2.6967828273773193,1984-11-28
2.576390266418457,1984-11-29
2.6967828273773193,1984-11-30
2.6245477199554443,1984-12-03
2.6486260890960693,1984-12-04
2.6727042198181152,1984-12-05
2.829214096069336,1984-12-06
2.7690181732177734,1984-12-07
2.732901096343994,1984-12-10
2.732901096343994,1984-12-11
2.7208614349365234,1984-12-12
2.6486260890960693,1984-12-13
2.6245477199554443,1984-12-14
2.6486260890960693,1984-12-17
2.5643508434295654,1984-12-18
2.6606650352478027,1984-12-19
2.5643508434295654,1984-12-20
2.612508773803711,1984-12-21
2.684743642807007,1984-12-24
2.732901096343994,1984-12-26
2.708822011947632,1984-12-27
2.6486260890960693,1984-12-28
2.6245477199554443,1984-12-31
2.612508773803711,1985-01-02
2.5523123741149902,1985-01-03
2.4559988975524902,1985-01-04
2.359685182571411,1985-01-07
2.1790966987609863,1985-01-08
2.082782506942749,1985-01-09
2.118900775909424,1985-01-10
2.1068615913391113,1985-01-11
2.311528205871582,1985-01-14
2.359685182571411,1985-01-15
2.2994894981384277,1985-01-16
2.215214252471924,1985-01-17
2.2392935752868652,1985-01-18
2.3717246055603027,1985-01-21
2.4439585208892822,1985-01-22
2.407841444015503,1985-01-23
2.3476459980010986,1985-01-24
2.3717246055603027,1985-01-25
2.359685182571411,1985-01-28
2.287450075149536,1985-01-29
2.335606575012207,1985-01-30
2.311528205871582,1985-01-31
2.2754104137420654,1985-02-01
2.2754104137420654,1985-02-04
2.311528205871582,1985-02-05
2.2994894981384277,1985-02-06
2.287450075149536,1985-02-07
2.2633719444274902,1985-02-08
2.1911356449127197,1985-02-11
2.1309399604797363,1985-02-12
2.082782506942749,1985-02-13
1.6132539510726929,1985-02-14
1.6373323202133179,1985-02-15
1.4326659440994263,1985-02-19
1.4687833786010742,1985-02-20
1.4808226823806763,1985-02-21
1.4687833786010742,1985-02-22
1.1918816566467285,1985-02-25
1.047411322593689,1985-02-26
