NDX,Date
9517.8603515625,2020-02-11
9613.2001953125,2020-02-12
9595.7001953125,2020-02-13
9623.580078125,2020-02-14
9629.7998046875,2020-02-18
9718.73046875,2020-02-19
9627.830078125,2020-02-20
9446.6904296875,2020-02-21
9079.6298828125,2020-02-24
8834.8701171875,2020-02-25
8873.759765625,2020-02-26
8436.669921875,2020-02-27
8461.830078125,2020-02-28
8877.98046875,2020-03-02
8594.490234375,2020-03-03
8949.2802734375,2020-03-04
8671.66015625,2020-03-05
7948.02978515625,2020-03-09
8372.26953125,2020-03-10
8006.1201171875,2020-03-11
7263.64990234375,2020-03-12
7995.259765625,2020-03-13
7020.3798828125,2020-03-16
7473.9501953125,2020-03-17
7175.18017578125,2020-03-18
7288.52001953125,2020-03-19
6994.2900390625,2020-03-20
7006.919921875,2020-03-23
7553.81982421875,2020-03-24
7469.6201171875,2020-03-25
7588.3701171875,2020-03-27
7889.009765625,2020-03-30
7813.5,2020-03-31
7486.2900390625,2020-04-01
7635.66015625,2020-04-02
7528.10986328125,2020-04-03
8081.66015625,2020-04-06
8049.31005859375,2020-04-07
8229.5400390625,2020-04-08
8238.5302734375,2020-04-09
8332.740234375,2020-04-13
8591.9599609375,2020-04-15
8757.830078125,2020-04-16
8832.41015625,2020-04-17
8726.509765625,2020-04-20
8403.0,2020-04-21
8664.6298828125,2020-04-22
8641.5,2020-04-23
8786.599609375,2020-04-24
8837.66015625,2020-04-27
8677.599609375,2020-04-28
8982.759765625,2020-04-29
9000.509765625,2020-04-30
8834.1103515625,2020-05-04
8930.6201171875,2020-05-05
8984.8603515625,2020-05-06
9101.8798828125,2020-05-07
9298.919921875,2020-05-11
9112.4501953125,2020-05-12
9000.080078125,2020-05-13
9152.6396484375,2020-05-15
9331.9296875,2020-05-18
9298.5400390625,2020-05-19
9485.01953125,2020-05-20
9377.990234375,2020-05-21
9413.990234375,2020-05-22
9389.98046875,2020-05-26
9442.0498046875,2020-05-27
9416.7099609375,2020-05-28
9555.51953125,2020-05-29
9598.8896484375,2020-06-01
9657.3095703125,2020-06-02
9704.6904296875,2020-06-03
9629.66015625,2020-06-04
9824.3896484375,2020-06-05
9901.51953125,2020-06-08
9967.169921875,2020-06-09
10094.259765625,2020-06-10
9588.48046875,2020-06-11
9663.76953125,2020-06-12
9776.8896484375,2020-06-15
9949.3701171875,2020-06-16
9982.48046875,2020-06-17
10012.0498046875,2020-06-18
10008.6396484375,2020-06-19
10130.330078125,2020-06-22
10209.8203125,2020-06-23
10002.7001953125,2020-06-24
10101.830078125,2020-06-25
9849.3603515625,2020-06-26
9961.16015625,2020-06-29
10156.849609375,2020-06-30
10279.25,2020-07-01
10604.0595703125,2020-07-06
10524.009765625,2020-07-07
10666.7001953125,2020-07-08
10754.58984375,2020-07-09
10836.330078125,2020-07-10
10602.2099609375,2020-07-13
10689.51953125,2020-07-14
10701.6796875,2020-07-15
10626.4599609375,2020-07-16
10645.2197265625,2020-07-17
10952.080078125,2020-07-20
10833.0703125,2020-07-21
10870.75,2020-07-22
10580.58984375,2020-07-23
10483.1298828125,2020-07-24
10674.3798828125,2020-07-27
10532.5,2020-07-28
10662.98046875,2020-07-29
10715.509765625,2020-07-30
10905.8798828125,2020-07-31
11055.080078125,2020-08-03
11096.5400390625,2020-08-04
11125.4404296875,2020-08-05
11267.080078125,2020-08-06
11139.3896484375,2020-08-07
11085.169921875,2020-08-10
10876.080078125,2020-08-11
11157.7197265625,2020-08-12
11178.3701171875,2020-08-13
11164.4501953125,2020-08-14
11288.5703125,2020-08-17
11399.0302734375,2020-08-18
11318.6396484375,2020-08-19
11477.0498046875,2020-08-20
11555.16015625,2020-08-21
11626.169921875,2020-08-24
11721.8095703125,2020-08-25
11971.9404296875,2020-08-26
11926.16015625,2020-08-27
11995.849609375,2020-08-28
12110.7001953125,2020-08-31
12292.8603515625,2020-09-01
12420.5400390625,2020-09-02
11771.3701171875,2020-09-03
11622.1298828125,2020-09-04
11395.849609375,2020-09-09
11154.1201171875,2020-09-10
11087.400390625,2020-09-11
11277.759765625,2020-09-14
11438.8701171875,2020-09-15
11247.599609375,2020-09-16
11080.9501953125,2020-09-17
10936.98046875,2020-09-18
10980.2197265625,2020-09-21
11186.3701171875,2020-09-22
10896.4697265625,2020-09-24
11151.1298828125,2020-09-25
11364.4501953125,2020-09-28
11322.9501953125,2020-09-29
11418.0595703125,2020-09-30
11255.6904296875,2020-10-02
11509.0595703125,2020-10-05
