Date,NIHD
2015-07-06,16.875
2015-07-07,16.0
2015-07-08,15.5
2015-07-09,16.0
2015-07-10,16.1
2015-07-13,16.09
2015-07-14,15.81
2015-07-15,15.9
2015-07-16,15.8
2015-07-17,15.56
2015-07-20,15.51
2015-07-21,15.5
2015-07-22,15.36
2015-07-23,15.15
2015-07-24,14.87
2015-07-27,14.7
2015-07-28,14.5
2015-07-29,14.3
2015-07-30,14.32
2015-07-31,14.3
2015-08-03,13.8
2015-08-04,13.8
2015-08-05,13.79
2015-08-06,13.53
2015-08-07,13.29
2015-08-10,10.83
2015-08-11,9.14
2015-08-12,9.09
2015-08-13,9.32
2015-08-14,9.12
2015-08-17,8.9
2015-08-18,8.9
2015-08-19,8.9
2015-08-20,8.75
2015-08-21,8.32
2015-08-24,7.73
2015-08-25,7.82
2015-08-26,7.99
2015-08-27,8.06
2015-08-28,8.49
2015-08-31,8.59
2015-09-01,8.95
2015-09-02,8.7
2015-09-03,8.94
2015-09-04,8.91
2015-09-08,8.93
2015-09-09,8.86
2015-09-10,8.17
2015-09-11,8.34
2015-09-14,8.42
2015-09-15,8.53
2015-09-16,9.29
2015-09-17,9.4
2015-09-18,9.14
2015-09-21,8.83
2015-09-22,8.94
2015-09-23,8.84
2015-09-24,8.68
2015-09-25,7.74
2015-09-28,6.65
2015-09-29,6.33
2015-09-30,6.51
2015-10-01,6.22
2015-10-02,6.56
2015-10-05,6.76
2015-10-06,6.63
2015-10-07,6.96
2015-10-08,6.64
2015-10-09,6.62
2015-10-12,6.78
2015-10-13,6.72
2015-10-14,6.49
2015-10-15,6.81
2015-10-16,6.74
2015-10-19,6.62
2015-10-20,6.51
2015-10-21,6.49
2015-10-22,6.7
2015-10-23,6.79
2015-10-26,7.02
2015-10-27,6.85
2015-10-28,7.0
2015-10-29,6.9
2015-10-30,7.02
2015-11-02,7.18
2015-11-03,7.03
2015-11-04,6.93
2015-11-05,6.67
2015-11-06,6.67
2015-11-09,6.57
2015-11-10,6.5
2015-11-11,6.41
2015-11-12,6.27
2015-11-13,6.49
2015-11-16,6.38
2015-11-17,6.34
2015-11-18,6.72
2015-11-19,6.7
2015-11-20,6.74
2015-11-23,6.68
2015-11-24,6.79
2015-11-25,6.76
2015-11-27,6.72
2015-11-30,6.91
2015-12-01,6.7
2015-12-02,6.66
2015-12-03,6.54
2015-12-04,6.24
2015-12-07,5.55
2015-12-08,5.45
2015-12-09,4.95
2015-12-10,4.93
2015-12-11,4.69
2015-12-14,5.13
2015-12-15,5.1
2015-12-16,5.08
2015-12-17,4.94
2015-12-18,4.95
2015-12-21,4.98
2015-12-22,4.94
2015-12-23,4.88
2015-12-24,4.9
2015-12-28,4.94
2015-12-29,5.01
2015-12-30,5.12
2015-12-31,5.05
2016-01-04,4.6
2016-01-05,4.49
2016-01-06,4.13
2016-01-07,3.98
2016-01-08,3.91
2016-01-11,3.92
2016-01-12,3.88
2016-01-13,3.69
2016-01-14,3.9
2016-01-15,3.66
2016-01-19,3.15
2016-01-20,3.32
2016-01-21,3.23
2016-01-22,3.36
2016-01-25,3.75
2016-01-26,3.76
2016-01-27,3.69
2016-01-28,3.59
2016-01-29,3.65
2016-02-01,3.71
2016-02-02,3.73
2016-02-03,3.71
2016-02-04,3.87
2016-02-05,3.79
2016-02-08,3.57
2016-02-09,3.49
2016-02-10,3.54
2016-02-11,3.59
2016-02-12,3.73
2016-02-16,3.79
2016-02-17,4.05
2016-02-18,3.98
2016-02-19,3.98
2016-02-22,4.1
2016-02-23,4.21
2016-02-24,4.15
2016-02-25,4.49
2016-02-26,4.48
2016-02-29,5.31
2016-03-01,5.14
2016-03-02,5.11
2016-03-03,5.14
2016-03-04,4.8
2016-03-07,4.81
2016-03-08,4.89
2016-03-09,4.87
2016-03-10,4.88
2016-03-11,5.13
2016-03-14,5.48
2016-03-15,5.2
2016-03-16,5.15
2016-03-17,5.19
2016-03-18,5.54
2016-03-21,5.6
2016-03-22,5.49
2016-03-23,5.4
2016-03-24,5.47
2016-03-28,5.51
2016-03-29,5.48
2016-03-30,5.5
2016-03-31,5.53
2016-04-01,5.51
2016-04-04,5.53
