Date,PKI
2022-11-24,26.75
2022-11-23,26.72
2022-11-22,26.33
2022-11-21,25.55
2022-11-18,25.82
2022-11-17,25.44
2022-11-16,25.7
2022-11-15,25.76
2022-11-14,25.42
2022-11-11,25.96
2022-11-10,25.1
2022-11-09,24.75
2022-11-08,25.14
2022-11-07,25.38
2022-11-04,25.89
2022-11-03,26.07
2022-11-02,27.49
2022-11-01,28.0
2022-10-31,27.54
2022-10-28,28.42
2022-10-27,27.61
2022-10-26,27.41
2022-10-25,27.0
2022-10-24,27.56
2022-10-21,27.64
2022-10-20,27.0
2022-10-19,27.45
2022-10-18,29.56
2022-10-17,29.26
2022-10-14,28.33
2022-10-13,29.06
2022-10-12,28.79
2022-10-11,29.24
2022-10-07,29.87
2022-10-06,30.31
2022-10-05,30.8
2022-10-04,31.12
2022-10-03,29.97
2022-09-30,29.6
2022-09-29,29.25
2022-09-28,30.03
2022-09-27,29.03
2022-09-26,28.81
2022-09-23,29.9
2022-09-22,30.61
2022-09-21,30.9
2022-09-20,31.51
2022-09-19,31.77
2022-09-16,31.33
2022-09-15,31.48
2022-09-14,32.19
2022-09-13,32.03
2022-09-12,32.67
2022-09-09,32.11
2022-09-08,32.03
2022-09-07,31.23
2022-09-06,31.53
2022-09-02,32.03
2022-09-01,31.69
2022-08-31,32.24
2022-08-30,32.78
2022-08-29,33.66
2022-08-26,32.82
2022-08-25,33.72
2022-08-24,34.1
2022-08-23,33.96
2022-08-22,34.09
2022-08-19,34.13
2022-08-18,33.86
2022-08-17,33.79
2022-08-16,34.5
2022-08-15,33.82
2022-08-12,33.74
2022-08-11,33.88
2022-08-10,33.62
2022-08-09,33.74
2022-08-08,33.73
2022-08-05,33.65
2022-08-04,34.58
2022-08-03,35.89
2022-08-02,36.04
2022-07-29,35.93
2022-07-28,35.42
2022-07-27,34.91
2022-07-26,34.49
2022-07-25,35.55
2022-07-22,34.89
2022-07-21,34.89
2022-07-20,34.89
2022-07-19,34.76
