PLD,Date
8.12153148651123,1997-11-21
8.033252716064453,1997-11-24
8.12153148651123,1997-11-25
8.033252716064453,1997-11-26
8.12153148651123,1997-11-28
8.143607139587402,1997-12-01
8.12153148651123,1997-12-02
8.12153148651123,1997-12-03
8.12153148651123,1997-12-04
8.143607139587402,1997-12-05
8.187740325927734,1997-12-08
8.187740325927734,1997-12-09
8.143607139587402,1997-12-10
8.143607139587402,1997-12-11
8.187740325927734,1997-12-12
8.187740325927734,1997-12-15
8.39072322845459,1997-12-16
8.590493202209473,1997-12-17
8.612700462341309,1997-12-18
8.479510307312012,1997-12-19
8.523902893066406,1997-12-22
8.523902893066406,1997-12-23
8.523902893066406,1997-12-24
8.412919044494629,1997-12-26
8.45730972290039,1997-12-29
8.634895324707031,1997-12-30
8.92346477508545,1997-12-31
8.83466911315918,1998-01-02
8.745882034301758,1998-01-05
8.768078804016113,1998-01-06
8.745882034301758,1998-01-07
8.723682403564453,1998-01-08
8.657089233398438,1998-01-09
8.679289817810059,1998-01-12
8.723682403564453,1998-01-13
8.790275573730469,1998-01-14
8.701484680175781,1998-01-15
8.701484680175781,1998-01-16
8.745882034301758,1998-01-20
8.790275573730469,1998-01-21
8.768078804016113,1998-01-22
8.679289817810059,1998-01-23
8.5683012008667,1998-01-26
8.612700462341309,1998-01-27
8.523902893066406,1998-01-28
8.523902893066406,1998-01-29
8.701484680175781,1998-01-30
8.790275573730469,1998-02-02
8.701484680175781,1998-02-03
8.657089233398438,1998-02-04
8.701484680175781,1998-02-05
8.701484680175781,1998-02-06
8.634895324707031,1998-02-09
8.745882034301758,1998-02-10
8.745882034301758,1998-02-11
8.701484680175781,1998-02-12
8.701484680175781,1998-02-13
8.812477111816406,1998-02-17
8.5683012008667,1998-02-18
8.523902893066406,1998-02-19
8.590493202209473,1998-02-20
8.546102523803711,1998-02-23
8.479510307312012,1998-02-24
8.435118675231934,1998-02-25
8.39072322845459,1998-02-26
8.34632396697998,1998-02-27
8.324125289916992,1998-03-02
8.368522644042969,1998-03-03
8.301925659179688,1998-03-04
8.324125289916992,1998-03-05
8.34632396697998,1998-03-06
8.523902893066406,1998-03-09
8.523902893066406,1998-03-10
8.590493202209473,1998-03-11
8.523902893066406,1998-03-12
8.479510307312012,1998-03-13
8.490140914916992,1998-03-16
8.467619895935059,1998-03-17
8.467619895935059,1998-03-18
8.602741241455078,1998-03-19
8.73786449432373,1998-03-20
8.7829008102417,1998-03-23
8.73786449432373,1998-03-24
8.760385513305664,1998-03-25
8.918025016784668,1998-03-26
8.985586166381836,1998-03-27
8.8729829788208,1998-03-30
8.692821502685547,1998-03-31
8.692821502685547,1998-04-01
8.647780418395996,1998-04-02
8.467619895935059,1998-04-03
8.377537727355957,1998-04-06
8.287454605102539,1998-04-07
8.44509506225586,1998-04-08
8.467619895935059,1998-04-09
8.355018615722656,1998-04-13
8.355018615722656,1998-04-14
8.467619895935059,1998-04-15
8.332496643066406,1998-04-16
8.309982299804688,1998-04-17
8.242415428161621,1998-04-20
8.174859046936035,1998-04-21
8.422578811645508,1998-04-22
8.422578811645508,1998-04-23
8.467619895935059,1998-04-24
8.309982299804688,1998-04-27
8.287454605102539,1998-04-28
8.332496643066406,1998-04-29
8.287454605102539,1998-04-30
8.67030143737793,1998-05-01
8.918025016784668,1998-05-04
8.918025016784668,1998-05-05
8.827939987182617,1998-05-06
8.963065147399902,1998-05-07
8.827939987182617,1998-05-08
8.467619895935059,1998-05-11
8.44509506225586,1998-05-12
8.467619895935059,1998-05-13
8.467619895935059,1998-05-14
8.512662887573242,1998-05-15
8.535181045532227,1998-05-18
8.422578811645508,1998-05-19
8.400055885314941,1998-05-20
8.332496643066406,1998-05-21
8.377537727355957,1998-05-22
8.422578811645508,1998-05-26
8.44509506225586,1998-05-27
8.377537727355957,1998-05-28
8.580220222473145,1998-05-29
8.512662887573242,1998-06-01
8.490140914916992,1998-06-02
8.467619895935059,1998-06-03
8.490140914916992,1998-06-04
8.535181045532227,1998-06-05
8.467619895935059,1998-06-08
8.355018615722656,1998-06-09
8.377537727355957,1998-06-10
8.242415428161621,1998-06-11
8.152336120605469,1998-06-12
8.062254905700684,1998-06-15
8.152336120605469,1998-06-16
8.309982299804688,1998-06-17
8.73786449432373,1998-06-18
8.647780418395996,1998-06-19
8.467619895935059,1998-06-22
8.44509506225586,1998-06-23
8.625260353088379,1998-06-24
8.67030143737793,1998-06-25
8.772462844848633,1998-06-26
9.137982368469238,1998-06-29
8.955219268798828,1998-06-30
8.840996742248535,1998-07-01
8.795308113098145,1998-07-02
8.772462844848633,1998-07-06
8.932380676269531,1998-07-07
8.818154335021973,1998-07-08
8.749617576599121,1998-07-09
8.772462844848633,1998-07-10
8.840996742248535,1998-07-13
8.863845825195312,1998-07-14
8.909531593322754,1998-07-15
8.955219268798828,1998-07-16
9.092294692993164,1998-07-17
8.88669204711914,1998-07-20
8.978066444396973,1998-07-21
8.932380676269531,1998-07-22
9.000913619995117,1998-07-23
8.955219268798828,1998-07-24
8.703927993774414,1998-07-27
8.612550735473633,1998-07-28
8.589702606201172,1998-07-29
8.726775169372559,1998-07-30
8.726775169372559,1998-07-31
8.65824031829834,1998-08-03
8.635396957397461,1998-08-04
8.544014930725098,1998-08-05
8.635396957397461,1998-08-06
8.589702606201172,1998-08-07
8.65824031829834,1998-08-10
8.635396957397461,1998-08-11
8.635396957397461,1998-08-12
8.635396957397461,1998-08-13
8.635396957397461,1998-08-14
8.726775169372559,1998-08-17
8.749617576599121,1998-08-18
8.840996742248535,1998-08-19
8.932380676269531,1998-08-20
8.772462844848633,1998-08-21
8.978066444396973,1998-08-24
9.183672904968262,1998-08-25
9.229362487792969,1998-08-26
9.000913619995117,1998-08-27
8.955219268798828,1998-08-28
8.589702606201172,1998-08-31
8.589702606201172,1998-09-01
8.56685733795166,1998-09-02
8.544014930725098,1998-09-03
8.475481033325195,1998-09-04
8.589702606201172,1998-09-08
8.544014930725098,1998-09-09
8.498324394226074,1998-09-10
8.475481033325195,1998-09-11
8.463236808776855,1998-09-14
8.509611129760742,1998-09-15
8.463236808776855,1998-09-16
8.416864395141602,1998-09-17
8.440046310424805,1998-09-18
8.463236808776855,1998-09-21
8.950161933898926,1998-09-22
9.042909622192383,1998-09-23
9.019723892211914,1998-09-24
9.089282989501953,1998-09-25
8.903787612915039,1998-09-28
8.996537208557129,1998-09-29
9.576213836669922,1998-09-30
9.135658264160156,1998-10-01
9.112468719482422,1998-10-02
8.903787612915039,1998-10-05
8.811039924621582,1998-10-06
8.764671325683594,1998-10-07
8.555989265441895,1998-10-08
8.764671325683594,1998-10-09
9.042909622192383,1998-10-12
9.2747802734375,1998-10-13
9.2747802734375,1998-10-14
9.089282989501953,1998-10-15
8.926977157592773,1998-10-16
8.811039924621582,1998-10-19
8.718297958374023,1998-10-20
8.695109367370605,1998-10-21
8.718297958374023,1998-10-22
8.602357864379883,1998-10-23
8.648727416992188,1998-10-26
8.53279972076416,1998-10-27
8.509611129760742,1998-10-28
8.509611129760742,1998-10-29
8.53279972076416,1998-10-30
8.347305297851562,1998-11-02
8.393677711486816,1998-11-03
8.53279972076416,1998-11-04
8.509611129760742,1998-11-05
8.486422538757324,1998-11-06
8.347305297851562,1998-11-09
8.254554748535156,1998-11-10
8.30093002319336,1998-11-11
8.347305297851562,1998-11-12
8.347305297851562,1998-11-13
8.486422538757324,1998-11-16
8.486422538757324,1998-11-17
8.509611129760742,1998-11-18
8.440046310424805,1998-11-19
8.370488166809082,1998-11-20
8.324115753173828,1998-11-23
