PTC,Date
1.8229169845581055,1989-12-08
1.7708330154418945,1989-12-11
1.7708330154418945,1989-12-12
1.71875,1989-12-13
1.8229169845581055,1989-12-14
1.8229169845581055,1989-12-15
1.7447919845581055,1989-12-18
1.7578129768371582,1989-12-19
1.7578129768371582,1989-12-20
1.8489580154418945,1989-12-21
1.875,1989-12-22
2.03125,1989-12-26
2.0833330154418945,1989-12-27
2.0052080154418945,1989-12-28
2.1875,1989-12-29
2.1875,1990-01-02
2.265625,1990-01-03
2.2395830154418945,1990-01-04
2.265625,1990-01-05
2.3177080154418945,1990-01-08
2.2916669845581055,1990-01-09
2.265625,1990-01-10
2.2135419845581055,1990-01-11
2.1354169845581055,1990-01-12
2.0572919845581055,1990-01-15
2.0572919845581055,1990-01-16
2.109375,1990-01-17
2.3177080154418945,1990-01-18
2.578125,1990-01-19
2.421875,1990-01-22
2.5520830154418945,1990-01-23
2.7864580154418945,1990-01-24
2.6432290077209473,1990-01-25
2.6432290077209473,1990-01-26
2.5260419845581055,1990-01-29
2.3958330154418945,1990-01-30
2.4479169845581055,1990-01-31
2.5260419845581055,1990-02-01
2.6041669845581055,1990-02-02
2.5911459922790527,1990-02-05
2.4739580154418945,1990-02-06
2.5,1990-02-07
2.460937976837158,1990-02-08
2.4479169845581055,1990-02-09
2.3697919845581055,1990-02-12
2.3177080154418945,1990-02-13
2.265625,1990-02-14
2.3697919845581055,1990-02-15
2.421875,1990-02-16
2.304687976837158,1990-02-20
2.3177080154418945,1990-02-21
2.3958330154418945,1990-02-22
2.3177080154418945,1990-02-23
2.34375,1990-02-26
2.3697919845581055,1990-02-27
2.2786459922790527,1990-02-28
2.3958330154418945,1990-03-01
2.5260419845581055,1990-03-02
2.4739580154418945,1990-03-05
2.4479169845581055,1990-03-06
2.5,1990-03-07
2.5260419845581055,1990-03-08
2.4869790077209473,1990-03-09
2.421875,1990-03-12
2.3697919845581055,1990-03-13
2.3177080154418945,1990-03-14
2.1614580154418945,1990-03-15
2.3697919845581055,1990-03-16
2.3697919845581055,1990-03-19
2.4739580154418945,1990-03-20
2.5260419845581055,1990-03-21
2.3697919845581055,1990-03-22
2.4348959922790527,1990-03-23
2.421875,1990-03-26
2.421875,1990-03-27
2.3177080154418945,1990-03-28
2.2135419845581055,1990-03-29
2.109375,1990-03-30
2.109375,1990-04-02
2.1614580154418945,1990-04-03
2.3697919845581055,1990-04-04
2.3177080154418945,1990-04-05
2.34375,1990-04-06
2.34375,1990-04-09
2.3958330154418945,1990-04-10
2.34375,1990-04-11
2.5260419845581055,1990-04-12
2.5,1990-04-16
2.5260419845581055,1990-04-17
2.5,1990-04-18
2.421875,1990-04-19
2.5260419845581055,1990-04-20
2.34375,1990-04-23
2.3177080154418945,1990-04-24
2.3958330154418945,1990-04-25
2.578125,1990-04-26
2.4739580154418945,1990-04-27
2.4739580154418945,1990-04-30
2.5260419845581055,1990-05-01
2.3697919845581055,1990-05-02
2.4739580154418945,1990-05-03
2.4479169845581055,1990-05-04
2.421875,1990-05-07
2.3697919845581055,1990-05-08
2.34375,1990-05-09
2.3307290077209473,1990-05-10
2.3958330154418945,1990-05-11
2.460937976837158,1990-05-14
2.5520830154418945,1990-05-15
2.5520830154418945,1990-05-16
2.578125,1990-05-17
2.617187976837158,1990-05-18
2.7083330154418945,1990-05-21
2.7864580154418945,1990-05-22
2.8125,1990-05-23
2.8385419845581055,1990-05-24
2.7864580154418945,1990-05-25
2.8125,1990-05-29
2.96875,1990-05-30
2.9427080154418945,1990-05-31
2.890625,1990-06-01
2.8125,1990-06-04
2.7864580154418945,1990-06-05
2.7604169845581055,1990-06-06
2.7083330154418945,1990-06-07
2.65625,1990-06-08
2.6432290077209473,1990-06-11
2.7864580154418945,1990-06-12
2.7994790077209473,1990-06-13
2.734375,1990-06-14
2.7083330154418945,1990-06-15
2.578125,1990-06-18
2.6432290077209473,1990-06-19
2.578125,1990-06-20
2.578125,1990-06-21
2.6302080154418945,1990-06-22
2.5520830154418945,1990-06-25
2.5520830154418945,1990-06-26
2.5520830154418945,1990-06-27
2.65625,1990-06-28
2.8125,1990-06-29
2.7864580154418945,1990-07-02
2.7604169845581055,1990-07-03
2.734375,1990-07-05
2.7083330154418945,1990-07-06
2.6822919845581055,1990-07-09
2.6822919845581055,1990-07-10
2.734375,1990-07-11
2.890625,1990-07-12
3.1770830154418945,1990-07-13
3.1770830154418945,1990-07-16
3.125,1990-07-17
3.0208330154418945,1990-07-18
3.046875,1990-07-19
3.0208330154418945,1990-07-20
2.9166669845581055,1990-07-23
2.8125,1990-07-24
2.8645830154418945,1990-07-25
3.125,1990-07-26
3.0729169845581055,1990-07-27
2.8645830154418945,1990-07-30
2.7864580154418945,1990-07-31
2.9427080154418945,1990-08-01
2.8385419845581055,1990-08-02
2.734375,1990-08-03
2.5520830154418945,1990-08-06
2.5520830154418945,1990-08-07
2.6692709922790527,1990-08-08
2.734375,1990-08-09
2.65625,1990-08-10
2.7083330154418945,1990-08-13
2.65625,1990-08-14
2.7083330154418945,1990-08-15
2.617187976837158,1990-08-16
2.5520830154418945,1990-08-17
2.5,1990-08-20
2.4348959922790527,1990-08-21
2.3958330154418945,1990-08-22
2.3177080154418945,1990-08-23
2.2395830154418945,1990-08-24
2.421875,1990-08-27
2.578125,1990-08-28
2.5,1990-08-29
2.4739580154418945,1990-08-30
2.4739580154418945,1990-08-31
2.4479169845581055,1990-09-04
2.617187976837158,1990-09-05
2.5520830154418945,1990-09-06
2.6302080154418945,1990-09-07
2.5911459922790527,1990-09-10
2.5911459922790527,1990-09-11
2.617187976837158,1990-09-12
2.6302080154418945,1990-09-13
2.578125,1990-09-14
2.6302080154418945,1990-09-17
2.5911459922790527,1990-09-18
2.5911459922790527,1990-09-19
2.4739580154418945,1990-09-20
2.265625,1990-09-21
2.2395830154418945,1990-09-24
2.265625,1990-09-25
2.2395830154418945,1990-09-26
1.8489580154418945,1990-09-27
2.0052080154418945,1990-09-28
2.0833330154418945,1990-10-01
2.0052080154418945,1990-10-02
1.875,1990-10-03
1.796875,1990-10-04
1.7708330154418945,1990-10-05
1.6666669845581055,1990-10-08
1.6927080154418945,1990-10-09
1.7708330154418945,1990-10-10
1.7317709922790527,1990-10-11
1.6927080154418945,1990-10-12
1.6145830154418945,1990-10-15
1.6145830154418945,1990-10-16
1.8489580154418945,1990-10-17
2.0052080154418945,1990-10-18
2.0572919845581055,1990-10-19
2.2786459922790527,1990-10-22
2.3958330154418945,1990-10-23
2.3567709922790527,1990-10-24
2.382812976837158,1990-10-25
2.2916669845581055,1990-10-26
2.1354169845581055,1990-10-29
2.2135419845581055,1990-10-30
2.265625,1990-10-31
2.265625,1990-11-01
2.2916669845581055,1990-11-02
2.34375,1990-11-05
2.34375,1990-11-06
2.226562976837158,1990-11-07
2.109375,1990-11-08
2.1875,1990-11-09
2.2916669845581055,1990-11-12
2.4739580154418945,1990-11-13
2.6041669845581055,1990-11-14
2.6041669845581055,1990-11-15
2.4479169845581055,1990-11-16
2.5260419845581055,1990-11-19
2.421875,1990-11-20
2.3958330154418945,1990-11-21
2.3958330154418945,1990-11-23
2.2916669845581055,1990-11-26
2.34375,1990-11-27
2.2916669845581055,1990-11-28
2.3177080154418945,1990-11-29
2.3958330154418945,1990-11-30
2.5,1990-12-03
2.5260419845581055,1990-12-04
2.7604169845581055,1990-12-05
2.8125,1990-12-06
2.7604169845581055,1990-12-07
2.8385419845581055,1990-12-10
2.8385419845581055,1990-12-11
2.8385419845581055,1990-12-12
2.7864580154418945,1990-12-13
2.7083330154418945,1990-12-14
2.7864580154418945,1990-12-17
2.7864580154418945,1990-12-18
2.7473959922790527,1990-12-19
2.7604169845581055,1990-12-20
2.734375,1990-12-21
2.7473959922790527,1990-12-24
2.734375,1990-12-26
2.7604169845581055,1990-12-27
2.7864580154418945,1990-12-28
2.8125,1990-12-31
2.65625,1991-01-02
2.5260419845581055,1991-01-03
2.5520830154418945,1991-01-04
2.3958330154418945,1991-01-07
2.4088540077209473,1991-01-08
2.5,1991-01-09
2.578125,1991-01-10
2.7604169845581055,1991-01-11
2.65625,1991-01-14
2.6822919845581055,1991-01-15
2.96875,1991-01-16
3.2291669845581055,1991-01-17
3.28125,1991-01-18
3.2552080154418945,1991-01-21
3.1901040077209473,1991-01-22
3.1510419845581055,1991-01-23
3.2552080154418945,1991-01-24
3.359375,1991-01-25
3.359375,1991-01-28
3.4375,1991-01-29
3.5807290077209473,1991-01-30
3.8020830154418945,1991-01-31
3.7760419845581055,1991-02-01
3.671875,1991-02-04
3.7239580154418945,1991-02-05
3.7239580154418945,1991-02-06
3.5677080154418945,1991-02-07
3.671875,1991-02-08
3.8541669845581055,1991-02-11
3.9583330154418945,1991-02-12
3.984375,1991-02-13
3.8541669845581055,1991-02-14
3.867187976837158,1991-02-15
3.8020830154418945,1991-02-19
3.5677080154418945,1991-02-20
3.5677080154418945,1991-02-21
3.59375,1991-02-22
3.4114580154418945,1991-02-25
3.3333330154418945,1991-02-26
3.4375,1991-02-27
3.5677080154418945,1991-02-28
3.6458330154418945,1991-03-01
3.7630209922790527,1991-03-04
3.90625,1991-03-05
3.5677080154418945,1991-03-06
3.6979169845581055,1991-03-07
3.6197919845581055,1991-03-08
3.4375,1991-03-11
3.28125,1991-03-12
3.4635419845581055,1991-03-13
3.3854169845581055,1991-03-14
3.3333330154418945,1991-03-15
3.4375,1991-03-18
3.4635419845581055,1991-03-19
