Date,QLGC
2016-08-15,16.07
2016-08-12,16.04
2016-08-11,15.91
2016-08-10,15.69
2016-08-09,15.87
2016-08-08,15.78
2016-08-05,15.76
2016-08-04,15.56
2016-08-03,15.61
2016-08-02,15.43
2016-08-01,15.53
2016-07-29,15.52
2016-07-28,15.61
2016-07-27,15.51
2016-07-26,15.23
2016-07-25,15.21
2016-07-22,15.18
2016-07-21,15.22
2016-07-20,15.23
2016-07-19,15.09
2016-07-18,15.12
2016-07-15,14.97
2016-07-14,14.94
2016-07-13,14.95
2016-07-12,15.0
2016-07-11,14.94
2016-07-08,14.83
2016-07-07,14.76
2016-07-06,14.81
2016-07-05,14.53
2016-07-01,14.65
2016-06-30,14.74
2016-06-29,14.69
2016-06-28,14.65
2016-06-27,14.47
2016-06-24,14.65
2016-06-23,14.87
2016-06-22,14.79
2016-06-21,14.87
2016-06-20,14.86
2016-06-17,14.85
2016-06-16,14.8
2016-06-15,13.54
2016-06-14,13.67
2016-06-13,13.37
2016-06-10,13.39
2016-06-09,13.76
2016-06-08,13.82
2016-06-07,13.77
2016-06-06,13.79
2016-06-03,13.78
2016-06-02,13.93
2016-06-01,13.9
2016-05-31,13.86
2016-05-27,13.8
2016-05-26,13.73
2016-05-25,13.7
2016-05-24,13.64
2016-05-23,13.45
2016-05-20,13.3
2016-05-19,12.95
2016-05-18,13.25
2016-05-17,13.11
2016-05-16,13.3
2016-05-13,13.13
2016-05-12,13.01
2016-05-11,13.36
2016-05-10,13.46
2016-05-09,13.64
2016-05-06,13.61
2016-05-05,11.78
2016-05-04,12.31
2016-05-03,12.43
2016-05-02,13.21
2016-04-29,13.09
2016-04-28,13.34
2016-04-27,13.55
2016-04-26,13.57
2016-04-25,13.4
2016-04-22,13.65
2016-04-21,13.31
2016-04-20,13.2
2016-04-19,13.3
2016-04-18,13.35
2016-04-15,13.35
2016-04-14,13.38
2016-04-13,13.7
2016-04-12,13.26
2016-04-11,13.21
2016-04-08,13.66
2016-04-07,12.79
2016-04-06,12.93
2016-04-05,13.01
2016-04-04,12.98
2016-04-01,13.43
2016-03-31,13.44
2016-03-30,13.38
2016-03-29,13.26
2016-03-28,12.99
2016-03-24,13.01
2016-03-23,12.89
2016-03-22,13.18
2016-03-21,13.37
2016-03-18,13.29
2016-03-17,13.08
2016-03-16,13.17
2016-03-15,13.07
2016-03-14,12.95
2016-03-11,13.14
2016-03-10,12.81
2016-03-09,13.13
2016-03-08,12.76
2016-03-07,13.17
2016-03-04,13.2
2016-03-03,13.35
2016-03-02,13.12
2016-03-01,13.06
2016-02-29,12.89
2016-02-27,12.8
2016-02-26,12.82
2016-02-25,12.67
2016-02-24,12.61
2016-02-23,12.48
2016-02-22,12.47
2016-02-19,12.39
2016-02-18,12.59
2016-02-17,12.54
2016-02-16,12.21
2016-02-12,12.03
2016-02-11,11.53
2016-02-10,11.6
2016-02-09,11.96
2016-02-08,12.07
2016-02-05,12.05
2016-02-04,12.53
2016-02-03,12.53
2016-02-02,12.5
2016-02-01,12.48
2016-01-29,12.82
2016-01-28,12.05
2016-01-27,11.77
2016-01-26,11.97
2016-01-25,11.86
2016-01-22,11.86
2016-01-21,11.66
2016-01-20,11.62
2016-01-19,11.65
2016-01-15,11.85
2016-01-14,11.8
2016-01-13,11.58
2016-01-12,11.68
2016-01-11,11.31
2016-01-08,11.02
2016-01-07,11.1
2016-01-06,11.63
2016-01-05,11.8
2016-01-04,11.76
2015-12-31,12.2
2015-12-30,12.41
2015-12-29,12.6
2015-12-28,12.35
2015-12-24,12.3
2015-12-23,12.05
2015-12-22,12.02
2015-12-21,11.94
2015-12-18,11.81
2015-12-17,12.47
2015-12-16,12.54
2015-12-15,12.1
2015-12-14,11.97
2015-12-11,12.33
2015-12-10,12.59
2015-12-09,12.62
2015-12-08,12.94
2015-12-07,13.11
2015-12-04,13.08
2015-12-03,12.95
2015-12-02,13.1
2015-12-01,13.11
2015-11-30,12.9
2015-11-27,12.87
2015-11-25,12.79
2015-11-24,12.74
2015-11-23,12.72
2015-11-20,12.1
2015-11-19,12.22
2015-11-18,12.47
2015-11-17,12.43
2015-11-16,12.22
2015-11-13,12.21
2015-11-12,12.5
2015-11-11,12.5
2015-11-10,12.5
2015-11-09,12.67
2015-11-06,12.66
2015-11-05,12.57
2015-11-04,12.77
2015-11-03,12.72
2015-11-02,12.71
2015-10-30,12.4
2015-10-29,12.42
2015-10-28,12.65
2015-10-27,12.24
2015-10-26,12.92
2015-10-23,13.25
2015-10-22,11.15
2015-10-21,10.81
2015-10-20,10.85
2015-10-19,10.78
2015-10-16,10.81
2015-10-15,10.94
2015-10-14,10.82
2015-10-13,11.12
2015-10-12,11.25
2015-10-09,11.34
2015-10-08,11.41
2015-10-07,10.93
2015-10-06,10.77
2015-10-05,10.62
2015-10-02,10.19
2015-10-01,10.08
2015-09-30,10.25
2015-09-29,9.91
2015-09-28,9.73
2015-09-25,9.79
2015-09-24,9.83
2015-09-23,9.81
2015-09-22,10.0
2015-09-21,10.17
2015-09-18,10.23
2015-09-17,10.56
2015-09-16,10.39
2015-09-15,10.37
2015-09-14,10.35
2015-09-11,10.16
2015-09-10,10.17
2015-09-09,10.11
2015-09-08,10.34
2015-09-04,9.86
2015-09-03,10.21
2015-09-02,10.18
2015-09-01,9.95
2015-08-31,10.34
2015-08-28,10.11
2015-08-27,10.06
2015-08-26,9.7
2015-08-25,9.37
2015-08-24,9.29
2015-08-21,9.5
2015-08-20,9.16
2015-08-19,9.31
2015-08-18,9.38
2015-08-17,9.45
2015-08-14,9.36
2015-08-13,9.27
2015-08-12,9.39
2015-08-11,9.38
2015-08-10,9.62
2015-08-07,9.32
2015-08-06,9.31
2015-08-05,9.21
2015-08-04,9.15
2015-08-03,8.8
2015-07-31,8.87
2015-07-30,11.38
2015-07-29,11.38
2015-07-28,11.48
2015-07-27,11.24
2015-07-24,11.36
2015-07-23,11.66
2015-07-22,11.58
2015-07-21,11.48
2015-07-20,11.49
2015-07-17,11.68
2015-07-16,11.69
2015-07-15,11.76
2015-07-14,11.81
2015-07-13,11.67
2015-07-10,11.48
2015-07-09,11.0
2015-07-08,13.98
2015-07-07,14.07
2015-07-06,14.14
2015-07-02,14.12
2015-07-01,13.9
2015-06-30,14.19
2015-06-29,14.35
2015-06-26,14.79
2015-06-25,15.27
2015-06-24,15.34
2015-06-23,15.49
2015-06-22,15.46
2015-06-19,15.46
2015-06-18,15.52
2015-06-17,15.35
2015-06-16,15.25
2015-06-15,14.97
2015-06-12,14.93
2015-06-11,15.23
2015-06-10,15.36
2015-06-09,15.3
2015-06-08,15.71
2015-06-05,15.88
2015-06-04,15.63
2015-06-03,15.89
2015-06-02,15.61
2015-06-01,15.56
2015-05-29,15.52
2015-05-28,15.53
2015-05-27,15.43
2015-05-26,15.34
2015-05-22,15.3
2015-05-21,15.31
2015-05-20,15.36
2015-05-19,15.09
2015-05-18,15.14
2015-05-15,15.09
2015-05-14,15.44
2015-05-13,15.14
2015-05-12,14.91
2015-05-11,14.95
2015-05-08,14.9
2015-05-07,14.83
2015-05-06,14.64
2015-05-05,14.39
2015-05-04,14.69
2015-05-01,14.38
2015-04-30,14.7
2015-04-29,14.89
2015-04-28,14.98
2015-04-27,14.89
2015-04-24,15.26
2015-04-23,15.19
2015-04-22,15.08
2015-04-21,14.64
2015-04-20,14.65
2015-04-17,14.68
2015-04-16,14.87
2015-04-15,14.75
2015-04-14,14.36
2015-04-13,14.55
2015-04-10,14.54
2015-04-09,14.43
2015-04-08,14.42
2015-04-07,14.59
2015-04-06,14.66
2015-04-02,14.84
2015-04-01,14.79
2015-03-31,14.74
2015-03-30,14.54
2015-03-27,14.34
2015-03-26,14.31
2015-03-25,14.41
2015-03-24,15.05
2015-03-23,15.08
2015-03-20,15.07
2015-03-19,14.73
2015-03-18,14.74
2015-03-17,14.86
2015-03-16,15.09
2015-03-13,15.09
2015-03-12,15.0
2015-03-11,14.76
2015-03-10,14.72
2015-03-09,14.89
2015-03-06,14.88
2015-03-05,14.96
2015-03-04,14.86
2015-03-03,14.81
2015-03-02,15.03
2015-02-27,15.01
2015-02-26,15.06
2015-02-25,14.58
2015-02-24,14.64
2015-02-23,14.54
2015-02-20,14.54
2015-02-19,14.63
2015-02-18,14.74
2015-02-17,14.66
2015-02-13,14.48
2015-02-12,14.0
2015-02-11,13.9
2015-02-10,13.78
2015-02-09,13.48
2015-02-06,13.69
2015-02-05,13.69
2015-02-04,13.34
2015-02-03,13.36
2015-02-02,13.56
2015-01-30,13.36
2015-01-29,12.69
2015-01-28,12.84
2015-01-27,12.91
2015-01-26,13.31
2015-01-23,13.12
2015-01-22,13.29
2015-01-21,13.05
2015-01-20,13.22
2015-01-16,13.2
2015-01-15,13.09
2015-01-14,13.5
2015-01-13,13.55
2015-01-12,13.09
2015-01-09,13.11
2015-01-08,13.14
2015-01-07,13.09
2015-01-06,13.01
2015-01-05,13.35
2015-01-02,13.36
