QMCO,Date
154.0,1999-08-02
154.5,1999-08-03
153.0,1999-08-04
148.5,1999-08-05
151.0,1999-08-06
150.5,1999-08-09
152.0,1999-08-10
161.0,1999-08-11
164.0,1999-08-12
170.5,1999-08-13
169.5,1999-08-16
171.5,1999-08-17
165.5,1999-08-18
161.0,1999-08-19
164.0,1999-08-20
159.5,1999-08-23
158.0,1999-08-24
158.0,1999-08-25
156.5,1999-08-26
154.5,1999-08-27
143.0,1999-08-30
146.5,1999-08-31
150.0,1999-09-01
153.0,1999-09-02
152.0,1999-09-03
144.0,1999-09-07
146.0,1999-09-08
144.5,1999-09-09
146.0,1999-09-10
148.0,1999-09-13
153.0,1999-09-14
147.5,1999-09-15
148.0,1999-09-16
144.0,1999-09-17
143.5,1999-09-20
138.5,1999-09-21
137.5,1999-09-22
121.0,1999-09-23
115.0,1999-09-24
119.0,1999-09-27
113.0,1999-09-28
111.0,1999-09-29
112.5,1999-09-30
112.5,1999-10-01
113.0,1999-10-04
111.5,1999-10-05
111.5,1999-10-06
107.0,1999-10-07
92.0,1999-10-08
108.5,1999-10-11
113.5,1999-10-12
110.0,1999-10-13
112.0,1999-10-14
112.5,1999-10-15
113.0,1999-10-18
117.0,1999-10-19
119.0,1999-10-20
115.0,1999-10-21
117.5,1999-10-22
115.5,1999-10-25
108.0,1999-10-26
111.0,1999-10-27
118.5,1999-10-28
123.5,1999-10-29
126.0,1999-11-01
124.0,1999-11-02
120.0,1999-11-03
119.0,1999-11-04
113.0,1999-11-05
120.0,1999-11-08
124.0,1999-11-09
124.0,1999-11-10
122.0,1999-11-11
127.0,1999-11-12
130.0,1999-11-15
140.5,1999-11-16
148.5,1999-11-17
142.5,1999-11-18
146.0,1999-11-19
147.0,1999-11-22
141.0,1999-11-23
139.5,1999-11-24
138.5,1999-11-26
136.5,1999-11-29
126.0,1999-11-30
129.5,1999-12-01
130.0,1999-12-02
131.0,1999-12-03
129.0,1999-12-06
125.5,1999-12-07
126.0,1999-12-08
117.0,1999-12-09
118.0,1999-12-10
119.5,1999-12-13
111.5,1999-12-14
110.5,1999-12-15
113.0,1999-12-16
112.0,1999-12-17
108.0,1999-12-20
112.0,1999-12-21
112.0,1999-12-22
114.5,1999-12-23
115.5,1999-12-27
113.5,1999-12-28
112.5,1999-12-29
118.0,1999-12-30
121.0,1999-12-31
125.5,2000-01-03
123.5,2000-01-04
118.0,2000-01-05
107.5,2000-01-06
105.5,2000-01-07
96.0,2000-01-10
70.0,2000-01-11
73.5,2000-01-12
82.5,2000-01-13
84.0,2000-01-14
85.0,2000-01-18
81.5,2000-01-19
82.5,2000-01-20
80.0,2000-01-21
79.5,2000-01-24
76.0,2000-01-25
77.5,2000-01-26
80.0,2000-01-27
76.0,2000-01-28
77.0,2000-01-31
83.0,2000-02-01
80.5,2000-02-02
83.5,2000-02-03
82.5,2000-02-04
83.5,2000-02-07
84.0,2000-02-08
81.5,2000-02-09
83.5,2000-02-10
82.5,2000-02-11
83.0,2000-02-14
79.0,2000-02-15
79.0,2000-02-16
80.0,2000-02-17
77.0,2000-02-18
79.0,2000-02-22
80.5,2000-02-23
77.5,2000-02-24
81.0,2000-02-25
80.0,2000-02-28
83.0,2000-02-29
86.0,2000-03-01
88.5,2000-03-02
90.0,2000-03-03
99.0,2000-03-06
108.0,2000-03-07
97.0,2000-03-08
95.0,2000-03-09
96.5,2000-03-10
95.0,2000-03-13
94.0,2000-03-14
91.0,2000-03-15
95.5,2000-03-16
97.0,2000-03-17
99.0,2000-03-20
97.5,2000-03-21
100.5,2000-03-22
103.0,2000-03-23
101.0,2000-03-24
102.5,2000-03-27
99.0,2000-03-28
96.0,2000-03-29
91.0,2000-03-30
95.5,2000-03-31
89.0,2000-04-03
83.5,2000-04-04
85.5,2000-04-05
88.5,2000-04-06
93.0,2000-04-07
89.5,2000-04-10
84.0,2000-04-11
81.5,2000-04-12
81.0,2000-04-13
76.0,2000-04-14
77.5,2000-04-17
81.5,2000-04-18
80.5,2000-04-19
78.0,2000-04-20
81.0,2000-04-24
90.0,2000-04-25
94.0,2000-04-26
94.5,2000-04-27
93.0,2000-04-28
94.0,2000-05-01
95.5,2000-05-02
92.0,2000-05-03
89.0,2000-05-04
88.0,2000-05-05
90.5,2000-05-08
92.0,2000-05-09
85.0,2000-05-10
87.5,2000-05-11
89.5,2000-05-12
87.0,2000-05-15
92.0,2000-05-16
94.5,2000-05-17
93.0,2000-05-18
88.0,2000-05-19
84.0,2000-05-22
82.5,2000-05-23
81.0,2000-05-24
77.0,2000-05-25
78.0,2000-05-26
86.0,2000-05-30
82.5,2000-05-31
87.5,2000-06-01
88.5,2000-06-02
89.0,2000-06-05
87.5,2000-06-06
85.0,2000-06-07
85.0,2000-06-08
80.0,2000-06-09
81.5,2000-06-12
79.5,2000-06-13
77.5,2000-06-14
76.5,2000-06-15
79.5,2000-06-16
77.5,2000-06-19
79.0,2000-06-20
76.5,2000-06-21
78.0,2000-06-22
75.5,2000-06-23
77.0,2000-06-26
76.0,2000-06-27
76.0,2000-06-28
76.0,2000-06-29
77.5,2000-06-30
77.5,2000-07-03
77.0,2000-07-05
75.5,2000-07-06
80.5,2000-07-07
81.5,2000-07-10
78.0,2000-07-11
82.5,2000-07-12
81.0,2000-07-13
81.5,2000-07-14
83.0,2000-07-17
79.0,2000-07-18
81.5,2000-07-19
85.0,2000-07-20
84.0,2000-07-21
87.5,2000-07-24
90.0,2000-07-25
95.5,2000-07-26
94.0,2000-07-27
89.0,2000-07-28
94.0,2000-07-31
95.5,2000-08-01
92.5,2000-08-02
93.5,2000-08-03
93.5,2000-08-04
95.5,2000-08-07
95.5,2000-08-08
97.5,2000-08-09
97.5,2000-08-10
97.0,2000-08-11
100.0,2000-08-14
98.0,2000-08-15
98.0,2000-08-16
100.0,2000-08-17
102.5,2000-08-18
102.0,2000-08-21
103.0,2000-08-22
105.5,2000-08-23
108.0,2000-08-24
106.0,2000-08-25
106.0,2000-08-28
105.0,2000-08-29
105.5,2000-08-30
108.5,2000-08-31
108.5,2000-09-01
109.0,2000-09-05
113.5,2000-09-06
123.5,2000-09-07
119.0,2000-09-08
