QS,Date
9.899999618530273,2020-08-17
9.859999656677246,2020-08-18
9.819999694824219,2020-08-19
9.880000114440918,2020-08-20
9.793000221252441,2020-08-21
9.800000190734863,2020-08-24
9.8100004196167,2020-08-25
9.829999923706055,2020-08-26
9.850000381469727,2020-08-27
9.885000228881836,2020-08-28
9.899999618530273,2020-08-31
9.949999809265137,2020-09-01
10.0,2020-09-02
18.739999771118164,2020-09-03
22.5,2020-09-04
20.1299991607666,2020-09-08
18.5,2020-09-09
18.25,2020-09-10
17.6299991607666,2020-09-11
18.799999237060547,2020-09-14
18.350000381469727,2020-09-15
18.65999984741211,2020-09-16
17.8799991607666,2020-09-17
17.850000381469727,2020-09-18
18.350000381469727,2020-09-21
18.989999771118164,2020-09-22
16.739999771118164,2020-09-23
16.0,2020-09-24
17.149999618530273,2020-09-25
17.860000610351562,2020-09-28
16.899999618530273,2020-09-29
16.75,2020-09-30
16.649999618530273,2020-10-01
15.930000305175781,2020-10-02
14.949999809265137,2020-10-05
13.699999809265137,2020-10-06
13.720000267028809,2020-10-07
14.100000381469727,2020-10-08
14.75,2020-10-09
15.699999809265137,2020-10-12
15.100000381469727,2020-10-13
14.5,2020-10-14
14.649999618530273,2020-10-15
14.479999542236328,2020-10-16
14.539999961853027,2020-10-19
15.100000381469727,2020-10-20
14.1899995803833,2020-10-21
13.75,2020-10-22
13.869999885559082,2020-10-23
12.920000076293945,2020-10-26
12.399999618530273,2020-10-27
11.59000015258789,2020-10-28
12.0,2020-10-29
11.800000190734863,2020-10-30
12.010000228881836,2020-11-02
13.0,2020-11-03
12.930000305175781,2020-11-04
12.949999809265137,2020-11-05
14.149999618530273,2020-11-06
14.149999618530273,2020-11-09
14.130000114440918,2020-11-10
14.140000343322754,2020-11-11
14.300000190734863,2020-11-12
19.5,2020-11-13
19.670000076293945,2020-11-16
17.200000762939453,2020-11-17
18.110000610351562,2020-11-18
20.0,2020-11-19
20.139999389648438,2020-11-20
22.049999237060547,2020-11-23
21.6299991607666,2020-11-24
23.5,2020-11-25
37.0,2020-11-27
47.0,2020-11-30
35.41999816894531,2020-12-01
37.709999084472656,2020-12-02
38.54999923706055,2020-12-03
42.5,2020-12-04
44.16999816894531,2020-12-07
57.900001525878906,2020-12-08
75.13999938964844,2020-12-09
76.61000061035156,2020-12-10
64.1500015258789,2020-12-11
56.099998474121094,2020-12-14
62.20000076293945,2020-12-15
62.779998779296875,2020-12-16
67.55000305175781,2020-12-17
73.7300033569336,2020-12-18
94.9000015258789,2020-12-21
131.6699981689453,2020-12-22
110.79000091552734,2020-12-23
114.7699966430664,2020-12-24
115.19999694824219,2020-12-28
101.0,2020-12-29
98.29000091552734,2020-12-30
84.44999694824219,2020-12-31
49.959999084472656,2021-01-04
59.5,2021-01-05
63.029998779296875,2021-01-06
62.0,2021-01-07
56.790000915527344,2021-01-08
53.13999938964844,2021-01-11
56.560001373291016,2021-01-12
56.400001525878906,2021-01-13
55.95000076293945,2021-01-14
53.9900016784668,2021-01-15
52.36000061035156,2021-01-19
48.59000015258789,2021-01-20
50.0,2021-01-21
49.68000030517578,2021-01-22
47.630001068115234,2021-01-25
47.27000045776367,2021-01-26
46.5099983215332,2021-01-27
45.560001373291016,2021-01-28
43.75,2021-01-29
42.33000183105469,2021-02-01
42.58000183105469,2021-02-02
46.81999969482422,2021-02-03
47.38999938964844,2021-02-04
44.900001525878906,2021-02-05
44.959999084472656,2021-02-08
46.43000030517578,2021-02-09
44.54999923706055,2021-02-10
44.970001220703125,2021-02-11
54.63999938964844,2021-02-12
50.63999938964844,2021-02-16
66.5199966430664,2021-02-17
64.0,2021-02-18
62.2599983215332,2021-02-19
64.76000213623047,2021-02-22
55.459999084472656,2021-02-23
59.61000061035156,2021-02-24
57.58000183105469,2021-02-25
54.93000030517578,2021-02-26
57.689998626708984,2021-03-01
54.88999938964844,2021-03-02
48.41999816894531,2021-03-03
43.900001525878906,2021-03-04
44.38999938964844,2021-03-05
46.869998931884766,2021-03-08
53.18000030517578,2021-03-09
52.31999969482422,2021-03-10
58.20000076293945,2021-03-11
58.310001373291016,2021-03-12
62.25,2021-03-15
57.029998779296875,2021-03-16
59.880001068115234,2021-03-17
56.970001220703125,2021-03-18
59.34000015258789,2021-03-19
64.29000091552734,2021-03-22
57.459999084472656,2021-03-23
47.83000183105469,2021-03-24
45.9900016784668,2021-03-25
44.369998931884766,2021-03-26
42.400001525878906,2021-03-29
44.06999969482422,2021-03-30
44.75,2021-03-31
49.29999923706055,2021-04-01
49.369998931884766,2021-04-05
49.380001068115234,2021-04-06
47.38999938964844,2021-04-07
47.5,2021-04-08
45.77000045776367,2021-04-09
41.849998474121094,2021-04-12
42.25,2021-04-13
40.849998474121094,2021-04-14
35.849998474121094,2021-04-15
35.52000045776367,2021-04-16
31.6200008392334,2021-04-19
30.950000762939453,2021-04-20
33.5,2021-04-21
34.150001525878906,2021-04-22
36.0,2021-04-23
38.90999984741211,2021-04-26
37.560001373291016,2021-04-27
37.81999969482422,2021-04-28
36.88999938964844,2021-04-29
36.540000915527344,2021-04-30
35.2599983215332,2021-05-03
34.709999084472656,2021-05-04
32.880001068115234,2021-05-05
30.979999542236328,2021-05-06
31.020000457763672,2021-05-07
28.459999084472656,2021-05-10
29.479999542236328,2021-05-11
27.299999237060547,2021-05-12
26.549999237060547,2021-05-13
27.290000915527344,2021-05-14
27.68000030517578,2021-05-17
30.56999969482422,2021-05-18
28.450000762939453,2021-05-19
27.5,2021-05-20
26.850000381469727,2021-05-21
25.1299991607666,2021-05-24
24.059999465942383,2021-05-25
26.920000076293945,2021-05-26
26.25,2021-05-27
25.889999389648438,2021-05-28
26.459999084472656,2021-06-01
28.799999237060547,2021-06-02
28.420000076293945,2021-06-03
28.56999969482422,2021-06-04
30.329999923706055,2021-06-07
30.59000015258789,2021-06-08
31.040000915527344,2021-06-09
27.639999389648438,2021-06-10
27.899999618530273,2021-06-11
26.68000030517578,2021-06-14
27.110000610351562,2021-06-15
27.360000610351562,2021-06-16
27.399999618530273,2021-06-17
26.959999084472656,2021-06-18
26.3799991607666,2021-06-21
27.360000610351562,2021-06-22
28.649999618530273,2021-06-23
28.459999084472656,2021-06-24
28.959999084472656,2021-06-25
30.860000610351562,2021-06-28
30.350000381469727,2021-06-29
29.260000228881836,2021-06-30
27.68000030517578,2021-07-01
26.700000762939453,2021-07-02
26.459999084472656,2021-07-06
25.030000686645508,2021-07-07
24.81999969482422,2021-07-08
25.079999923706055,2021-07-09
24.25,2021-07-12
23.260000228881836,2021-07-13
23.200000762939453,2021-07-14
23.68000030517578,2021-07-15
22.860000610351562,2021-07-16
23.030000686645508,2021-07-19
23.56999969482422,2021-07-20
24.229999542236328,2021-07-21
23.420000076293945,2021-07-22
22.440000534057617,2021-07-23
22.579999923706055,2021-07-26
21.40999984741211,2021-07-27
24.200000762939453,2021-07-28
22.639999389648438,2021-07-29
22.90999984741211,2021-07-30
23.079999923706055,2021-08-02
21.799999237060547,2021-08-03
21.969999313354492,2021-08-04
21.90999984741211,2021-08-05
22.030000686645508,2021-08-06
24.010000228881836,2021-08-09
24.100000381469727,2021-08-10
22.75,2021-08-11
22.520000457763672,2021-08-12
21.739999771118164,2021-08-13
20.65999984741211,2021-08-16
20.229999542236328,2021-08-17
20.299999237060547,2021-08-18
19.299999237060547,2021-08-19
19.610000610351562,2021-08-20
20.59000015258789,2021-08-23
21.299999237060547,2021-08-24
21.25,2021-08-25
21.270000457763672,2021-08-26
21.479999542236328,2021-08-27
21.399999618530273,2021-08-30
22.0,2021-08-31
22.200000762939453,2021-09-01
22.459999084472656,2021-09-02
22.450000762939453,2021-09-03
22.18000030517578,2021-09-07
20.739999771118164,2021-09-08
21.389999389648438,2021-09-09
21.079999923706055,2021-09-10
21.149999618530273,2021-09-13
20.860000610351562,2021-09-14
20.610000610351562,2021-09-15
21.34000015258789,2021-09-16
21.799999237060547,2021-09-17
20.790000915527344,2021-09-20
24.1200008392334,2021-09-21
23.610000610351562,2021-09-22
27.049999237060547,2021-09-23
27.0,2021-09-24
26.81999969482422,2021-09-27
25.270000457763672,2021-09-28
25.459999084472656,2021-09-29
24.540000915527344,2021-09-30
24.510000228881836,2021-10-01
22.959999084472656,2021-10-04
22.6200008392334,2021-10-05
22.479999542236328,2021-10-06
22.81999969482422,2021-10-07
23.260000228881836,2021-10-08
23.209999084472656,2021-10-11
24.389999389648438,2021-10-12
24.299999237060547,2021-10-13
24.610000610351562,2021-10-14
24.110000610351562,2021-10-15
24.68000030517578,2021-10-18
25.329999923706055,2021-10-19
25.139999389648438,2021-10-20
24.90999984741211,2021-10-21
23.100000381469727,2021-10-22
25.530000686645508,2021-10-25
25.6299991607666,2021-10-26
23.440000534057617,2021-10-27
25.399999618530273,2021-10-28
28.940000534057617,2021-10-29
29.770000457763672,2021-11-01
29.110000610351562,2021-11-02
31.639999389648438,2021-11-03
31.559999465942383,2021-11-04
31.020000457763672,2021-11-05
37.630001068115234,2021-11-08
36.7400016784668,2021-11-09
34.189998626708984,2021-11-10
39.70000076293945,2021-11-11
38.810001373291016,2021-11-12
40.58000183105469,2021-11-15
36.90999984741211,2021-11-16
35.779998779296875,2021-11-17
33.86000061035156,2021-11-18
34.65999984741211,2021-11-19
33.619998931884766,2021-11-22
32.369998931884766,2021-11-23
32.20000076293945,2021-11-24
30.639999389648438,2021-11-26
30.31999969482422,2021-11-29
28.84000015258789,2021-11-30
27.309999465942383,2021-12-01
27.350000381469727,2021-12-02
24.549999237060547,2021-12-03
24.81999969482422,2021-12-06
26.209999084472656,2021-12-07
26.239999771118164,2021-12-08
24.329999923706055,2021-12-09
23.899999618530273,2021-12-10
23.3700008392334,2021-12-13
23.670000076293945,2021-12-14
23.979999542236328,2021-12-15
23.040000915527344,2021-12-16
23.780000686645508,2021-12-17
22.649999618530273,2021-12-20
23.649999618530273,2021-12-21
24.239999771118164,2021-12-22
24.56999969482422,2021-12-23
23.969999313354492,2021-12-27
22.899999618530273,2021-12-28
22.030000686645508,2021-12-29
23.149999618530273,2021-12-30
22.190000534057617,2021-12-31
23.219999313354492,2022-01-03
22.969999313354492,2022-01-04
21.510000228881836,2022-01-05
20.75,2022-01-06
21.010000228881836,2022-01-07
20.229999542236328,2022-01-10
21.299999237060547,2022-01-11
20.940000534057617,2022-01-12
20.59000015258789,2022-01-13
20.68000030517578,2022-01-14
19.5,2022-01-18
17.920000076293945,2022-01-19
17.299999237060547,2022-01-20
15.720000267028809,2022-01-21
15.890000343322754,2022-01-24
15.3100004196167,2022-01-25
15.479999542236328,2022-01-26
14.109999656677246,2022-01-27
14.420000076293945,2022-01-28
16.690000534057617,2022-01-31
17.540000915527344,2022-02-01
16.700000762939453,2022-02-02
15.989999771118164,2022-02-03
16.420000076293945,2022-02-04
16.3799991607666,2022-02-07
16.649999618530273,2022-02-08
17.399999618530273,2022-02-09
16.709999084472656,2022-02-10
15.869999885559082,2022-02-11
15.819999694824219,2022-02-14
17.510000228881836,2022-02-15
16.989999771118164,2022-02-16
16.15999984741211,2022-02-17
15.609999656677246,2022-02-18
14.770000457763672,2022-02-22
14.109999656677246,2022-02-23
15.369999885559082,2022-02-24
15.350000381469727,2022-02-25
16.139999389648438,2022-02-28
16.3700008392334,2022-03-01
15.789999961853027,2022-03-02
15.220000267028809,2022-03-03
14.289999961853027,2022-03-04
14.279999732971191,2022-03-07
14.84000015258789,2022-03-08
16.010000228881836,2022-03-09
15.850000381469727,2022-03-10
14.899999618530273,2022-03-11
13.899999618530273,2022-03-14
14.350000381469727,2022-03-15
15.6899995803833,2022-03-16
16.520000457763672,2022-03-17
17.06999969482422,2022-03-18
16.889999389648438,2022-03-21
17.56999969482422,2022-03-22
17.3700008392334,2022-03-23
17.770000457763672,2022-03-24
17.290000915527344,2022-03-25
18.479999542236328,2022-03-28
20.350000381469727,2022-03-29
20.15999984741211,2022-03-30
19.989999771118164,2022-03-31
20.25,2022-04-01
21.579999923706055,2022-04-04
20.139999389648438,2022-04-05
19.290000915527344,2022-04-06
18.760000228881836,2022-04-07
17.950000762939453,2022-04-08
17.959999084472656,2022-04-11
17.770000457763672,2022-04-12
18.479999542236328,2022-04-13
18.209999084472656,2022-04-14
17.170000076293945,2022-04-18
17.950000762939453,2022-04-19
17.100000381469727,2022-04-20
16.010000228881836,2022-04-21
15.619999885559082,2022-04-22
15.670000076293945,2022-04-25
14.380000114440918,2022-04-26
14.789999961853027,2022-04-27
15.40999984741211,2022-04-28
14.9399995803833,2022-04-29
15.920000076293945,2022-05-02
15.850000381469727,2022-05-03
16.5,2022-05-04
15.149999618530273,2022-05-05
14.600000381469727,2022-05-06
12.710000038146973,2022-05-09
12.039999961853027,2022-05-10
10.369999885559082,2022-05-11
11.020000457763672,2022-05-12
12.359999656677246,2022-05-13
11.470000267028809,2022-05-16
12.119999885559082,2022-05-17
11.430000305175781,2022-05-18
12.300000190734863,2022-05-19
12.100000381469727,2022-05-20
11.800000190734863,2022-05-23
10.819999694824219,2022-05-24
11.180000305175781,2022-05-25
12.1899995803833,2022-05-26
13.3100004196167,2022-05-27
12.789999961853027,2022-05-31
11.989999771118164,2022-06-01
12.239999771118164,2022-06-02
11.760000228881836,2022-06-03
12.0600004196167,2022-06-06
11.960000038146973,2022-06-07
11.649999618530273,2022-06-08
11.0,2022-06-09
10.149999618530273,2022-06-10
8.84000015258789,2022-06-13
8.760000228881836,2022-06-14
9.210000038146973,2022-06-15
8.390000343322754,2022-06-16
8.869999885559082,2022-06-17
9.079999923706055,2022-06-21
9.109999656677246,2022-06-22
9.470000267028809,2022-06-23
9.770000457763672,2022-06-24
9.5600004196167,2022-06-27
9.039999961853027,2022-06-28
8.8100004196167,2022-06-29
8.59000015258789,2022-06-30
8.670000076293945,2022-07-01
9.329999923706055,2022-07-05
9.149999618530273,2022-07-06
9.899999618530273,2022-07-07
9.970000267028809,2022-07-08
9.270000457763672,2022-07-11
9.420000076293945,2022-07-12
9.710000038146973,2022-07-13
9.710000038146973,2022-07-14
10.029999732971191,2022-07-15
10.239999771118164,2022-07-18
10.619999885559082,2022-07-19
11.369999885559082,2022-07-20
12.050000190734863,2022-07-21
11.039999961853027,2022-07-22
10.84000015258789,2022-07-25
10.100000381469727,2022-07-26
10.4399995803833,2022-07-27
10.579999923706055,2022-07-28
10.819999694824219,2022-07-29
10.430000305175781,2022-08-01
11.180000305175781,2022-08-02
12.109999656677246,2022-08-03
12.3100004196167,2022-08-04
12.279999732971191,2022-08-05
12.479999542236328,2022-08-08
11.720000267028809,2022-08-09
12.670000076293945,2022-08-10
12.619999885559082,2022-08-11
13.630000114440918,2022-08-12
13.180000305175781,2022-08-15
12.710000038146973,2022-08-16
11.979999542236328,2022-08-17
11.920000076293945,2022-08-18
11.359999656677246,2022-08-19
10.680000305175781,2022-08-22
10.529999732971191,2022-08-23
11.25,2022-08-24
11.600000381469727,2022-08-25
10.979999542236328,2022-08-26
10.84000015258789,2022-08-29
10.720000267028809,2022-08-30
11.029999732971191,2022-08-31
10.510000228881836,2022-09-01
10.010000228881836,2022-09-02
9.720000267028809,2022-09-06
10.460000038146973,2022-09-07
10.4399995803833,2022-09-08
10.90999984741211,2022-09-09
11.520000457763672,2022-09-12
11.109999656677246,2022-09-13
11.460000038146973,2022-09-14
11.890000343322754,2022-09-15
11.3100004196167,2022-09-16
11.210000038146973,2022-09-19
10.180000305175781,2022-09-20
9.829999923706055,2022-09-21
9.119999885559082,2022-09-22
9.050000190734863,2022-09-23
9.010000228881836,2022-09-26
9.109999656677246,2022-09-27
9.229999542236328,2022-09-28
8.359999656677246,2022-09-29
8.40999984741211,2022-09-30
9.09000015258789,2022-10-03
9.630000114440918,2022-10-04
9.25,2022-10-05
9.149999618530273,2022-10-06
8.430000305175781,2022-10-07
8.0,2022-10-10
8.069999694824219,2022-10-11
8.180000305175781,2022-10-12
8.270000457763672,2022-10-13
7.71999979019165,2022-10-14
8.140000343322754,2022-10-17
8.329999923706055,2022-10-18
7.920000076293945,2022-10-19
7.820000171661377,2022-10-20
8.100000381469727,2022-10-21
8.079999923706055,2022-10-24
9.0600004196167,2022-10-25
8.6899995803833,2022-10-26
8.09000015258789,2022-10-27
8.1899995803833,2022-10-28
8.329999923706055,2022-10-31
8.279999732971191,2022-11-01
8.020000457763672,2022-11-02
8.109999656677246,2022-11-03
8.09000015258789,2022-11-04
7.809999942779541,2022-11-07
7.929999828338623,2022-11-08
6.739999771118164,2022-11-09
7.230000019073486,2022-11-10
7.510000228881836,2022-11-11
7.610000133514404,2022-11-14
8.109999656677246,2022-11-15
7.420000076293945,2022-11-16
7.150000095367432,2022-11-17
7.21999979019165,2022-11-18
6.860000133514404,2022-11-21
6.829999923706055,2022-11-22
7.090000152587891,2022-11-23
7.03000020980835,2022-11-25
6.630000114440918,2022-11-28
6.760000228881836,2022-11-29
7.489999771118164,2022-11-30
7.440000057220459,2022-12-01
7.550000190734863,2022-12-02
7.369999885559082,2022-12-05
6.900000095367432,2022-12-06
6.840000152587891,2022-12-07
6.960000038146973,2022-12-08
7.110000133514404,2022-12-09
7.039999961853027,2022-12-12
7.090000152587891,2022-12-13
6.690000057220459,2022-12-14
6.440000057220459,2022-12-15
6.190000057220459,2022-12-16
5.849999904632568,2022-12-19
