Date,RFMD
2014-12-31,16.59
2014-12-30,16.94
2014-12-29,16.7
2014-12-26,16.73
2014-12-24,16.59
2014-12-23,16.3
2014-12-22,16.51
2014-12-19,15.96
2014-12-18,15.99
2014-12-17,15.61
2014-12-16,14.95
2014-12-15,14.93
2014-12-12,15.5
2014-12-11,15.79
2014-12-10,15.33
2014-12-09,15.43
2014-12-08,15.32
2014-12-05,15.62
2014-12-04,15.53
2014-12-03,15.01
2014-12-02,14.67
2014-12-01,14.32
2014-11-28,14.61
2014-11-26,14.89
2014-11-25,14.74
2014-11-24,14.75
2014-11-21,14.24
2014-11-20,14.23
2014-11-19,13.89
2014-11-18,13.75
2014-11-17,13.35
2014-11-14,13.57
2014-11-13,13.33
2014-11-12,13.25
2014-11-11,13.35
2014-11-10,13.34
2014-11-07,13.23
2014-11-06,13.76
2014-11-05,13.74
2014-11-04,13.35
2014-11-03,13.39
2014-10-31,13.01
2014-10-30,12.07
2014-10-29,12.05
2014-10-28,11.05
2014-10-27,10.69
2014-10-24,10.62
2014-10-23,10.54
2014-10-22,10.29
2014-10-21,10.75
2014-10-20,10.44
2014-10-17,10.23
2014-10-16,9.89
2014-10-15,9.7
2014-10-14,9.5
2014-10-13,9.16
2014-10-10,9.62
2014-10-09,10.34
2014-10-08,11.01
2014-10-07,10.37
2014-10-06,10.89
2014-10-03,11.27
2014-10-02,11.03
2014-10-01,10.91
2014-09-30,11.54
2014-09-29,11.75
2014-09-26,11.88
2014-09-25,11.77
2014-09-24,12.13
2014-09-23,11.73
2014-09-22,11.61
2014-09-19,11.84
2014-09-18,12.17
2014-09-17,11.71
2014-09-16,11.93
2014-09-15,11.69
2014-09-12,12.14
2014-09-11,12.29
2014-09-10,12.36
2014-09-09,12.04
2014-09-08,12.21
2014-09-05,12.31
2014-09-04,12.1
2014-09-03,12.28
2014-09-02,12.78
2014-08-29,12.47
2014-08-28,11.76
2014-08-27,11.49
2014-08-26,11.44
2014-08-25,11.67
2014-08-22,11.81
2014-08-21,11.99
2014-08-20,11.97
2014-08-19,12.02
2014-08-18,11.78
2014-08-15,11.54
2014-08-14,11.41
2014-08-13,11.58
2014-08-12,11.29
2014-08-11,11.36
2014-08-08,11.19
2014-08-07,10.96
2014-08-06,11.34
2014-08-05,11.22
2014-08-04,11.47
2014-08-01,11.39
2014-07-31,11.16
2014-07-30,11.77
2014-07-29,11.38
2014-07-28,10.92
2014-07-25,10.89
2014-07-24,10.53
2014-07-23,10.42
2014-07-22,10.72
2014-07-21,10.79
2014-07-18,10.27
2014-07-17,9.65
2014-07-16,9.89
2014-07-15,9.84
2014-07-14,9.8
2014-07-11,9.63
2014-07-10,9.52
2014-07-09,9.65
2014-07-08,9.53
2014-07-07,9.69
2014-07-03,9.88
2014-07-02,9.76
2014-07-01,9.88
2014-06-30,9.59
2014-06-27,9.36
2014-06-26,9.48
2014-06-25,9.45
2014-06-24,9.34
2014-06-23,9.61
2014-06-20,9.73
2014-06-19,9.71
2014-06-18,9.85
2014-06-17,10.13
2014-06-16,9.83
2014-06-13,9.9
2014-06-12,9.73
2014-06-11,9.83
2014-06-10,9.77
2014-06-09,9.75
2014-06-06,9.6
2014-06-05,9.65
2014-06-04,9.74
2014-06-03,9.46
2014-06-02,9.4
2014-05-30,9.41
2014-05-29,9.45
2014-05-28,9.71
2014-05-27,9.7
2014-05-23,9.45
2014-05-22,9.26
2014-05-21,8.98
2014-05-20,8.92
2014-05-19,9.04
2014-05-16,8.79
2014-05-15,8.73
2014-05-14,8.74
2014-05-13,8.87
2014-05-12,9.03
2014-05-09,8.78
2014-05-08,8.74
2014-05-07,8.9
2014-05-06,8.77
2014-05-05,8.69
2014-05-02,8.65
2014-05-01,8.55
2014-04-30,8.44
2014-04-29,8.09
2014-04-28,8.11
2014-04-25,7.99
2014-04-24,8.54
2014-04-23,7.95
2014-04-22,7.95
2014-04-21,7.87
2014-04-17,7.87
2014-04-16,7.95
2014-04-15,7.93
2014-04-14,7.78
2014-04-11,7.75
2014-04-10,7.84
2014-04-09,8.22
2014-04-08,8.08
2014-04-07,7.7
2014-04-04,7.5
2014-04-03,8.01
2014-04-02,8.07
2014-04-01,8.03
2014-03-31,7.88
2014-03-28,7.7
2014-03-27,7.69
2014-03-26,7.57
2014-03-25,7.78
2014-03-24,7.68
2014-03-21,7.67
2014-03-20,7.93
2014-03-19,7.7
2014-03-18,7.76
2014-03-17,7.6
2014-03-14,7.66
2014-03-13,7.5
2014-03-12,7.31
2014-03-11,7.23
2014-03-10,7.23
2014-03-07,7.35
2014-03-06,7.5
2014-03-05,7.52
2014-03-04,7.33
2014-03-03,7.09
2014-02-28,7.08
2014-02-27,7.0
2014-02-26,7.01
2014-02-25,6.66
2014-02-24,7.03
2014-02-21,5.81
2014-02-20,5.96
2014-02-19,5.93
2014-02-18,5.93
2014-02-14,5.88
2014-02-13,5.91
2014-02-12,5.83
2014-02-11,5.67
2014-02-10,5.59
2014-02-07,5.57
2014-02-06,5.5
2014-02-05,5.41
2014-02-04,5.4
2014-02-03,5.16
2014-01-31,5.33
2014-01-30,5.27
2014-01-29,5.35
2014-01-28,4.89
2014-01-27,4.9
2014-01-24,4.62
2014-01-23,4.68
2014-01-22,4.76
2014-01-21,4.81
2014-01-17,4.98
2014-01-16,4.84
2014-01-15,4.94
2014-01-14,4.89
2014-01-13,4.82
2014-01-10,4.51
2014-01-09,4.55
2014-01-08,4.76
2014-01-07,4.84
2014-01-06,4.85
2014-01-03,4.85
2014-01-02,4.85
2013-12-31,5.16
2013-12-30,5.2
2013-12-27,5.16
2013-12-26,5.17
2013-12-24,5.26
2013-12-23,5.17
2013-12-20,4.95
2013-12-19,4.87
2013-12-18,5.03
2013-12-17,5.04
2013-12-16,5.04
2013-12-13,5.04
2013-12-12,5.03
2013-12-11,5.11
2013-12-10,5.25
2013-12-09,5.37
2013-12-06,5.22
2013-12-05,5.31
2013-12-04,5.26
2013-12-03,5.21
2013-12-02,5.27
2013-11-29,5.28
2013-11-27,5.23
2013-11-26,5.14
2013-11-25,5.17
2013-11-22,5.12
2013-11-21,5.09
2013-11-20,4.93
2013-11-19,4.92
2013-11-18,5.01
2013-11-15,5.13
2013-11-14,5.13
2013-11-13,5.14
2013-11-12,5.1
2013-11-11,5.01
2013-11-08,5.08
2013-11-07,5.05
2013-11-06,5.22
2013-11-05,5.21
2013-11-04,5.27
2013-11-01,5.3
2013-10-31,5.25
2013-10-30,5.2
2013-10-29,5.33
2013-10-28,5.25
2013-10-25,5.31
2013-10-24,5.37
2013-10-23,5.63
2013-10-22,6.16
2013-10-21,6.1
2013-10-18,6.05
2013-10-17,5.92
2013-10-16,6.01
2013-10-15,6.0
2013-10-14,6.07
2013-10-11,5.97
2013-10-10,5.97
2013-10-09,5.89
2013-10-08,5.88
2013-10-07,5.88
2013-10-04,5.96
2013-10-03,5.79
2013-10-02,5.79
2013-10-01,5.75
2013-09-30,5.64
2013-09-27,5.71
2013-09-26,5.76
2013-09-25,5.77
2013-09-24,5.77
2013-09-23,5.79
2013-09-20,5.49
2013-09-19,5.46
2013-09-18,5.46
2013-09-17,5.45
2013-09-16,5.34
2013-09-13,5.34
2013-09-12,5.37
2013-09-11,5.49
2013-09-10,5.48
2013-09-09,5.38
2013-09-06,5.37
2013-09-05,5.27
2013-09-04,5.12
2013-09-03,4.93
2013-08-30,4.96
2013-08-29,5.1
2013-08-28,5.04
2013-08-27,4.92
2013-08-26,5.07
2013-08-23,5.02
2013-08-22,4.99
2013-08-21,4.9
2013-08-20,4.86
2013-08-19,4.74
2013-08-16,4.81
2013-08-15,4.83
2013-08-14,4.92
2013-08-13,4.96
2013-08-12,4.95
2013-08-09,4.78
2013-08-08,4.83
2013-08-07,4.9
2013-08-06,5.07
2013-08-05,5.15
2013-08-02,5.15
2013-08-01,5.24
2013-07-31,5.18
2013-07-30,5.29
2013-07-29,5.28
2013-07-26,5.51
2013-07-25,5.63
2013-07-24,5.58
2013-07-23,5.44
2013-07-22,5.4
2013-07-19,5.37
2013-07-18,5.2
2013-07-17,5.34
2013-07-16,5.34
2013-07-15,5.35
2013-07-12,5.33
2013-07-11,5.28
2013-07-10,5.25
2013-07-09,5.27
2013-07-08,5.3
2013-07-05,5.37
2013-07-03,5.38
2013-07-02,5.36
2013-07-01,5.36
2013-06-28,5.34
2013-06-27,5.23
2013-06-26,5.19
2013-06-25,5.24
2013-06-24,5.14
2013-06-21,5.32
2013-06-20,5.32
2013-06-19,5.46
2013-06-18,5.5
2013-06-17,5.38
2013-06-14,5.31
2013-06-13,5.25
2013-06-12,5.0
2013-06-11,5.11
2013-06-10,5.28
2013-06-07,5.09
2013-06-06,5.2
2013-06-05,5.24
2013-06-04,5.3
2013-06-03,5.4
2013-05-31,5.51
2013-05-30,5.47
2013-05-29,5.13
2013-05-28,5.27
2013-05-24,5.36
2013-05-23,5.45
2013-05-22,5.45
2013-05-21,5.61
2013-05-20,5.67
2013-05-17,5.55
2013-05-16,5.56
2013-05-15,5.67
2013-05-14,5.71
2013-05-13,5.67
2013-05-10,5.71
2013-05-09,5.63
2013-05-08,5.6
2013-05-07,5.5
2013-05-06,5.64
2013-05-03,5.6
2013-05-02,5.44
2013-05-01,5.34
2013-04-30,5.61
2013-04-29,5.57
2013-04-26,5.41
