SGEN,Date
8.5,2001-03-09
7.75,2001-03-12
7.6875,2001-03-13
7.25,2001-03-14
6.625,2001-03-15
7.0625,2001-03-16
7.125,2001-03-19
7.0625,2001-03-20
7.0,2001-03-21
7.0,2001-03-22
6.6875,2001-03-23
6.90625,2001-03-26
6.5625,2001-03-27
6.1875,2001-03-28
5.4375,2001-03-29
5.0,2001-03-30
5.5,2001-04-02
5.1875,2001-04-03
4.875,2001-04-04
5.59375,2001-04-05
6.5,2001-04-06
6.699999809265137,2001-04-09
6.400000095367432,2001-04-10
6.519999980926514,2001-04-11
6.579999923706055,2001-04-12
6.059999942779541,2001-04-16
6.099999904632568,2001-04-17
6.820000171661377,2001-04-18
6.800000190734863,2001-04-19
6.949999809265137,2001-04-20
6.949999809265137,2001-04-23
6.849999904632568,2001-04-24
6.75,2001-04-25
6.650000095367432,2001-04-26
8.239999771118164,2001-04-27
8.050000190734863,2001-04-30
8.079999923706055,2001-05-01
8.25,2001-05-02
8.100000381469727,2001-05-03
9.199999809265137,2001-05-04
10.380000114440918,2001-05-07
10.350000381469727,2001-05-08
10.020000457763672,2001-05-09
9.90999984741211,2001-05-10
9.930000305175781,2001-05-11
8.819999694824219,2001-05-14
8.100000381469727,2001-05-15
9.390000343322754,2001-05-16
8.970000267028809,2001-05-17
8.25,2001-05-18
8.430000305175781,2001-05-21
8.899999618530273,2001-05-22
9.149999618530273,2001-05-23
9.180000305175781,2001-05-24
8.779999732971191,2001-05-25
8.75,2001-05-29
8.6899995803833,2001-05-30
9.0,2001-05-31
8.710000038146973,2001-06-01
9.0,2001-06-04
9.25,2001-06-05
8.920000076293945,2001-06-06
8.75,2001-06-07
8.520000457763672,2001-06-08
7.550000190734863,2001-06-11
6.940000057220459,2001-06-12
7.079999923706055,2001-06-13
6.579999923706055,2001-06-14
6.800000190734863,2001-06-15
6.699999809265137,2001-06-18
6.460000038146973,2001-06-19
6.260000228881836,2001-06-20
6.849999904632568,2001-06-21
6.5,2001-06-22
6.699999809265137,2001-06-25
6.659999847412109,2001-06-26
6.739999771118164,2001-06-27
6.550000190734863,2001-06-28
6.099999904632568,2001-06-29
6.329999923706055,2001-07-02
6.440000057220459,2001-07-03
6.550000190734863,2001-07-05
6.5,2001-07-06
6.71999979019165,2001-07-09
6.440000057220459,2001-07-10
6.5,2001-07-11
6.5,2001-07-12
6.5,2001-07-13
6.28000020980835,2001-07-16
6.099999904632568,2001-07-17
6.150000095367432,2001-07-18
6.179999828338623,2001-07-19
6.400000095367432,2001-07-20
6.46999979019165,2001-07-23
6.400000095367432,2001-07-24
6.679999828338623,2001-07-25
6.730000019073486,2001-07-26
6.440000057220459,2001-07-27
6.5,2001-07-30
6.5,2001-07-31
6.409999847412109,2001-08-01
6.349999904632568,2001-08-02
6.25,2001-08-03
5.849999904632568,2001-08-06
6.010000228881836,2001-08-07
5.579999923706055,2001-08-08
5.53000020980835,2001-08-09
5.610000133514404,2001-08-10
5.0,2001-08-13
5.619999885559082,2001-08-14
5.5,2001-08-15
5.5,2001-08-16
5.340000152587891,2001-08-17
