SRCL,Date
2.3125,1996-08-23
2.3125,1996-08-26
2.46875,1996-08-27
2.5625,1996-08-28
2.5,1996-08-29
2.4375,1996-08-30
2.28125,1996-09-03
2.375,1996-09-04
2.28125,1996-09-05
2.25,1996-09-06
2.375,1996-09-09
2.3125,1996-09-10
2.34375,1996-09-11
2.34375,1996-09-12
2.34375,1996-09-13
2.34375,1996-09-16
2.3125,1996-09-17
2.25,1996-09-18
2.1875,1996-09-19
2.28125,1996-09-20
2.21875,1996-09-23
2.1875,1996-09-24
2.34375,1996-09-25
2.375,1996-09-26
2.34375,1996-09-27
2.28125,1996-09-30
2.1875,1996-10-01
2.28125,1996-10-02
2.28125,1996-10-03
2.21875,1996-10-04
2.21875,1996-10-07
2.1875,1996-10-08
2.09375,1996-10-09
2.125,1996-10-10
2.0625,1996-10-11
2.09375,1996-10-14
2.125,1996-10-15
2.0,1996-10-16
1.90625,1996-10-17
2.0625,1996-10-18
2.03125,1996-10-21
1.96875,1996-10-22
2.0625,1996-10-23
1.9375,1996-10-24
2.0,1996-10-25
1.96875,1996-10-28
1.96875,1996-10-29
1.96875,1996-10-30
1.84375,1996-10-31
1.90625,1996-11-01
1.9375,1996-11-04
1.9375,1996-11-05
1.9375,1996-11-06
2.125,1996-11-07
2.0625,1996-11-08
2.125,1996-11-11
2.125,1996-11-12
2.09375,1996-11-13
2.09375,1996-11-14
2.0625,1996-11-15
2.125,1996-11-18
1.9375,1996-11-19
2.0,1996-11-20
1.90625,1996-11-21
1.921875,1996-11-22
2.0,1996-11-25
2.0,1996-11-26
1.9375,1996-11-27
1.96875,1996-11-29
1.90625,1996-12-02
1.9375,1996-12-03
2.0,1996-12-04
1.9375,1996-12-05
1.9375,1996-12-06
1.84375,1996-12-09
1.9375,1996-12-10
1.765625,1996-12-11
1.875,1996-12-12
1.75,1996-12-13
1.78125,1996-12-16
1.875,1996-12-17
1.875,1996-12-18
1.9375,1996-12-19
1.9375,1996-12-20
2.3125,1996-12-23
2.1875,1996-12-24
2.3125,1996-12-26
2.3125,1996-12-27
2.28125,1996-12-30
2.875,1996-12-31
2.5625,1997-01-02
2.53125,1997-01-03
2.5,1997-01-06
2.5,1997-01-07
2.5625,1997-01-08
2.5625,1997-01-09
2.5,1997-01-10
2.46875,1997-01-13
2.6875,1997-01-14
2.78125,1997-01-15
2.71875,1997-01-16
2.71875,1997-01-17
2.6875,1997-01-20
2.6875,1997-01-21
2.6875,1997-01-22
2.75,1997-01-23
2.53125,1997-01-24
2.5625,1997-01-27
2.5625,1997-01-28
2.6875,1997-01-29
2.75,1997-01-30
2.6875,1997-01-31
2.625,1997-02-03
2.6875,1997-02-04
2.625,1997-02-05
2.5625,1997-02-06
2.59375,1997-02-07
2.5625,1997-02-10
2.5,1997-02-11
2.625,1997-02-12
2.5,1997-02-13
2.625,1997-02-14
2.5,1997-02-18
2.3125,1997-02-19
2.25,1997-02-20
2.375,1997-02-21
2.25,1997-02-24
2.25,1997-02-25
2.28125,1997-02-26
2.25,1997-02-27
2.34375,1997-02-28
2.25,1997-03-03
2.21875,1997-03-04
2.1875,1997-03-05
2.21875,1997-03-06
2.25,1997-03-07
2.1875,1997-03-10
2.21875,1997-03-11
2.28125,1997-03-12
2.28125,1997-03-13
2.28125,1997-03-14
2.28125,1997-03-17
2.21875,1997-03-18
2.25,1997-03-19
2.1875,1997-03-20
2.125,1997-03-21
2.125,1997-03-24
2.125,1997-03-25
2.0625,1997-03-26
2.0,1997-03-27
2.0,1997-03-31
2.0,1997-04-01
2.0,1997-04-02
2.125,1997-04-03
2.125,1997-04-04
2.0,1997-04-07
2.0,1997-04-08
2.0,1997-04-09
2.0,1997-04-10
1.9375,1997-04-11
1.875,1997-04-14
1.9375,1997-04-15
1.875,1997-04-16
1.9375,1997-04-17
1.9375,1997-04-18
1.8125,1997-04-21
1.8125,1997-04-22
1.8125,1997-04-23
1.875,1997-04-24
1.875,1997-04-25
1.875,1997-04-28
2.0625,1997-04-29
2.125,1997-04-30
2.25,1997-05-01
2.3125,1997-05-02
2.25,1997-05-05
2.25,1997-05-06
2.0625,1997-05-07
2.03125,1997-05-08
2.0625,1997-05-09
1.9375,1997-05-12
2.0625,1997-05-13
2.0,1997-05-14
2.0625,1997-05-15
2.0625,1997-05-16
2.03125,1997-05-19
2.03125,1997-05-20
2.03125,1997-05-21
2.03125,1997-05-22
2.0,1997-05-23
2.0,1997-05-27
2.09375,1997-05-28
2.0,1997-05-29
2.09375,1997-05-30
2.0625,1997-06-02
2.0625,1997-06-03
2.125,1997-06-04
2.125,1997-06-05
