Date,TFCF
2019-03-19,49.61
2019-03-18,51.04
2019-03-15,51.72
2019-03-14,51.32
2019-03-13,51.06
2019-03-12,50.68
2019-03-11,50.27
2019-03-08,50.21
2019-03-07,50.28
2019-03-06,50.38
2019-03-05,50.31
2019-03-04,50.39
2019-03-01,50.31
2019-02-28,50.16
2019-02-27,50.12
2019-02-26,50.59
2019-02-25,50.41
2019-02-22,50.83
2019-02-21,50.43
2019-02-20,50.38
2019-02-19,50.17
2019-02-15,50.02
2019-02-14,49.63
2019-02-13,49.26
2019-02-12,49.24
2019-02-11,49.22
2019-02-08,49.33
2019-02-07,49.17
2019-02-06,49.12
2019-02-05,49.03
2019-02-04,49.09
2019-02-01,49.1
2019-01-31,49.06
2019-01-30,48.75
2019-01-29,48.8
2019-01-28,48.92
2019-01-25,48.97
2019-01-24,48.66
2019-01-23,48.45
2019-01-22,48.4
2019-01-18,48.35
2019-01-17,48.06
2019-01-16,48.05
2019-01-15,48.34
2019-01-14,48.34
2019-01-11,48.4
2019-01-10,48.47
2019-01-09,48.47
2019-01-08,48.36
2019-01-07,47.94
2019-01-04,47.78
2019-01-03,47.18
2019-01-02,47.47
2018-12-31,47.78
2018-12-28,47.62
2018-12-27,47.75
2018-12-26,47.53
2018-12-24,46.0
2018-12-21,46.6
2018-12-20,47.73
2018-12-19,48.19
2018-12-18,48.5
2018-12-17,48.77
2018-12-14,48.8
2018-12-13,48.92
2018-12-12,48.92
2018-12-11,49.01
2018-12-10,49.02
2018-12-07,48.99
2018-12-06,49.23
2018-12-04,48.92
2018-12-03,49.39
2018-11-30,49.03
2018-11-29,49.3
2018-11-28,49.25
2018-11-27,48.89
2018-11-26,48.55
2018-11-23,48.66
2018-11-21,48.54
2018-11-20,48.31
2018-11-19,48.54
2018-11-16,47.73
2018-11-15,47.79
2018-11-14,47.43
2018-11-13,47.28
2018-11-12,47.59
2018-11-09,47.71
2018-11-08,47.47
2018-11-07,47.16
2018-11-06,46.78
2018-11-05,46.41
2018-11-02,46.08
2018-11-01,46.2
2018-10-31,45.18
2018-10-30,45.29
2018-10-29,45.21
2018-10-26,44.8
2018-10-25,44.79
2018-10-24,44.29
2018-10-23,45.37
2018-10-22,45.44
2018-10-19,45.53
2018-10-18,45.43
2018-10-17,45.46
2018-10-16,45.56
2018-10-15,45.13
2018-10-12,44.94
2018-10-11,44.79
2018-10-10,44.4
2018-10-09,45.26
2018-10-08,45.47
2018-10-05,45.83
2018-10-04,46.27
2018-10-03,46.51
2018-10-02,46.18
2018-10-01,45.84
2018-09-28,45.82
2018-09-27,45.49
2018-09-26,45.26
2018-09-25,44.81
2018-09-24,44.65
2018-09-21,43.89
2018-09-20,44.2
2018-09-19,44.26
2018-09-18,44.16
2018-09-17,44.34
2018-09-14,44.42
2018-09-13,44.38
2018-09-12,44.21
2018-09-11,44.31
2018-09-10,44.45
2018-09-07,44.74
2018-09-06,44.88
2018-09-05,44.72
2018-09-04,44.87
2018-08-31,44.9
2018-08-30,44.73
2018-08-29,45.01
2018-08-28,44.6
2018-08-27,44.61
2018-08-24,44.58
2018-08-23,44.66
2018-08-22,44.75
2018-08-21,44.84
2018-08-20,44.79
2018-08-17,44.83
2018-08-16,45.12
2018-08-15,44.8
2018-08-14,44.97
2018-08-13,44.71
2018-08-10,44.92
2018-08-09,45.06
2018-08-08,44.96
2018-08-07,45.06
2018-08-06,45.27
2018-08-03,44.92
2018-08-02,44.66
2018-08-01,44.53
2018-07-31,44.42
2018-07-30,44.53
2018-07-27,44.71
2018-07-26,45.09
2018-07-25,44.87
2018-07-24,44.91
2018-07-23,45.54
2018-07-20,45.69
2018-07-19,46.2
2018-07-18,46.32
2018-07-17,46.19
2018-07-16,46.41
2018-07-13,47.19
2018-07-12,47.04
2018-07-11,47.4
2018-07-10,49.34
2018-07-09,49.08
2018-07-06,48.43
2018-07-05,48.17
2018-07-03,48.03
2018-07-02,48.67
2018-06-29,49.27
2018-06-28,49.33
2018-06-27,48.3
2018-06-26,47.42
2018-06-25,47.89
2018-06-22,48.35
2018-06-21,48.04
2018-06-20,47.5
2018-06-19,44.29
2018-06-18,44.37
2018-06-15,44.56
2018-06-14,44.42
2018-06-13,43.41
2018-06-12,40.39
2018-06-11,39.92
2018-06-08,39.55
