Date,TFCFA
2019-03-19,49.69
2019-03-18,51.36
2019-03-15,52.01
2019-03-14,51.7
2019-03-13,51.2
2019-03-12,50.88
2019-03-11,50.53
2019-03-08,50.45
2019-03-07,50.59
2019-03-06,50.64
2019-03-05,50.55
2019-03-04,50.64
2019-03-01,50.61
2019-02-28,50.43
2019-02-27,50.41
2019-02-26,50.86
2019-02-25,50.73
2019-02-22,51.17
2019-02-21,50.72
2019-02-20,50.77
2019-02-19,50.53
2019-02-15,50.4
2019-02-14,50.0
2019-02-13,49.65
2019-02-12,49.54
2019-02-11,49.55
2019-02-08,49.68
2019-02-07,49.5
2019-02-06,49.43
2019-02-05,49.28
2019-02-04,49.29
2019-02-01,49.29
2019-01-31,49.31
2019-01-30,49.04
2019-01-29,49.1
2019-01-28,49.21
2019-01-25,49.24
2019-01-24,48.9
2019-01-23,48.65
2019-01-22,48.56
2019-01-18,48.74
2019-01-17,48.39
2019-01-16,48.36
2019-01-15,48.6
2019-01-14,48.67
2019-01-11,48.75
2019-01-10,48.85
2019-01-09,48.78
2019-01-08,48.61
2019-01-07,48.18
2019-01-04,48.06
2019-01-03,47.48
2019-01-02,47.79
2018-12-31,48.12
2018-12-28,47.97
2018-12-27,48.01
2018-12-26,47.86
2018-12-24,46.35
2018-12-21,46.9
2018-12-20,48.0
2018-12-19,48.52
2018-12-18,48.78
2018-12-17,48.95
2018-12-14,49.06
2018-12-13,49.14
2018-12-12,49.13
2018-12-11,49.24
2018-12-10,49.35
2018-12-07,49.26
2018-12-06,49.5
2018-12-04,49.12
2018-12-03,49.66
2018-11-30,49.47
2018-11-29,49.53
2018-11-28,49.48
2018-11-27,49.1
2018-11-26,48.87
2018-11-23,48.94
2018-11-21,48.86
2018-11-20,48.57
2018-11-19,48.91
2018-11-16,48.16
2018-11-15,48.27
2018-11-14,47.93
2018-11-13,47.72
2018-11-12,48.07
2018-11-09,48.16
2018-11-08,47.84
2018-11-07,47.55
2018-11-06,47.16
2018-11-05,46.87
2018-11-02,46.54
2018-11-01,46.54
2018-10-31,45.52
2018-10-30,45.68
2018-10-29,45.41
2018-10-26,45.14
2018-10-25,45.26
2018-10-24,44.71
2018-10-23,45.63
2018-10-22,45.72
2018-10-19,45.84
2018-10-18,45.81
2018-10-17,45.83
2018-10-16,45.95
2018-10-15,45.52
2018-10-12,45.36
2018-10-11,45.11
2018-10-10,44.62
2018-10-09,45.5
2018-10-08,45.72
2018-10-05,46.11
2018-10-04,46.61
2018-10-03,46.84
2018-10-02,46.55
2018-10-01,46.21
2018-09-28,46.33
2018-09-27,45.84
2018-09-26,45.67
2018-09-25,45.21
2018-09-24,45.01
