Date,WFM
2017-08-25,41.99
2017-08-24,41.98
2017-08-23,41.68
2017-08-22,41.71
2017-08-21,41.73
2017-08-18,41.73
2017-08-17,41.73
2017-08-16,41.75
2017-08-15,41.79
2017-08-14,41.86
2017-08-11,41.75
2017-08-10,41.83
2017-08-09,41.85
2017-08-08,41.85
2017-08-07,41.82
2017-08-04,41.81
2017-08-03,41.84
2017-08-02,41.81
2017-08-01,41.85
2017-07-31,41.76
2017-07-28,41.82
2017-07-27,41.78
2017-07-26,41.81
2017-07-25,41.75
2017-07-24,41.67
2017-07-21,41.71
2017-07-20,41.76
2017-07-19,41.76
2017-07-18,41.76
2017-07-17,41.89
2017-07-14,42.1
2017-07-13,41.96
2017-07-12,41.94
2017-07-11,41.94
2017-07-10,41.85
2017-07-07,42.0
2017-07-06,42.01
2017-07-05,41.99
2017-07-03,42.04
2017-06-30,42.11
2017-06-29,42.07
2017-06-28,42.25
2017-06-27,42.56
2017-06-26,42.69
2017-06-23,42.95
2017-06-22,43.2
2017-06-21,43.26
2017-06-20,42.78
2017-06-19,43.22
2017-06-16,42.68
2017-06-15,33.06
2017-06-14,35.45
2017-06-13,35.62
2017-06-12,35.32
2017-06-09,35.73
2017-06-08,35.44
2017-06-07,34.92
2017-06-06,34.73
2017-06-05,35.13
2017-06-02,35.08
2017-06-01,35.21
2017-05-31,34.99
2017-05-30,34.87
2017-05-26,35.12
2017-05-25,35.32
2017-05-24,35.32
2017-05-23,35.33
2017-05-22,36.22
2017-05-19,35.99
2017-05-18,36.15
2017-05-17,36.04
2017-05-16,36.49
2017-05-15,36.44
2017-05-12,36.28
2017-05-11,37.03
2017-05-10,36.25
2017-05-09,36.57
2017-05-08,36.71
2017-05-05,36.87
2017-05-04,36.68
2017-05-03,36.32
2017-05-02,36.38
2017-05-01,36.16
2017-04-28,36.37
2017-04-27,36.9
2017-04-26,36.35
2017-04-25,36.06
2017-04-24,36.46
2017-04-21,35.71
2017-04-20,35.5
2017-04-19,34.91
2017-04-18,34.82
2017-04-17,34.52
2017-04-13,33.96
2017-04-12,34.12
2017-04-11,33.55
2017-04-10,34.17
2017-04-07,31.07
2017-04-06,30.81
2017-04-05,30.25
2017-04-04,30.31
2017-04-03,29.76
2017-03-31,29.72
2017-03-30,29.27
2017-03-29,29.14
2017-03-28,28.6
2017-03-27,28.53
2017-03-24,28.93
2017-03-23,29.2
2017-03-22,29.92
2017-03-21,29.83
2017-03-20,29.85
2017-03-17,29.53
2017-03-16,29.47
2017-03-15,28.89
2017-03-14,28.86
2017-03-13,28.95
2017-03-10,29.19
2017-03-09,29.28
2017-03-08,29.36
2017-03-07,29.47
2017-03-06,29.66
2017-03-03,29.7
2017-03-02,30.46
2017-03-01,30.62
2017-02-28,30.67
2017-02-27,31.1
2017-02-24,31.56
2017-02-23,31.15
2017-02-22,31.1
2017-02-21,31.22
2017-02-17,30.91
2017-02-16,30.56
2017-02-15,30.72
2017-02-14,30.38
2017-02-13,30.03
2017-02-10,30.34
2017-02-09,30.35
2017-02-08,29.3
2017-02-07,28.98
2017-02-06,29.28
2017-02-03,29.8
2017-02-02,29.66
2017-02-01,29.83
2017-01-31,30.22
2017-01-30,29.9
2017-01-27,30.31
2017-01-26,31.19
2017-01-25,30.9
2017-01-24,30.46
2017-01-23,30.36
2017-01-20,30.81
2017-01-19,30.77
2017-01-18,31.21
2017-01-17,30.98
2017-01-13,30.68
2017-01-12,30.52
2017-01-11,30.5
2017-01-10,30.73
2017-01-09,30.77
2017-01-06,30.71
2017-01-05,30.46
2017-01-04,30.94
2017-01-03,30.89
2016-12-30,30.76
2016-12-29,31.01
2016-12-28,31.22
2016-12-27,31.72
2016-12-23,31.91
2016-12-22,31.86
2016-12-21,32.51
2016-12-20,32.39
2016-12-19,32.44
2016-12-16,32.29
2016-12-15,31.68
2016-12-14,31.21
2016-12-13,31.39
2016-12-12,31.04
2016-12-09,32.04
2016-12-08,31.7
2016-12-07,31.03
2016-12-06,30.5
2016-12-05,30.76
2016-12-02,30.76
2016-12-01,30.91
2016-11-30,30.39
2016-11-29,30.61
2016-11-28,30.94
2016-11-25,30.93
2016-11-23,31.13
2016-11-22,31.06
2016-11-21,31.0
2016-11-18,30.96
2016-11-17,30.94
2016-11-16,31.06
2016-11-15,32.24
2016-11-14,32.03
2016-11-11,30.3
2016-11-10,30.08
2016-11-09,29.68
2016-11-08,28.89
2016-11-07,28.94
2016-11-04,28.93
2016-11-03,28.46
2016-11-02,28.51
2016-11-01,28.66
2016-10-31,28.29
2016-10-28,28.75
2016-10-27,28.29
2016-10-26,28.43
2016-10-25,28.59
2016-10-24,28.27
2016-10-21,28.08
2016-10-20,28.29
2016-10-19,28.72
2016-10-18,28.21
2016-10-17,28.31
2016-10-14,28.72
2016-10-13,28.65
2016-10-12,28.93
2016-10-11,28.56
2016-10-10,28.77
2016-10-07,28.86
2016-10-06,29.33
2016-10-05,27.96
2016-10-04,28.03
2016-10-03,28.21
2016-09-30,28.35
2016-09-29,28.01
2016-09-28,28.42
2016-09-27,28.46
2016-09-26,28.65
2016-09-23,28.52
2016-09-22,28.67
2016-09-21,28.59
2016-09-20,28.22
2016-09-19,28.58
2016-09-16,28.39
2016-09-15,28.52
2016-09-14,28.0
2016-09-13,28.0
2016-09-12,28.39
2016-09-09,28.6
2016-09-08,29.26
2016-09-07,29.08
2016-09-06,30.7
2016-09-02,30.78
2016-09-01,30.56
2016-08-31,30.38
2016-08-30,30.84
2016-08-29,30.69
2016-08-26,30.73
2016-08-25,31.0
2016-08-24,31.11
2016-08-23,30.56
2016-08-22,31.01
2016-08-19,30.28
2016-08-18,30.21
2016-08-17,30.22
2016-08-16,30.63
2016-08-15,31.13
2016-08-12,30.9
2016-08-11,30.42
2016-08-10,30.41
2016-08-09,30.52
2016-08-08,30.64
2016-08-05,30.3
2016-08-04,30.39
2016-08-03,30.4
2016-08-02,30.16
2016-08-01,30.41
2016-07-29,30.48
2016-07-28,30.61
2016-07-27,33.64
2016-07-26,34.11
2016-07-25,34.57
2016-07-22,33.72
2016-07-21,33.17
2016-07-20,33.04
2016-07-19,32.78
2016-07-18,33.38
2016-07-15,33.16
2016-07-14,33.58
2016-07-13,33.76
2016-07-12,33.38
2016-07-11,33.61
2016-07-08,33.58
2016-07-07,33.28
2016-07-06,33.16
2016-07-05,32.31
2016-07-01,32.68
2016-06-30,32.02
2016-06-29,31.43
2016-06-28,31.33
2016-06-27,31.25
2016-06-24,30.76
2016-06-23,30.67
2016-06-22,30.36
2016-06-21,30.37
2016-06-20,30.42
2016-06-17,30.57
2016-06-16,30.82
2016-06-15,30.92
2016-06-14,32.52
2016-06-13,33.49
2016-06-10,34.31
2016-06-09,34.78
2016-06-08,35.15
2016-06-07,35.17
2016-06-06,34.91
2016-06-03,34.07
2016-06-02,34.32
2016-06-01,33.94
2016-05-31,32.35
2016-05-27,32.03
2016-05-26,32.51
2016-05-25,32.06
2016-05-24,31.68
2016-05-23,31.16
2016-05-20,31.52
2016-05-19,30.86
2016-05-18,30.34
2016-05-17,30.46
2016-05-16,30.48
2016-05-13,30.3
2016-05-12,30.51
2016-05-11,30.53
2016-05-10,30.28
2016-05-09,30.32
2016-05-06,29.9
2016-05-05,30.21
2016-05-04,28.51
2016-05-03,28.75
2016-05-02,29.05
2016-04-29,29.08
2016-04-28,29.79
2016-04-27,29.43
2016-04-26,29.82
2016-04-25,29.74
2016-04-22,29.76
2016-04-21,29.53
2016-04-20,30.75
2016-04-19,30.23
2016-04-18,30.49
2016-04-15,30.97
2016-04-14,30.65
2016-04-13,30.25
2016-04-12,29.62
2016-04-11,29.64
2016-04-08,30.27
2016-04-07,30.6
2016-04-06,30.89
2016-04-05,30.22
2016-04-04,30.34
2016-04-01,30.52
2016-03-31,31.11
2016-03-30,31.87
2016-03-29,31.84
2016-03-28,32.09
2016-03-24,32.14
2016-03-23,32.12
2016-03-22,32.93
2016-03-21,33.27
2016-03-18,33.42
2016-03-17,32.92
2016-03-16,33.37
2016-03-15,33.31
2016-03-14,33.49
2016-03-11,33.04
2016-03-10,33.07
2016-03-09,33.92
2016-03-08,33.57
2016-03-07,33.61
2016-03-04,32.5
2016-03-03,32.74
2016-03-02,32.75
2016-03-01,32.46
2016-02-29,31.31
2016-02-27,31.11
2016-02-26,31.1
2016-02-25,30.86
2016-02-24,30.72
2016-02-23,30.8
2016-02-22,30.66
2016-02-19,31.39
2016-02-18,31.39
2016-02-17,31.76
2016-02-16,30.9
2016-02-12,30.65
2016-02-11,28.93
2016-02-10,28.87
2016-02-09,29.06
2016-02-08,29.38
2016-02-05,29.19
2016-02-04,29.2
2016-02-03,28.64
2016-02-02,28.93
2016-02-01,29.96
2016-01-29,29.31
2016-01-28,28.84
2016-01-27,28.77
2016-01-26,29.11
2016-01-25,28.85
2016-01-22,30.42
2016-01-21,29.09
2016-01-20,29.32
2016-01-19,29.41
2016-01-15,29.86
2016-01-14,30.57
2016-01-13,31.25
2016-01-12,32.27
2016-01-11,31.86
2016-01-08,31.98
2016-01-07,32.5
2016-01-06,33.43
2016-01-05,33.65
2016-01-04,33.27
2015-12-31,33.5
2015-12-30,33.78
2015-12-29,34.23
2015-12-28,34.24
2015-12-24,34.49
2015-12-23,34.46
2015-12-22,34.78
2015-12-21,32.98
2015-12-18,32.75
2015-12-17,33.38
2015-12-16,33.65
2015-12-15,32.97
2015-12-14,33.34
2015-12-11,34.02
2015-12-10,31.33
2015-12-09,30.69
2015-12-08,30.2
2015-12-07,30.69
2015-12-04,29.52
2015-12-03,29.96
2015-12-02,29.98
2015-12-01,30.07
2015-11-30,29.15
2015-11-27,29.41
2015-11-25,29.84
2015-11-24,29.56
2015-11-23,29.57
2015-11-20,29.93
2015-11-19,29.93
2015-11-18,30.18
2015-11-17,29.89
2015-11-16,30.07
2015-11-13,29.55
2015-11-12,29.91
2015-11-11,29.92
2015-11-10,30.39
2015-11-09,30.48
2015-11-06,31.11
2015-11-05,30.11
2015-11-04,30.76
2015-11-03,31.27
2015-11-02,30.92
2015-10-30,29.96
2015-10-29,30.15
2015-10-28,30.14
2015-10-27,30.19
2015-10-26,30.7
2015-10-23,32.28
2015-10-22,32.53
2015-10-21,32.98
2015-10-20,33.22
2015-10-19,33.81
2015-10-16,33.84
2015-10-15,33.65
2015-10-14,32.92
2015-10-13,33.24
2015-10-12,33.65
2015-10-09,34.24
2015-10-08,34.15
2015-10-07,33.94
2015-10-06,33.53
2015-10-05,33.84
2015-10-02,33.92
2015-10-01,31.26
2015-09-30,31.65
2015-09-29,31.27
2015-09-28,30.75
2015-09-25,31.1
2015-09-24,31.29
2015-09-23,31.4
2015-09-22,31.77
2015-09-21,31.98
2015-09-18,32.07
2015-09-17,33.21
2015-09-16,33.2
2015-09-15,32.47
2015-09-14,32.0
2015-09-11,32.3
2015-09-10,33.05
2015-09-09,31.99
2015-09-08,32.55
2015-09-04,32.02
2015-09-03,32.36
2015-09-02,32.27
2015-09-01,32.13
2015-08-31,32.76
2015-08-28,32.85
2015-08-27,33.14
2015-08-26,32.4
2015-08-25,31.59
2015-08-24,31.82
2015-08-21,31.64
2015-08-20,32.85
2015-08-19,32.79
2015-08-18,33.36
2015-08-17,33.69
2015-08-14,33.31
2015-08-13,33.72
2015-08-12,34.27
2015-08-11,33.97
2015-08-10,34.21
2015-08-07,34.48
2015-08-06,34.84
2015-08-05,35.38
2015-08-04,35.81
2015-08-03,35.44
2015-07-31,36.4
2015-07-30,36.08
2015-07-29,40.82
2015-07-28,40.94
2015-07-27,40.16
2015-07-24,40.43
2015-07-23,41.07
2015-07-22,41.15
2015-07-21,41.22
2015-07-20,41.41
2015-07-17,41.63
2015-07-16,41.95
2015-07-15,41.12
2015-07-14,40.84
2015-07-13,40.75
2015-07-10,40.8
2015-07-09,40.87
2015-07-08,39.9
2015-07-07,39.89
2015-07-06,39.27
2015-07-02,39.15
2015-07-01,39.4
2015-06-30,39.44
2015-06-29,39.77
2015-06-26,40.35
2015-06-25,40.7
2015-06-24,41.03
2015-06-23,41.09
2015-06-22,41.59
2015-06-19,40.95
2015-06-18,40.95
2015-06-17,40.88
2015-06-16,40.97
2015-06-15,40.3
2015-06-12,40.37
2015-06-11,40.58
2015-06-10,40.73
2015-06-09,40.28
2015-06-08,39.99
2015-06-05,40.18
2015-06-04,40.6
2015-06-03,41.05
2015-06-02,40.98
2015-06-01,41.07
2015-05-29,41.24
2015-05-28,42.23
2015-05-27,42.73
2015-05-26,42.45
2015-05-22,42.3
2015-05-21,42.56
2015-05-20,42.56
2015-05-19,42.48
2015-05-18,42.7
2015-05-15,43.08
2015-05-14,42.9
2015-05-13,42.71
2015-05-12,42.51
2015-05-11,42.73
2015-05-08,42.59
2015-05-07,43.07
2015-05-06,47.72
2015-05-05,47.53
2015-05-04,48.78
2015-05-01,48.17
2015-04-30,47.76
2015-04-29,48.21
2015-04-28,48.81
2015-04-27,48.94
2015-04-24,49.63
2015-04-23,48.25
2015-04-22,48.6
2015-04-21,48.97
2015-04-20,48.37
2015-04-17,48.81
2015-04-16,49.36
2015-04-15,50.21
2015-04-14,50.99
2015-04-13,51.91
2015-04-10,51.53
2015-04-09,51.67
2015-04-08,51.35
2015-04-07,51.52
2015-04-06,52.03
2015-04-02,52.18
2015-04-01,51.42
2015-03-31,52.08
2015-03-30,52.35
2015-03-27,51.93
2015-03-26,52.15
2015-03-25,51.6
2015-03-24,52.7
2015-03-23,53.27
2015-03-20,53.97
2015-03-19,53.62
2015-03-18,53.8
2015-03-17,53.92
2015-03-16,54.66
2015-03-13,54.21
2015-03-12,54.61
2015-03-11,54.09
2015-03-10,54.49
2015-03-09,55.63
2015-03-06,55.66
2015-03-05,56.15
2015-03-04,55.34
2015-03-03,55.53
2015-03-02,56.22
2015-02-27,56.49
2015-02-26,56.73
2015-02-25,56.89
