WM,Date
2.6512138843536377,1988-06-22
2.4362499713897705,1988-06-23
2.507903814315796,1988-06-24
2.4362499713897705,1988-06-27
2.292940855026245,1988-06-28
2.364595413208008,1988-06-29
2.507903814315796,1988-06-30
2.722867250442505,1988-07-01
2.6512138843536377,1988-07-05
2.579559326171875,1988-07-06
2.579559326171875,1988-07-07
2.507903814315796,1988-07-08
2.507903814315796,1988-07-11
2.507903814315796,1988-07-12
2.579559326171875,1988-07-13
2.507903814315796,1988-07-14
2.507903814315796,1988-07-15
2.4362499713897705,1988-07-18
2.364595413208008,1988-07-19
2.2212862968444824,1988-07-20
2.292940855026245,1988-07-21
2.2212862968444824,1988-07-22
2.2212862968444824,1988-07-25
2.2212862968444824,1988-07-26
2.2212862968444824,1988-07-27
2.2212862968444824,1988-07-28
2.2212862968444824,1988-07-29
2.292940855026245,1988-08-01
2.2212862968444824,1988-08-02
2.1496329307556152,1988-08-03
2.077977180480957,1988-08-04
2.1496329307556152,1988-08-05
2.1496329307556152,1988-08-08
2.0063233375549316,1988-08-09
1.8630151748657227,1988-08-10
1.9346683025360107,1988-08-11
1.9346683025360107,1988-08-12
1.8630151748657227,1988-08-15
1.7913609743118286,1988-08-16
1.5763965845108032,1988-08-17
1.5763965845108032,1988-08-18
1.5763965845108032,1988-08-19
1.5047428607940674,1988-08-22
1.5763965845108032,1988-08-23
1.5047428607940674,1988-08-24
1.5047428607940674,1988-08-25
1.648051381111145,1988-08-26
1.5763965845108032,1988-08-29
1.5763965845108032,1988-08-30
1.5763965845108032,1988-08-31
1.5763965845108032,1988-09-01
1.5763965845108032,1988-09-02
1.5763965845108032,1988-09-06
1.3614336252212524,1988-09-07
1.648051381111145,1988-09-08
1.8630151748657227,1988-09-09
1.7913609743118286,1988-09-12
1.648051381111145,1988-09-13
1.71970534324646,1988-09-14
1.71970534324646,1988-09-15
1.7913609743118286,1988-09-16
1.71970534324646,1988-09-19
1.71970534324646,1988-09-20
1.71970534324646,1988-09-21
1.648051381111145,1988-09-22
1.648051381111145,1988-09-23
1.648051381111145,1988-09-26
1.5763965845108032,1988-09-27
1.5763965845108032,1988-09-28
1.5763965845108032,1988-09-29
1.5047428607940674,1988-09-30
1.4330880641937256,1988-10-03
1.5047428607940674,1988-10-04
1.4330880641937256,1988-10-05
1.5047428607940674,1988-10-06
1.4330880641937256,1988-10-07
1.3614336252212524,1988-10-10
1.3614336252212524,1988-10-11
1.3614336252212524,1988-10-12
1.2897796630859375,1988-10-13
1.3614336252212524,1988-10-14
1.2897796630859375,1988-10-17
1.2897796630859375,1988-10-18
1.2897796630859375,1988-10-19
1.3614336252212524,1988-10-20
1.3614336252212524,1988-10-21
1.2897796630859375,1988-10-24
1.2897796630859375,1988-10-25
1.2897796630859375,1988-10-26
1.2897796630859375,1988-10-27
1.3614336252212524,1988-10-28
1.5047428607940674,1988-10-31
1.71970534324646,1988-11-01
1.71970534324646,1988-11-02
1.8630151748657227,1988-11-03
1.8630151748657227,1988-11-04
1.7913609743118286,1988-11-07
1.71970534324646,1988-11-08
1.648051381111145,1988-11-09
1.5763965845108032,1988-11-10
1.5047428607940674,1988-11-11
1.5047428607940674,1988-11-14
1.5047428607940674,1988-11-15
1.5763965845108032,1988-11-16
1.5763965845108032,1988-11-17
1.5047428607940674,1988-11-18
1.5047428607940674,1988-11-21
1.5047428607940674,1988-11-22
1.5047428607940674,1988-11-23
1.5047428607940674,1988-11-25
1.5047428607940674,1988-11-28
1.4330880641937256,1988-11-29
1.5047428607940674,1988-11-30
1.5047428607940674,1988-12-01
1.4330880641937256,1988-12-02
1.4330880641937256,1988-12-05
1.4330880641937256,1988-12-06
1.4330880641937256,1988-12-07
1.4330880641937256,1988-12-08
1.3614336252212524,1988-12-09
1.3614336252212524,1988-12-12
1.3614336252212524,1988-12-13
1.2897796630859375,1988-12-14
1.2897796630859375,1988-12-15
1.3614336252212524,1988-12-16
1.2897796630859375,1988-12-19
1.2897796630859375,1988-12-20
1.2897796630859375,1988-12-21
1.2897796630859375,1988-12-22
1.3614336252212524,1988-12-23
1.3614336252212524,1988-12-27
1.4330880641937256,1988-12-28
1.4330880641937256,1988-12-29
1.3614336252212524,1988-12-30
1.3614336252212524,1989-01-03
1.3614336252212524,1989-01-04
1.4330880641937256,1989-01-05
1.4330880641937256,1989-01-06
1.4330880641937256,1989-01-09
1.5763965845108032,1989-01-10
1.7913609743118286,1989-01-11
1.7913609743118286,1989-01-12
1.71970534324646,1989-01-13
1.71970534324646,1989-01-16
1.648051381111145,1989-01-17
1.648051381111145,1989-01-18
1.648051381111145,1989-01-19
1.71970534324646,1989-01-20
1.71970534324646,1989-01-23
1.71970534324646,1989-01-24
1.648051381111145,1989-01-25
1.71970534324646,1989-01-26
1.71970534324646,1989-01-27
1.71970534324646,1989-01-30
1.71970534324646,1989-01-31
1.7913609743118286,1989-02-01
1.7913609743118286,1989-02-02
1.7913609743118286,1989-02-03
1.7913609743118286,1989-02-06
1.7913609743118286,1989-02-07
1.71970534324646,1989-02-08
1.648051381111145,1989-02-09
1.5763965845108032,1989-02-10
1.5047428607940674,1989-02-13
1.5047428607940674,1989-02-14
1.5047428607940674,1989-02-15
1.5047428607940674,1989-02-16
1.5047428607940674,1989-02-17
1.5047428607940674,1989-02-21
1.5047428607940674,1989-02-22
1.5047428607940674,1989-02-23
1.4330880641937256,1989-02-24
1.3614336252212524,1989-02-27
1.3614336252212524,1989-02-28
1.3614336252212524,1989-03-01
1.3614336252212524,1989-03-02
1.4330880641937256,1989-03-03
1.4330880641937256,1989-03-06
1.3614336252212524,1989-03-07
1.3614336252212524,1989-03-08
1.3614336252212524,1989-03-09
1.3614336252212524,1989-03-10
1.3614336252212524,1989-03-13
1.2897796630859375,1989-03-14
1.2897796630859375,1989-03-15
1.4330880641937256,1989-03-16
1.4330880641937256,1989-03-17
1.3614336252212524,1989-03-20
1.4330880641937256,1989-03-21
1.5047428607940674,1989-03-22
1.7913609743118286,1989-03-23
1.7913609743118286,1989-03-27
1.648051381111145,1989-03-28
1.648051381111145,1989-03-29
1.648051381111145,1989-03-30
1.648051381111145,1989-03-31
1.648051381111145,1989-04-03
1.648051381111145,1989-04-04
1.5763965845108032,1989-04-05
1.5763965845108032,1989-04-06
1.5047428607940674,1989-04-07
1.5047428607940674,1989-04-10
1.5763965845108032,1989-04-11
1.5763965845108032,1989-04-12
1.71970534324646,1989-04-13
1.71970534324646,1989-04-14
1.648051381111145,1989-04-17
1.648051381111145,1989-04-18
1.648051381111145,1989-04-19
1.648051381111145,1989-04-20
1.648051381111145,1989-04-21
1.5763965845108032,1989-04-24
1.5763965845108032,1989-04-25
1.5047428607940674,1989-04-26
1.5047428607940674,1989-04-27
1.5047428607940674,1989-04-28
1.4330880641937256,1989-05-01
1.4330880641937256,1989-05-02
1.4330880641937256,1989-05-03
1.4330880641937256,1989-05-04
1.4330880641937256,1989-05-05
1.4330880641937256,1989-05-08
1.4330880641937256,1989-05-09
1.3614336252212524,1989-05-10
1.3614336252212524,1989-05-11
1.3614336252212524,1989-05-12
1.3614336252212524,1989-05-15
1.3614336252212524,1989-05-16
1.3614336252212524,1989-05-17
1.3614336252212524,1989-05-18
1.3614336252212524,1989-05-19
1.3614336252212524,1989-05-22
1.3614336252212524,1989-05-23
1.4330880641937256,1989-05-24
1.4330880641937256,1989-05-25
1.4330880641937256,1989-05-26
1.3614336252212524,1989-05-30
1.3614336252212524,1989-05-31
1.3614336252212524,1989-06-01
1.2897796630859375,1989-06-02
1.2897796630859375,1989-06-05
