Date,XMSR
2022-11-08,6.36
2022-11-07,6.28
2022-11-04,6.16
2022-11-03,6.09
2022-11-02,6.07
2022-11-01,6.06
2022-10-31,6.04
2022-10-28,6.17
2022-10-27,6.11
2022-10-26,6.23
2022-10-25,6.28
2022-10-24,6.23
2022-10-21,6.19
2022-10-20,6.1
2022-10-19,6.14
2022-10-18,6.23
2022-10-17,6.19
2022-10-14,6.05
2022-10-13,6.14
2022-10-12,5.96
2022-10-11,5.97
2022-10-10,5.93
2022-10-07,5.87
2022-10-06,5.93
2022-10-05,5.97
2022-10-04,5.97
2022-10-03,5.86
2022-09-30,5.71
2022-09-29,5.78
2022-09-28,5.95
2022-09-27,5.82
2022-09-26,5.81
2022-09-23,5.81
2022-09-22,5.87
2022-09-21,5.91
2022-09-20,6.0
2022-09-19,6.02
2022-09-16,5.97
2022-09-15,5.94
2022-09-14,6.01
2022-09-13,6.01
2022-09-12,6.26
2022-09-09,6.27
2022-09-08,6.19
2022-09-07,6.18
2022-09-06,6.0
2022-09-02,6.07
2022-09-01,6.13
2022-08-31,6.09
2022-08-30,6.11
2022-08-29,6.12
2022-08-26,6.17
2022-08-25,6.27
2022-08-24,6.24
2022-08-23,6.28
2022-08-22,6.26
2022-08-19,6.4
2022-08-18,6.49
2022-08-17,6.52
2022-08-16,6.6
2022-08-15,6.77
2022-08-12,6.78
2022-08-11,6.73
2022-08-10,6.74
2022-08-09,6.71
2022-08-08,6.65
2022-08-05,6.58
2022-08-04,6.71
2022-08-03,6.72
2022-08-02,6.69
2022-08-01,6.68
2022-07-29,6.68
2022-07-28,6.58
2022-07-27,6.44
2022-07-26,6.38
2022-07-25,6.38
2022-07-22,6.46
2022-07-21,6.52
2022-07-20,6.51
2022-07-19,6.48
2022-07-18,6.35
2022-07-15,6.35
2022-07-14,6.29
2022-07-13,6.23
2022-07-12,6.2
2022-07-11,6.19
2022-07-08,6.31
2022-07-07,6.25
2022-07-06,6.19
2022-07-05,6.22
2022-07-01,6.21
2022-06-30,6.13
2022-06-29,6.11
2022-06-28,6.12
2022-06-27,6.26
2022-06-24,6.19
2022-06-23,6.1
2022-06-22,5.93
2022-06-21,5.91
2022-06-17,5.85
2022-06-16,5.71
2022-06-15,6.01
2022-06-14,5.93
2022-06-13,5.92
2022-06-10,6.1
2022-06-09,6.15
2022-06-08,6.21
2022-06-07,6.29
2022-06-06,6.26
2022-06-03,6.27
2022-06-02,6.34
2022-06-01,6.31
2022-05-31,6.4
2022-05-27,6.38
2022-05-26,6.33
2022-05-25,6.2
2022-05-24,6.19
2022-05-23,6.23
2022-05-20,6.16
2022-05-19,6.09
2022-05-18,6.04
2022-05-17,6.21
2022-05-16,6.13
2022-05-13,6.14
2022-05-12,5.99
2022-05-11,6.02
2022-05-10,6.07
2022-05-09,6.05
2022-05-06,6.07
2022-05-05,6.13
2022-05-04,6.23
2022-05-03,6.08
2022-05-02,6.03
2022-04-29,6.0
2022-04-28,6.31
2022-04-27,5.97
2022-04-26,6.05
2022-04-25,6.17
2022-04-22,6.25
2022-04-21,6.35
2022-04-20,6.41
2022-04-19,6.41
2022-04-18,6.26
2022-04-14,6.46
2022-04-13,6.53
2022-04-12,6.52
2022-04-11,6.53
2022-04-08,6.5
2022-04-07,6.56
2022-04-06,6.58
2022-04-05,6.62
2022-04-04,6.69
2022-04-01,6.59
2022-03-31,6.62
2022-03-30,6.64
2022-03-29,6.62
2022-03-28,6.6
2022-03-25,6.56
2022-03-24,6.5
2022-03-23,6.4
2022-03-22,6.41
2022-03-21,6.29
2022-03-18,6.33
2022-03-17,6.25
2022-03-16,6.21
2022-03-15,6.24
2022-03-14,6.16
2022-03-11,6.19
2022-03-10,6.22
2022-03-09,6.22
2022-03-08,6.38
2022-03-07,6.38
2022-03-04,6.17
2022-03-03,6.18
2022-03-02,6.15
2022-03-01,6.08
2022-02-28,6.16
2022-02-25,6.16
2022-02-24,6.06
2022-02-23,5.97
2022-02-22,6.02
2022-02-18,6.03
2022-02-17,6.03
2022-02-16,6.17
2022-02-15,6.2
2022-02-14,6.17
2022-02-11,6.22
2022-02-10,6.33
2022-02-09,6.61
2022-02-08,6.552
2022-02-07,6.494
2022-02-04,6.533
2022-02-03,6.427
2022-02-02,6.437
2022-02-01,6.514
2022-01-31,6.128
2022-01-28,5.964
2022-01-27,5.907
2022-01-26,5.762
2022-01-25,5.839
2022-01-24,5.83
2022-01-21,5.791
2022-01-20,5.82
2022-01-19,5.878
2022-01-18,5.887
2022-01-14,5.955
2022-01-13,6.128
2022-01-12,6.099
2022-01-11,6.09
2022-01-10,6.032
2022-01-07,5.974
2022-01-06,5.964
2022-01-05,5.926
2022-01-04,5.945
2022-01-03,6.128
2021-12-31,6.119
2021-12-30,6.186
2021-12-29,6.138
2021-12-28,6.176
2021-12-27,6.215
2021-12-23,6.196
2021-12-22,6.147
2021-12-21,6.176
